id,budokai_id,budokai_league_id,rank,name,point,bonus,created_at,updated_at
1,1,1,1,Pilaf Tier,0,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
2,1,1,2,King Chappa Tier,5000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
3,1,1,3,Hercule Tier,25000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
4,1,2,4,Videl Tier,50000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
5,1,2,5,Master Roshi Tier,100000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
6,1,2,6,Korin Tier,150000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
7,1,3,7,Kami Tier,250000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
8,1,3,8,King Yemma Tier,500000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
9,1,3,9,King Kai Tier,1000000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
10,1,4,10,Supreme Kai Tier,1500000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
11,1,4,11,Elder Kai Tier,2500000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
12,1,4,12,Beerus Tier,5000000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
13,2,1,1,Pilaf Tier,0,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
14,2,1,2,King Chappa Tier,5000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
15,2,1,3,Hercule Tier,25000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
16,2,2,4,Videl Tier,50000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
17,2,2,5,Master Roshi Tier,100000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
18,2,2,6,Korin Tier,150000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
19,2,3,7,Kami Tier,250000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
20,2,3,8,King Yemma Tier,500000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
21,2,3,9,King Kai Tier,1000000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
22,2,4,10,Supreme Kai Tier,1500000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
23,2,4,11,Elder Kai Tier,2500000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
24,2,4,12,Beerus Tier,5000000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
25,3,1,1,Pilaf Tier,0,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
26,3,1,2,King Chappa Tier,5000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
27,3,1,3,Hercule Tier,25000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
28,3,2,4,Videl Tier,50000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
29,3,2,5,Master Roshi Tier,100000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
30,3,2,6,Korin Tier,150000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
31,3,3,7,Kami Tier,250000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
32,3,3,8,King Yemma Tier,500000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
33,3,3,9,King Kai Tier,1000000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
34,3,4,10,Supreme Kai Tier,1500000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
35,3,4,11,Elder Kai Tier,2500000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
36,3,4,12,Beerus Tier,5000000,1.0,2024-05-17 11:40:35.301589,2024-05-17 11:40:35.301589
