id,phase_id,is_resume_point,number,created_at,updated_at
1,1,1,1,2024-05-17 11:40:19.277327,2024-05-17 11:40:19.277327
2,1,1,2,2024-05-17 11:40:19.277327,2024-05-17 11:40:19.277327
1000,1000,1,1,2024-05-17 11:40:19.277327,2024-05-17 11:40:19.277327
1010,1010,1,1,2024-05-17 11:40:19.277327,2024-05-17 11:40:19.277327
1020,1020,1,1,2024-05-17 11:40:19.277327,2024-05-17 11:40:19.277327
2000,2000,1,1,2024-05-17 11:40:19.277327,2024-05-17 11:40:19.277327
2010,2010,1,1,2024-05-17 11:40:19.277327,2024-05-17 11:40:19.277327
3000,3000,1,1,2024-05-17 11:40:19.277327,2024-05-17 11:40:19.277327
4000,4000,1,1,2024-05-17 11:40:19.277327,2024-05-17 11:40:19.277327
5000,5000,1,1,2024-05-17 11:40:19.277327,2024-05-17 11:40:19.277327
6000,6000,1,1,2024-05-17 11:40:19.277327,2024-05-17 11:40:19.277327
6010,6010,1,1,2024-05-17 11:40:19.277327,2024-05-17 11:40:19.277327
7000,7000,1,1,2024-05-17 11:40:19.277327,2024-05-17 11:40:19.277327
7010,7010,0,1,2024-05-17 11:40:19.277327,2024-05-17 11:40:19.277327
7020,7020,0,1,2024-05-17 11:40:19.277327,2024-05-17 11:40:19.277327
8000,8000,1,1,2024-05-17 11:40:19.277327,2024-05-17 11:40:19.277327
9000,9000,1,1,2024-05-17 11:40:19.277327,2024-05-17 11:40:19.277327
