id,escalation_type,level,escalation_value,created_at,updated_at
1,1,1,100,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
2,1,7,200,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
3,1,15,333,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
4,1,18,400,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
5,1,28,467,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
6,1,30,500,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
7,1,31,503,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
8,2,1,100,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
9,2,28,158,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
10,2,30,166,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
11,2,31,168,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
12,3,1,100,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
13,3,28,4000,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
14,3,30,4000,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
15,3,31,4133,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
16,4,1,100,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
17,4,17,100,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
18,4,18,110,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
19,4,25,110,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
20,4,26,130,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
21,4,30,130,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
23,2,2,100,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
24,3,3,100,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
25,8,1,100,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
26,8,7,200,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
27,8,15,333,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
28,8,18,400,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
29,8,28,467,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
30,8,30,493,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
31,8,31,497,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
32,9,1,100,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
33,9,2,100,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
34,9,28,156,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
35,9,30,163,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
36,9,31,165,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
37,10,1,100,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
38,10,3,100,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
39,10,28,1600,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
40,10,30,1600,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
41,10,31,1640,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
42,11,1,100,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
43,11,17,100,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
44,11,18,110,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
45,11,25,110,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
46,11,26,125,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
47,11,30,125,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
48,15,1,100,2024-05-17 11:40:19.650860,2024-05-17 11:40:19.650860
