id,z_battle_normal_reward_table_id,item_id,item_type,quantity,card_exp_init,created_at,updated_at
1,1,100001,AwakeningItem,1,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
2,2,100001,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
3,3,100002,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
4,4,100002,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
5,5,100003,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
6,6,100004,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
8,8,100011,AwakeningItem,1,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
9,9,100011,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
10,10,100012,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
11,11,100012,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
12,12,100013,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
13,13,100014,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
14,14,100021,AwakeningItem,1,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
15,15,100021,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
16,16,100022,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
17,17,100022,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
18,18,100023,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
19,19,100024,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
20,20,100031,AwakeningItem,1,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
21,21,100031,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
22,22,100032,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
23,23,100032,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
24,24,100033,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
25,25,100034,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
44,32,100041,AwakeningItem,1,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
47,33,100041,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
50,34,100042,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
53,35,100042,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
56,36,100043,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
59,37,100044,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
62,38,100071,AwakeningItem,1,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
63,39,100071,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
64,40,100072,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
65,41,100072,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
66,42,100073,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
67,43,100074,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
68,44,100051,AwakeningItem,1,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
69,45,100061,AwakeningItem,1,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
70,46,100051,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
71,47,100061,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
72,48,100052,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
73,49,100062,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
74,50,100052,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
75,51,100062,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
76,52,100053,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
77,53,100063,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
78,54,100054,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
79,55,100064,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
80,56,100081,AwakeningItem,1,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
81,57,100081,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
82,58,100082,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
83,59,100082,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
84,60,100083,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
85,61,100084,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
86,62,100091,AwakeningItem,1,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
87,63,100091,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
88,64,100092,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
89,65,100092,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
90,66,100093,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
91,67,100094,AwakeningItem,4,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
92,68,400,TrainingItem,1,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
93,69,401,TrainingItem,1,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
94,70,402,TrainingItem,1,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
95,71,403,TrainingItem,1,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
96,72,404,TrainingItem,1,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
97,73,100101,AwakeningItem,1,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
98,74,100101,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
99,75,100102,AwakeningItem,2,0,2024-05-17 11:40:21.408436,2024-05-17 11:40:21.408436
