id,chain_battle_help_id,image_path,description,created_at,updated_at
1,1,,"▼参加条件
以下のキャラクターを所持していることで
参加可能になります。
・{color: #FFFF00}超属性{color}のZ覚醒済みキャラクター{color: #FFFF00}１０体{color}
・{color: #FFFF00}極属性{color}のZ覚醒済みキャラクター{color: #FFFF00}１０体{color}",2020-04-30 02:02:57,2020-04-30 02:02:57
2,1,images/help/chainbattle_help_02a.png,"▼参加可能キャラクター
チェインバトルでは
{color: #FFFF00}Z覚醒済みのキャラクターのみ参加可能{color}です。
レアリティがR、SR、SSRでも、
Z覚醒済みであれば参加可能です。

※キャラクター所持数が上限を超えている場合は
　チェインバトルをプレイすることができません。
※参加条件を満たさない場合は、一度参加した後でも
　参加不可となりますのでご注意ください。",2020-04-30 02:02:57,2020-04-30 02:02:57
3,2,images/help/chainbattle_help_03a.png,"▼バトルエナジーとは
チェインバトルではACTを消費しないかわりに
「バトルエナジー」を消費します。
バトルエナジーは最大で５まで保有することができ
３時間に１回復します。",2020-04-30 02:02:57,2020-04-30 02:02:57
4,2,images/help/chainbattle_help_04.png,"▼龍石消費でバトルエナジーを回復
バトルエナジーが０の時、龍石を１個消費することで
バトルエナジーを１回復することができます。
また、一度使用したサポーターとコネクターを
再度使用可能になります。
龍石消費によるバトルエナジー回復は
１日に最大５回までです。",2020-04-30 02:02:57,2020-04-30 02:02:57
5,3,images/help/chainbattle_help_08.png,"▼バトルキャラクターとは
敵と直接対峙するキャラクターです。
チームのチェインパワーに応じて、
敵に与えるダメージが変化します。",2020-04-30 02:02:57,2020-04-30 02:02:57
6,3,images/help/chainbattle_help_09a.png,"チェインパワーが一定値を超えた「爆裂チェイン状態」で
サポートバトルで足止めが成功すると、
バトルキャラクターがフルパワーとなり
敵に与えるダメージが大きく増加します。

※コネクターに設定しているキャラクターは
　バトルキャラクターに設定することができません。",2020-04-30 02:02:57,2020-04-30 02:02:57
7,4,images/help/chainbattle_help_10.png,"▼チェインパワーとは
{color: #FFFF00}サポーター{color}と{color: #FFFF00}コネクター{color}の以下の{color: #FFFF00}一致数の多さ{color}に応じて
チェインパワーが変化します。

・カテゴリ
・属性
・リンクスキル

チェインパワーに応じてバトルキャラクターが
敵に与えるダメージが変化します。",2020-04-30 02:02:57,2020-04-30 02:02:57
8,4,images/help/chainbattle_help_11a.png,"▼爆裂チェイン状態
超属性、極属性両方のチェインパワーが一定値を超えると
「爆裂チェイン状態」になります。
爆裂チェイン状態でサポートバトルの足止めが成功すると
バトルキャラクターがフルパワーとなり
敵に与えるダメージが大きく増加します。",2020-04-30 02:02:57,2020-04-30 02:02:57
9,5,images/help/chainbattle_help_01.png,"チェインバトルをプレイするためには
{color: #FFFF00}「貸出用サポーター」{color}（超属性10体、極属性10体）
を設定します。

この貸出用サポーターは
他のプレイヤーがチェインバトルを
プレイする際に使われます。",2020-04-30 02:02:57,2020-04-30 02:02:57
10,5,images/help/chainbattle_help_25.png,"自分がプレイする際には
「他のプレイヤーが設定したサポーター」を借ります。",2020-04-30 02:02:57,2020-04-30 02:02:57
