id,type,chain_battle_mission_id,created_at,updated_at
1,ChainBattleMissionPeriod::DailyMissionPeriod,1,2024-01-11 00:34:50,2024-01-11 00:34:50
2,ChainBattleMissionPeriod::DailyMissionPeriod,2,2024-01-11 00:34:50,2024-01-11 00:34:50
3,ChainBattleMissionPeriod::DailyMissionPeriod,3,2024-01-11 00:34:50,2024-01-11 00:34:50
4,ChainBattleMissionPeriod::DailyMissionPeriod,4,2024-01-11 00:34:50,2024-01-11 00:34:50
5,ChainBattleMissionPeriod::DailyMissionPeriod,5,2024-01-11 00:34:50,2024-01-11 00:34:50
6,ChainBattleMissionPeriod::DailyMissionPeriod,6,2024-01-11 00:34:50,2024-01-11 00:34:50
7,ChainBattleMissionPeriod::DailyMissionPeriod,23,2024-01-11 00:34:50,2024-01-11 00:34:50
8,ChainBattleMissionPeriod::DailyMissionPeriod,24,2024-01-11 00:34:50,2024-01-11 00:34:50
9,ChainBattleMissionPeriod::DailyMissionPeriod,25,2024-01-11 00:34:50,2024-01-11 00:34:50
10,ChainBattleMissionPeriod::DailyMissionPeriod,26,2024-01-11 00:34:50,2024-01-11 00:34:50
11,ChainBattleMissionPeriod::DailyMissionPeriod,27,2024-01-11 00:34:50,2024-01-11 00:34:50
12,ChainBattleMissionPeriod::DailyMissionPeriod,28,2024-01-11 00:34:50,2024-01-11 00:34:50
13,ChainBattleMissionPeriod::DailyMissionPeriod,45,2024-01-11 00:34:50,2024-01-11 00:34:50
14,ChainBattleMissionPeriod::DailyMissionPeriod,46,2024-01-11 00:34:50,2024-01-11 00:34:50
15,ChainBattleMissionPeriod::DailyMissionPeriod,47,2024-01-11 00:34:50,2024-01-11 00:34:50
16,ChainBattleMissionPeriod::DailyMissionPeriod,48,2024-01-11 00:34:50,2024-01-11 00:34:50
17,ChainBattleMissionPeriod::DailyMissionPeriod,49,2024-01-11 00:34:50,2024-01-11 00:34:50
18,ChainBattleMissionPeriod::DailyMissionPeriod,50,2024-01-11 00:34:50,2024-01-11 00:34:50
19,ChainBattleMissionPeriod::DailyMissionPeriod,67,2024-01-11 00:34:50,2024-01-11 00:34:50
20,ChainBattleMissionPeriod::DailyMissionPeriod,68,2024-01-11 00:34:50,2024-01-11 00:34:50
21,ChainBattleMissionPeriod::DailyMissionPeriod,69,2024-01-11 00:34:50,2024-01-11 00:34:50
22,ChainBattleMissionPeriod::DailyMissionPeriod,70,2024-01-11 00:34:50,2024-01-11 00:34:50
23,ChainBattleMissionPeriod::DailyMissionPeriod,71,2024-01-11 00:34:50,2024-01-11 00:34:50
24,ChainBattleMissionPeriod::DailyMissionPeriod,72,2024-01-11 00:34:50,2024-01-11 00:34:50
25,ChainBattleMissionPeriod::DailyMissionPeriod,89,2024-01-11 00:34:50,2024-01-11 00:34:50
26,ChainBattleMissionPeriod::DailyMissionPeriod,90,2024-01-11 00:34:50,2024-01-11 00:34:50
27,ChainBattleMissionPeriod::DailyMissionPeriod,91,2024-01-11 00:34:50,2024-01-11 00:34:50
28,ChainBattleMissionPeriod::DailyMissionPeriod,92,2024-01-11 00:34:50,2024-01-11 00:34:50
29,ChainBattleMissionPeriod::DailyMissionPeriod,93,2024-01-11 00:34:50,2024-01-11 00:34:50
30,ChainBattleMissionPeriod::DailyMissionPeriod,94,2024-01-11 00:34:50,2024-01-11 00:34:50
31,ChainBattleMissionPeriod::DailyMissionPeriod,111,2024-01-11 00:34:50,2024-01-11 00:34:50
32,ChainBattleMissionPeriod::DailyMissionPeriod,112,2024-01-11 00:34:50,2024-01-11 00:34:50
33,ChainBattleMissionPeriod::DailyMissionPeriod,113,2024-01-11 00:34:50,2024-01-11 00:34:50
34,ChainBattleMissionPeriod::DailyMissionPeriod,114,2024-01-11 00:34:50,2024-01-11 00:34:50
35,ChainBattleMissionPeriod::DailyMissionPeriod,115,2024-01-11 00:34:50,2024-01-11 00:34:50
36,ChainBattleMissionPeriod::DailyMissionPeriod,116,2024-01-11 00:34:50,2024-01-11 00:34:50
37,ChainBattleMissionPeriod::DailyMissionPeriod,133,2024-01-11 00:34:50,2024-01-11 00:34:50
38,ChainBattleMissionPeriod::DailyMissionPeriod,134,2024-01-11 00:34:50,2024-01-11 00:34:50
39,ChainBattleMissionPeriod::DailyMissionPeriod,135,2024-01-11 00:34:50,2024-01-11 00:34:50
40,ChainBattleMissionPeriod::DailyMissionPeriod,136,2024-01-11 00:34:50,2024-01-11 00:34:50
41,ChainBattleMissionPeriod::DailyMissionPeriod,137,2024-01-11 00:34:50,2024-01-11 00:34:50
42,ChainBattleMissionPeriod::DailyMissionPeriod,138,2024-01-11 00:34:50,2024-01-11 00:34:50
43,ChainBattleMissionPeriod::DailyMissionPeriod,155,2024-01-11 00:34:50,2024-01-11 00:34:50
44,ChainBattleMissionPeriod::DailyMissionPeriod,156,2024-01-11 00:34:50,2024-01-11 00:34:50
45,ChainBattleMissionPeriod::DailyMissionPeriod,157,2024-01-11 00:34:50,2024-01-11 00:34:50
46,ChainBattleMissionPeriod::DailyMissionPeriod,158,2024-01-11 00:34:50,2024-01-11 00:34:50
47,ChainBattleMissionPeriod::DailyMissionPeriod,159,2024-01-11 00:34:50,2024-01-11 00:34:50
48,ChainBattleMissionPeriod::DailyMissionPeriod,160,2024-01-11 00:34:50,2024-01-11 00:34:50
49,ChainBattleMissionPeriod::DailyMissionPeriod,177,2024-01-11 00:34:50,2024-01-11 00:34:50
50,ChainBattleMissionPeriod::DailyMissionPeriod,178,2024-01-11 00:34:50,2024-01-11 00:34:50
51,ChainBattleMissionPeriod::DailyMissionPeriod,179,2024-01-11 00:34:50,2024-01-11 00:34:50
52,ChainBattleMissionPeriod::DailyMissionPeriod,180,2024-01-11 00:34:50,2024-01-11 00:34:50
53,ChainBattleMissionPeriod::DailyMissionPeriod,197,2024-01-11 00:34:50,2024-01-11 00:34:50
54,ChainBattleMissionPeriod::DailyMissionPeriod,198,2024-01-11 00:34:50,2024-01-11 00:34:50
55,ChainBattleMissionPeriod::DailyMissionPeriod,199,2024-01-11 00:34:50,2024-01-11 00:34:50
56,ChainBattleMissionPeriod::DailyMissionPeriod,200,2024-01-11 00:34:50,2024-01-11 00:34:50
57,ChainBattleMissionPeriod::DailyMissionPeriod,217,2024-01-11 00:34:50,2024-01-11 00:34:50
58,ChainBattleMissionPeriod::DailyMissionPeriod,218,2024-01-11 00:34:50,2024-01-11 00:34:50
59,ChainBattleMissionPeriod::DailyMissionPeriod,219,2024-01-11 00:34:50,2024-01-11 00:34:50
60,ChainBattleMissionPeriod::DailyMissionPeriod,220,2024-01-11 00:34:50,2024-01-11 00:34:50
61,ChainBattleMissionPeriod::DailyMissionPeriod,237,2024-01-11 00:34:50,2024-01-11 00:34:50
62,ChainBattleMissionPeriod::DailyMissionPeriod,238,2024-01-11 00:34:50,2024-01-11 00:34:50
63,ChainBattleMissionPeriod::DailyMissionPeriod,239,2024-01-11 00:34:50,2024-01-11 00:34:50
64,ChainBattleMissionPeriod::DailyMissionPeriod,240,2024-01-11 00:34:50,2024-01-11 00:34:50
65,ChainBattleMissionPeriod::DailyMissionPeriod,257,2024-01-11 00:34:50,2024-01-11 00:34:50
66,ChainBattleMissionPeriod::DailyMissionPeriod,258,2024-01-11 00:34:50,2024-01-11 00:34:50
67,ChainBattleMissionPeriod::DailyMissionPeriod,259,2024-01-11 00:34:50,2024-01-11 00:34:50
68,ChainBattleMissionPeriod::DailyMissionPeriod,260,2024-01-11 00:34:50,2024-01-11 00:34:50
69,ChainBattleMissionPeriod::DailyMissionPeriod,277,2024-01-11 00:34:50,2024-01-11 00:34:50
70,ChainBattleMissionPeriod::DailyMissionPeriod,278,2024-01-11 00:34:50,2024-01-11 00:34:50
71,ChainBattleMissionPeriod::DailyMissionPeriod,279,2024-01-11 00:34:50,2024-01-11 00:34:50
72,ChainBattleMissionPeriod::DailyMissionPeriod,280,2024-01-11 00:34:50,2024-01-11 00:34:50
73,ChainBattleMissionPeriod::DailyMissionPeriod,297,2024-01-11 00:34:50,2024-01-11 00:34:50
74,ChainBattleMissionPeriod::DailyMissionPeriod,298,2024-01-11 00:34:50,2024-01-11 00:34:50
75,ChainBattleMissionPeriod::DailyMissionPeriod,299,2024-01-11 00:34:50,2024-01-11 00:34:50
76,ChainBattleMissionPeriod::DailyMissionPeriod,300,2024-01-11 00:34:50,2024-01-11 00:34:50
