id,chain_battle_ranking_gift_set_id,item_id,item_type,quantity,card_exp_init,description,gift_description,created_at,updated_at
1001,1,2001,TreasureItem,5000,0,結束の印×5000,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1002,1,1,CardStickerItem,3,0,スペシャルステッカー×3,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1003,1,1003970,Card,10,0,[不思議な儀式]老界王神×10,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1004,1,1011481,Card,3,1500000,ミスター・サタン像(ダイヤ)×3,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1005,1,11,PotentialItem,250,0,速の潜在能力玉(大)×250,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1006,1,12,PotentialItem,250,0,技の潜在能力玉(大)×250,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1007,1,13,PotentialItem,250,0,知の潜在能力玉(大)×250,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1008,1,14,PotentialItem,250,0,力の潜在能力玉(大)×250,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1009,1,15,PotentialItem,250,0,体の潜在能力玉(大)×250,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1010,1,6,PotentialItem,2500,0,速の潜在能力玉(中)×2500,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1011,1,7,PotentialItem,2500,0,技の潜在能力玉(中)×2500,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1012,1,8,PotentialItem,2500,0,知の潜在能力玉(中)×2500,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1013,1,9,PotentialItem,2500,0,力の潜在能力玉(中)×2500,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1014,1,10,PotentialItem,2500,0,体の潜在能力玉(中)×2500,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1015,1,1,PotentialItem,4500,0,速の潜在能力玉(小)×4500,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1016,1,2,PotentialItem,4500,0,技の潜在能力玉(小)×4500,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1017,1,3,PotentialItem,4500,0,知の潜在能力玉(小)×4500,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1018,1,4,PotentialItem,4500,0,力の潜在能力玉(小)×4500,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1019,1,5,PotentialItem,4500,0,体の潜在能力玉(小)×4500,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1020,1,1000,TrainingItem,10,0,亀の甲羅(プラチナ)[速]×10,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1021,1,1001,TrainingItem,10,0,亀の甲羅(プラチナ)[技]×10,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1022,1,1002,TrainingItem,10,0,亀の甲羅(プラチナ)[知]×10,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1023,1,1003,TrainingItem,10,0,亀の甲羅(プラチナ)[力]×10,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1024,1,1004,TrainingItem,10,0,亀の甲羅(プラチナ)[体]×10,チェインバトルランキング上位1%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1025,2,2001,TreasureItem,4500,0,結束の印×4500,チェインバトルランキング上位2~3%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1026,2,1,CardStickerItem,2,0,スペシャルステッカー×2,チェインバトルランキング上位2~3%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
1027,2,1003970,Card,7,0,[不思議な儀式]老界王神×7,チェインバトルランキング上位2~3%の報酬,2024-01-11 00:34:51,2024-01-11 00:34:51
