id,name,description,exec_timing_type,turn,is_once,probability,causality_conditions,icon_type,target_type,target_value1,target_value2,target_value3,sub_target_type_set_id,efficacy_type,eff_value1,eff_value2,eff_value3,efficacy_values,calc_option,created_at,updated_at
1,暴走,ATKとDEFが急上昇する,0,0,0,0,,1,0,0,0,0,0,1,290.0,900.0,100.0,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
2,再生,HPが回復する,0,0,0,0,,2,0,0,0,0,0,2,184.0,4.0,100.0,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
3,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,200.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
4,お菓子になっちゃえ！,気玉をお菓子に変化させる,1,0,0,80,,0,1,0,0,0,0,4,63.0,448.0,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
5,回復,HPを回復する,0,0,0,0,,2,0,0,0,0,0,2,100.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
6,BOSSキャラ,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
7,超サイヤ人,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,140.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
8,空間歪曲,全ての気の玉をランダムに変化させる,1,0,0,80,,0,1,0,0,0,0,6,,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
9,威圧,キャラクターの入れ替えをロックする,1,0,0,80,,0,11,55,30,15,0,5,,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
10,威圧,キャラクターの入れ替えをロックする,1,0,0,90,,0,11,30,45,25,0,5,,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
11,究極への覚醒,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,75.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
12,真なる力,ATKが急上昇する,0,0,0,0,,1,0,0,0,0,0,1,220.0,100.0,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
13,気の解放,全ての気の玉をランダムに変化させる,1,0,0,35,,0,1,0,0,0,0,6,,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
100,破壊神の威厳,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,70.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
110,破壊神の威厳,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,35.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
120,貫通,与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,200.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
200,バリヤー,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,70.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
300,暴走,ATKとDEFが急上昇する,0,0,0,0,,1,0,0,0,0,0,1,300.0,40000.0,100.0,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
400,ダメージ軽減,ダメージを100%軽減する,0,0,0,0,,1,0,0,0,0,0,7,100.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
500,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,330.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
510,ダメージ軽減,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,80.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
520,ダメージ軽減,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,60.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
530,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
600,ダメージ軽減,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,80.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
610,ダメージ軽減,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,75.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
620,ダメージ軽減,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,70.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
630,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
640,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,50.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
650,再生,HPが回復する,0,0,0,0,,2,0,0,0,0,0,2,100.0,3.0,100.0,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
700,マイナスエネルギー,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,60.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
710,マイナスエネルギー,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,70.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
720,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,200.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
730,威圧,キャラクターの入れ替えをロックする,1,0,0,33,,0,11,90,10,0,0,5,,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
800,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,25.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
810,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,35.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
820,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,45.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
900,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,30.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
910,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,50.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
920,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,150.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1000,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,27.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1010,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,37.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1020,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,47.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1030,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,150.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1040,不死身の肉体,HPを回復する,0,0,0,0,,2,0,0,0,0,0,2,100.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1100,再生,HPが回復する,0,0,0,0,,2,0,0,0,0,0,2,100.0,3.0,100.0,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1110,再生,HPが回復する,0,0,0,0,,2,0,0,0,0,0,2,100.0,4.0,100.0,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1200,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1210,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1220,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1230,第六宇宙の洗礼,全ての気の玉をランダムに変化させる,1,0,0,50,,0,1,0,0,0,0,6,,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1240,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1250,威圧,キャラクターの入れ替えをロックする,1,0,0,70,,0,11,55,30,15,0,5,,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1260,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1270,回復,HPを回復する,0,0,0,0,,2,0,0,0,0,0,2,100.0,5.0,100.0,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1300,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,150.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1310,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,20.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1320,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,30.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1330,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1400,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,200.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1410,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,28.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1420,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,38.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1430,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,48.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1500,ダメージ軽減,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,90.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1510,人参化,気の玉を人参に変化させる,1,0,0,100,,0,1,0,0,0,0,4,63.0,4096.0,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1520,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,60.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1600,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,200.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1610,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,15.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1620,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,20.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1630,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,25.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1640,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1700,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1710,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,25.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1720,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,30.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1730,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,35.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1740,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,52.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1750,サイヤの闘志,気絶状態にならない,0,-1,0,100,,0,1,0,0,0,0,10,0.0,0.0,0.0,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1800,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,200.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1810,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,33.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1820,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1830,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,50.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1840,サイヤの闘志,気絶状態にならない,0,-1,0,100,,0,1,0,0,0,0,10,0.0,0.0,0.0,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1900,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,190.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1910,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,35.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
1920,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,43.0,,,,0,2024-05-20 01:32:58,2024-05-20 01:32:58
