id,name,effect_description,condition_description,dialog_order,dialog_images,exec_timing_type,exec_limit,compiled_causality_conditions,finish_special_id,special_view_id,costume_special_view_id,bgm_id,is_dialog_view_visible,created_at,updated_at
1,不完全な支配,"チャージカウント1つにつき
一時的にATK15%UPし、
相手に究極ダメージを与える","チャージカウント29以下で発動可能
(1回のみ)",0,"{""bg"": ""com_chara_info_bg_blue.png"", ""label"": ""sp_atk_label_a_0004_a.png"", ""label_bg"": ""com_base_atk_blue.png""}",0,1,"[""&"", [""type"", 55, [1]], [""<"", [""type"", 52], [""int"", 30]]]",1,11521,0,242,1,2024-02-15 00:04:05,2024-02-15 00:04:05
2,魔人ブウ復活！！,"チャージカウント1つにつき
一時的にATK15%UPし、
相手に超究極ダメージを与える","チャージカウント30以上で発動可能
(1回のみ)",10,"{""bg"": ""com_chara_info_bg_blue.png"", ""label"": ""sp_atk_label_a_0004_a.png"", ""label_bg"": ""com_base_atk_blue.png""}",0,1,"[""&"", [""type"", 55, [1]], ["">="", [""type"", 52], [""int"", 30]]]",2,11522,0,243,1,2024-02-15 00:04:05,2024-02-15 00:04:05
3,元気玉,"チャージカウント1つにつき
一時的にATK15%UPし、
相手に究極ダメージを与える","チャージカウント38以下で発動可能
(1回のみ)",0,"{""bg"": ""com_chara_info_bg_blue.png"", ""label"": ""sp_atk_label_a_0004_a.png"", ""label_bg"": ""com_base_atk_blue.png""}",0,1,"[""&"", [""type"", 55, [1]], [""<"", [""type"", 52], [""int"", 39]]]",3,11585,0,233,1,2024-02-15 00:04:05,2024-02-15 00:04:05
4,超元気玉,"チャージカウント1つにつき
一時的にATK20%UPし、
相手に超究極ダメージを与える","チャージカウント39以上で発動可能
(1回のみ)",10,"{""bg"": ""com_chara_info_bg_blue.png"", ""label"": ""sp_atk_label_a_0004_a.png"", ""label_bg"": ""com_base_atk_blue.png""}",0,1,"[""&"", [""type"", 55, [1]], ["">="", [""type"", 52], [""int"", 39]]]",4,11586,0,234,1,2024-02-15 00:04:05,2024-02-15 00:04:05
5,超ウルトラ元気玉,"攻撃参加中の自身を含む味方をKOした相手に
超激烈な威力で反撃","自身の復活スキルが発動したとき発動
(1回のみ)",50,"{""bg"": ""com_chara_info_bg_yellow.png"", ""label"": ""sp_atk_label_a_0003.png"", ""label_bg"": ""com_base_atk_yellow.png""}",17,1,"[""type"", 0]",5,11587,0,236,1,2024-02-15 00:04:05,2024-02-15 00:04:05
6,舞空術アタック,"攻撃参加中の自身を含む味方をKOした相手に
超激烈な威力で反撃","自身の復活スキルが発動したとき発動
(1回のみ)",50,"{""bg"": ""com_chara_info_bg_yellow.png"", ""label"": ""sp_atk_label_a_0003.png"", ""label_bg"": ""com_base_atk_yellow.png""}",17,1,"[""type"", 0]",6,12043,0,267,1,2024-02-15 00:04:05,2024-02-15 00:04:05
7,サイヤパワー増加,"自身のスタンバイモードが終了し、
HPが30%回復、
3ターンの間、自身の気力+3","チャージカウント29以下で発動可能
(1回のみ)",0,"{""bg"": ""com_chara_info_bg_blue.png"", ""label"": ""sp_atk_label_a_0004_a.png"", ""label_bg"": ""com_base_atk_blue.png""}",0,1,"[""&"", [""type"", 55, [1]], [""<"", [""type"", 52], [""int"", 30]]]",0,12254,0,279,1,2024-02-15 00:04:05,2024-02-15 00:04:05
8,超フルパワー進化,超フルパワーサイヤ人4孫悟空へ進化する,"チャージカウント30以上で発動可能
(1回のみ)",10,"{""bg"": ""com_chara_info_bg_blue.png"", ""label"": ""sp_atk_label_a_0004_a.png"", ""label_bg"": ""com_base_atk_blue.png""}",0,1,"[""&"", [""type"", 55, [1]], ["">="", [""type"", 52], [""int"", 30]]]",0,12253,0,278,1,2024-02-15 00:04:05,2024-02-15 00:04:05
9,超フルパワー進化,超フルパワーサイヤ人4孫悟空へ進化する,"チャージカウント30以上で発動可能
(1回のみ)",10,"{""bg"": ""com_chara_info_bg_blue.png"", ""label"": ""sp_atk_label_a_0004_a.png"", ""label_bg"": ""com_base_atk_blue.png""}",0,1,"[""&"", [""type"", 55, [1]], ["">="", [""type"", 52], [""int"", 30]]]",0,12253,0,278,1,2024-02-15 00:04:05,2024-02-15 00:04:05
10,ファイナルホープスラッシュ,"チャージカウント1つにつき
一時的にATK50%UPし、
相手に超究極ダメージを与える","チャージカウント1以上で発動可能
(1回のみ)",10,"{""bg"": ""com_chara_info_bg_blue.png"", ""label"": ""sp_atk_label_a_0004_a.png"", ""label_bg"": ""com_base_atk_blue.png""}",0,1,"[""&"", [""type"", 55, [1]], ["">="", [""type"", 52], [""int"", 1]]]",7,12543,0,294,1,2024-02-15 00:04:05,2024-02-15 00:04:05
