id,type,name,image_path,dragonball_session_id,priority,created_at,updated_at
0,MissionCategory::ComebackMissionCategory,カムバックミッション,,,1,2024-05-20 01:34:08,2024-05-20 01:34:08
1,MissionCategory::NormalMissionCategory,ノーマルミッション,,,1,2024-05-20 01:34:08,2024-05-20 01:34:08
2,MissionCategory::NormalMissionCategory,神様ミッション,,,1,2024-05-20 01:34:08,2024-05-20 01:34:08
3,MissionCategory::NormalMissionCategory,界王様ミッション,,,1,2024-05-20 01:34:08,2024-05-20 01:34:08
4,MissionCategory::OldMissionCategory,報酬未受け取り,images/mission/mission_banner_oldmission.png,,1,2024-05-20 01:34:08,2024-05-20 01:34:08
5,MissionCategory::AchievementMissionCategory,称号ミッション,,,1,2024-05-20 01:34:08,2024-05-20 01:34:08
6,MissionCategory::SpecialMissionCategory,界王神からの試練,,,1,2024-05-20 01:34:08,2024-05-20 01:34:08
7,MissionCategory::PorungaMissionCategory,ポルンガ１周目,,1001.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
8,MissionCategory::PorungaMissionCategory,ポルンガ２周目,,1002.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
9,MissionCategory::PorungaMissionCategory,ポルンガ３周目,,1003.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
10,MissionCategory::PorungaMissionCategory,ポルンガ４周目,,1011.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
11,MissionCategory::PorungaMissionCategory,ポルンガ５周目,,1021.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
12,MissionCategory::PorungaMissionCategory,ポルンガ６周目,,1022.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
13,MissionCategory::PorungaMissionCategory,ポルンガ７周目,,1023.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
14,MissionCategory::InvisibleMissionCategory,隠しミッション,,,1,2024-05-20 01:34:08,2024-05-20 01:34:08
15,MissionCategory::PorungaMissionCategory,黒煙の龍,,2001.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
16,MissionCategory::PorungaMissionCategory,ポルンガ8周目,,1031.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
