id,rmbattle_help_id,image_path,description,created_at,updated_at
1,2,,"バーチャルドッカン大乱戦 Ver.2.0は、
{color: #FFFF00}ランク150以上から参加可能{color}な
新たなバトルモードです。",2021-11-17 00:25:22,2021-11-17 00:25:22
2,2,images/help/rmb_help_001_A_2.png,"コンティニューは行えず
サポートアイテムも持ち込めませんが、
{color: #FFFF00}ACTを消費しません。{color}",2021-11-17 00:25:22,2021-11-17 00:25:22
3,3,,"バーチャルドッカン大乱戦 Ver.2.0では、
参加するキャラクターとして
{color: #FFFF00}UR・LRのキャラクターを
最大112体まで選択することが可能{color}です。",2021-11-17 00:25:22,2021-11-17 00:25:22
4,3,images/help/rmb_help_002_B.png,"「おまかせ」を押すことで
ステータスの合計が高いキャラクター順に
112体選出することが可能です。

また、参加するキャラクターは
{color: #FFFF00}同名キャラクターを選択することが可能{color}です。",2021-11-17 00:25:22,2021-11-17 00:25:22
5,4,images/help/rmb_help_003.png,"各ステージの敵を撃破するとステージクリアとなります。
ステージクリアで報酬を獲得できます。

「？マーク」の周りのステージをすべてクリアすると
ボスの登場するステージが出現します。

ボスの登場するステージをクリアするとLEVELクリアとなります。

LEVELは複数あり、すべてのLEVELをクリアするとゲームクリアとなります。",2021-11-17 00:25:22,2021-11-17 00:25:22
6,5,,"バトルに参加するキャラクターとして
最大7体のキャラクターを選択して
敵と闘います。",2021-11-17 00:25:22,2021-11-17 00:25:22
7,5,images/help/rmb_help_004.png,"7体のうち
最初に選択したキャラクターは「リーダー」
2番目に選択したキャラクターは
{color: #FFFF00}「サブリーダー」{color}となり、
「サブリーダー」も「リーダー」と同様に
{color: #FFFF00}リーダースキルを発動することが可能{color}です。",2021-11-17 00:25:22,2021-11-17 00:25:22
8,5,images/help/rmb_help_005.png,"バトルに参加できるキャラクターは
全く同じキャラクターを選択することができませんが
{color: #FFFF00}二つ名が違う同名キャラクターを選択する事が可能{color}です。",2021-11-17 00:25:22,2021-11-17 00:25:22
9,6,,"通常のバトルとは違い、
コンティニューは行えず
サポートアイテムも持ち込めません。",2021-11-17 00:25:22,2021-11-17 00:25:22
10,6,images/help/rmb_help_006.png,"一度バトルに参加したキャラクターは
ゲームオーバーにならない限り
再度バトルに参加することができません。

敵のHPはバトルで敗北しても
ゲームオーバーにならない限り引き継ぎます。",2021-11-17 00:25:22,2021-11-17 00:25:22
11,7,,"残りキャラクター数が0になると
ゲームオーバーになります。

残りキャラクター数が0の場合は
バトルに勝利してもゲームオーバーになります。
※最後のボスバトルは
　残りキャラクター数が0でクリアしても
　ゲームクリアとなります。",2021-11-17 00:25:22,2021-11-17 00:25:22
12,7,images/help/rmb_help_007.png,"残りキャラクター数は各画面の下部や
「状況確認画面」で確認することができます。",2021-11-17 00:25:22,2021-11-17 00:25:22
13,7,images/help/rmb_help_008.png,"また、大乱戦TOPのリタイアボタンを押すと
その場で大乱戦を終了することができます。",2021-11-17 00:25:22,2021-11-17 00:25:22
14,7,images/help/rmb_help_009.png,"リタイアした場合や
バトルで負けてゲームオーバーになった場合は、
クリアしていないステージの報酬を
獲得することはできません。",2021-11-17 00:25:22,2021-11-17 00:25:22
15,8,,"特定の条件を満たすことで
「ミッション報酬」を獲得することができます。",2021-11-17 00:25:22,2021-11-17 00:25:22
16,8,images/help/rmb_help_010.png,"ミッション達成条件や報酬内容は
TOP画面にある「ミッション」より
確認することができます。",2021-11-17 00:25:22,2021-11-17 00:25:22
17,1,,"{center : begin}{size : 24}{color : #FFFF00}{outline : #FF0000, 2}新たな形へ進化した大乱戦を制覇せよ！{outline}{color}{size}{center}",2021-11-17 00:25:22,2021-11-17 00:25:22
18,1,images/help/rmb_help_011.png,"
バーチャルドッカン大乱戦 Ver.2.0は、
レアリティが{color: #FFFF00}UR・LR{color}のキャラクター
{color: #FFFF00}最大112体{color}で挑む新たなバトルモードだ!!",2021-11-17 00:25:22,2021-11-17 00:25:22
19,1,,"コンティニューは行えず
サポートアイテムも持ち込めないが、
{color: #FFFF00}ACTを消費しない{color}ぞ!!

{size : 24}{color : #FFFF00}{outline : #FF0000, 2}バトル{outline}{color}{size}

バトルに参加するキャラクターは
最大7体のキャラクターを選択することが可能。",2021-11-17 00:25:22,2021-11-17 00:25:22
20,1,images/help/rmb_help_012.png,"フレンドを選択することができないが、
自身の仲間の中から{color: #FFFF00}「サブリーダー」{color}を１体選ぶことで
リーダーと合わせて{color: #FFFF00}2体分のリーダースキルが発動する{color}ぞ!!",2021-11-17 00:25:22,2021-11-17 00:25:22
21,1,,"各ステージの敵を撃破するとステージクリアとなり、
ステージクリアで報酬を獲得できるぞ！

「？マーク」の周りのステージをすべてクリアすると
ボスの登場するステージが出現！

ボスの登場するステージをクリアすると
LEVELクリアだ！

LEVELは複数あるので、すべてのLEVELをクリアし
ゲームクリアを目指そう！",2021-11-17 00:25:22,2021-11-17 00:25:22
22,1,images/help/rmb_help_003.png,"出現する敵はどれも強力！

育てた仲間たちを
どのステージに出撃させるかを考えながら
攻略していこう!!",2021-11-17 00:25:22,2021-11-17 00:25:22
23,1,images/help/rmb_help_006.png,"強力なリーダースキルを発動させて
一気に敵を打ち倒そう!!",2021-11-17 00:25:22,2021-11-17 00:25:22
24,9,,"各ステージの初回クリア報酬などで獲得できる
秘宝「激闘の記憶」は開催期間が終了した後も残り、
次回以降の開催時にも同じものが使用できるぞ！

交換に「激闘の記憶」がたくさん必要な時は
1回の大乱戦が終了した後も使用せずに貯めて、
足りない分は次回以降の大乱戦で集めよう!!",2021-11-17 00:25:22,2021-11-17 00:25:22
