id,sd_arena_id,sd_enemy_table_id,respawn_minutes,position_x,position_y,created_at,updated_at
1,1,1,60,0,2,2024-05-20 01:35:49,2024-05-20 01:35:49
2,1,4,60,-5,10,2024-05-20 01:35:49,2024-05-20 01:35:49
3,1,2,60,5,10,2024-05-20 01:35:49,2024-05-20 01:35:49
4,1,4,60,-7,2,2024-05-20 01:35:49,2024-05-20 01:35:49
5,1,3,60,7,2,2024-05-20 01:35:49,2024-05-20 01:35:49
6,2,7,60,0,2,2024-05-20 01:35:49,2024-05-20 01:35:49
7,2,5,60,-5,10,2024-05-20 01:35:49,2024-05-20 01:35:49
8,2,8,60,5,10,2024-05-20 01:35:49,2024-05-20 01:35:49
9,2,8,60,-7,2,2024-05-20 01:35:49,2024-05-20 01:35:49
10,2,6,60,7,2,2024-05-20 01:35:49,2024-05-20 01:35:49
11,3,12,60,0,2,2024-05-20 01:35:49,2024-05-20 01:35:49
12,3,12,60,-5,10,2024-05-20 01:35:49,2024-05-20 01:35:49
13,3,10,60,5,10,2024-05-20 01:35:49,2024-05-20 01:35:49
14,3,11,60,-7,2,2024-05-20 01:35:49,2024-05-20 01:35:49
15,3,9,60,7,2,2024-05-20 01:35:49,2024-05-20 01:35:49
16,4,15,60,0,2,2024-05-20 01:35:49,2024-05-20 01:35:49
17,4,16,60,-5,10,2024-05-20 01:35:49,2024-05-20 01:35:49
18,4,16,60,5,10,2024-05-20 01:35:49,2024-05-20 01:35:49
19,4,13,60,-7,2,2024-05-20 01:35:49,2024-05-20 01:35:49
20,4,14,60,7,2,2024-05-20 01:35:49,2024-05-20 01:35:49
21,5,17,60,0,2,2024-05-20 01:35:49,2024-05-20 01:35:49
22,5,20,60,-5,10,2024-05-20 01:35:49,2024-05-20 01:35:49
23,5,18,60,5,10,2024-05-20 01:35:49,2024-05-20 01:35:49
24,5,20,60,-7,2,2024-05-20 01:35:49,2024-05-20 01:35:49
25,5,19,60,7,2,2024-05-20 01:35:49,2024-05-20 01:35:49
26,6,23,60,0,2,2024-05-20 01:35:49,2024-05-20 01:35:49
27,6,21,60,-5,10,2024-05-20 01:35:49,2024-05-20 01:35:49
28,6,24,60,5,10,2024-05-20 01:35:49,2024-05-20 01:35:49
29,6,24,60,-7,2,2024-05-20 01:35:49,2024-05-20 01:35:49
30,6,22,60,7,2,2024-05-20 01:35:49,2024-05-20 01:35:49
31,7,28,60,0,2,2024-05-20 01:35:49,2024-05-20 01:35:49
32,7,28,60,-5,10,2024-05-20 01:35:49,2024-05-20 01:35:49
33,7,26,60,5,10,2024-05-20 01:35:49,2024-05-20 01:35:49
34,7,27,60,-7,2,2024-05-20 01:35:49,2024-05-20 01:35:49
35,7,25,60,7,2,2024-05-20 01:35:49,2024-05-20 01:35:49
