id,special_set_id,type,efficacy_type,target_type,calc_option,turn,prob,causality_conditions,eff_value1,eff_value2,eff_value3,created_at,updated_at
5,5,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
7,7,Special::ExtraEfficacySpecial,9,3,0,2,10,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
11,11,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
12,12,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
17,17,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
21,21,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
31,31,Special::ExtraEfficacySpecial,9,3,0,2,10,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
64,64,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
68,68,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
72,72,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
73,73,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
74,74,Special::ExtraEfficacySpecial,9,3,0,2,25,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
75,75,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
88,88,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
91,91,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
96,96,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
99,99,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
100,100,Special::NormalEfficacySpecial,1,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
103,103,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
104,104,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
106,106,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
108,108,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
109,109,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
111,111,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
112,112,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
114,114,Special::NormalEfficacySpecial,1,1,2,99,100,,67,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
118,118,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
119,119,Special::ExtraEfficacySpecial,9,3,0,2,70,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
120,120,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
128,128,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
130,130,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
131,131,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
132,132,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
133,133,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
136,136,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
138,138,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
142,142,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
143,143,Special::ExtraEfficacySpecial,9,3,0,2,15,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
148,148,Special::ExtraEfficacySpecial,9,3,0,2,10,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
149,149,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
150,150,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
162,162,Special::NormalEfficacySpecial,1,3,3,3,100,,25,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
163,163,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
166,166,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
167,167,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
168,168,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
169,169,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
171,171,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
172,172,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
175,175,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
178,178,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
183,183,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
187,187,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
189,189,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
192,192,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
193,193,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
194,194,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
195,195,Special::ExtraEfficacySpecial,9,3,0,2,10,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
199,199,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
201,201,Special::ExtraEfficacySpecial,9,3,0,2,70,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
202,202,Special::ExtraEfficacySpecial,9,3,0,2,10,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
204,204,Special::ExtraEfficacySpecial,9,3,0,2,25,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
205,205,Special::NormalEfficacySpecial,1,2,2,1,100,,15,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
209,209,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
217,217,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
225,225,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
227,227,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
228,228,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
240,240,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
241,241,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
244,244,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
246,246,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
251,251,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
252,252,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
258,258,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
259,259,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
262,262,Special::NormalEfficacySpecial,1,2,2,1,100,,15,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
264,264,Special::ExtraEfficacySpecial,9,3,0,2,25,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
265,265,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
266,266,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
268,268,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
269,269,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
272,272,Special::NormalEfficacySpecial,2,3,3,3,100,,30,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
273,273,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
275,275,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
276,276,Special::NormalEfficacySpecial,1,3,3,3,100,,30,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
278,278,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
279,279,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
280,280,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
281,281,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
282,282,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
284,284,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
285,285,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
286,286,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
288,288,Special::NormalEfficacySpecial,1,1,2,99,100,,67,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
301,301,Special::ExtraEfficacySpecial,9,3,0,2,15,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
303,303,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
304,304,Special::NormalEfficacySpecial,1,3,3,3,100,,30,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
305,305,Special::ExtraEfficacySpecial,9,3,0,2,15,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
307,307,Special::NormalEfficacySpecial,1,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
309,309,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
310,310,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
319,319,Special::NormalEfficacySpecial,1,1,2,99,100,,50,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
320,320,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
322,322,Special::NormalEfficacySpecial,1,1,2,99,100,,50,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
323,323,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
324,324,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
325,325,Special::ExtraEfficacySpecial,9,3,0,2,15,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
326,326,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
328,328,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
329,329,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
334,334,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
338,338,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
341,341,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
342,342,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
343,343,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
344,344,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
345,345,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
347,347,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
349,349,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
351,351,Special::NormalEfficacySpecial,1,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
358,358,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
362,362,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
366,366,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
367,367,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
368,368,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
370,370,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
371,371,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
374,374,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
376,376,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
381,381,Special::NormalEfficacySpecial,1,2,2,1,100,,25,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
382,382,Special::NormalEfficacySpecial,1,2,2,1,100,,30,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
385,385,Special::NormalEfficacySpecial,1,2,2,1,100,,30,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
387,387,Special::NormalEfficacySpecial,1,2,2,1,100,,25,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
388,388,Special::ExtraEfficacySpecial,9,3,0,2,10,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
389,389,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
391,391,Special::ExtraEfficacySpecial,9,3,0,2,15,,0,0,0,2024-05-20 01:36:00,2024-05-20 01:36:00
