id,active_skill_set_id,target_type,sub_target_type_set_id,calc_option,efficacy_type,eff_val1,eff_val2,eff_val3,efficacy_values,thumb_effect_id,effect_se_id,created_at,updated_at
12,13,2,0,2,1,33,0,0,{},5011.0,44.0,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
13,18,1,0,0,5,24,0,0,{},5014.0,44.0,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
14,18,1,0,2,1,48,0,0,{},5011.0,44.0,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
15,19,1,0,0,103,4017100,1,1558,{},1945.0,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
16,20,1,0,0,103,4017101,1,1559,{},1945.0,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
17,21,1,0,0,103,4017140,1,1562,{},1944.0,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
18,22,1,0,0,103,4017141,1,1563,{},1944.0,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
19,23,1,0,0,79,4017200,619,620,{},1948.0,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
20,24,1,0,0,79,4017201,619,620,{},1948.0,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
21,25,3,0,3,1,30,0,0,{},5012.0,45.0,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
22,26,3,0,3,2,80,0,0,{},5012.0,45.0,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
23,27,1,0,0,103,4017640,1,1568,{},3090.0,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
24,28,1,0,0,103,4017641,1,1569,{},3090.0,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
25,29,1,0,0,103,4017500,1,1572,{},3079.0,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
26,30,1,0,0,103,4017501,1,1573,{},3079.0,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
27,31,1,0,0,103,4017670,1,1574,{},,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
28,32,1,0,0,103,4017671,1,1575,{},,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
29,33,1,0,0,103,4017750,1,1576,{},,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
30,34,1,0,0,103,4017751,1,1577,{},,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
31,35,1,0,0,103,4018040,1,1580,{},,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
32,36,1,0,0,103,4018041,1,1581,{},,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
33,37,1,0,0,103,4018200,1,1584,{},,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
34,38,1,0,0,103,4018201,1,1585,{},,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
35,39,2,0,2,1,30,0,0,{},5011.0,44.0,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
36,42,1,0,2,90,100,0,0,{},5011.0,44.0,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
37,42,1,0,3,2,50,0,0,{},5012.0,45.0,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
38,42,3,0,2,9,0,0,0,{},5015.0,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
39,43,2,0,0,22,0,0,0,{},,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
40,43,2,0,2,1,22,0,0,{},5011.0,44.0,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
41,44,1,0,0,79,4018890,625,626,{},3108.0,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
42,45,1,0,0,79,4018891,625,626,{},3108.0,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
43,46,1,0,0,103,4019150,1,1598,{},,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
44,47,1,0,0,103,4019151,1,1599,{},,,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
45,48,1,0,2,1,50,0,0,{},5011.0,44.0,2024-04-30 09:32:01.701802,2024-04-30 09:32:01.701802
