id,name,description,zeni,rarity,selling_exchange_point,event_jumpable,created_at,updated_at
1,Gregory,"A common, easily obtained Awakening Medal.",500,0,1,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
2,Bubbles,"A common, easily obtained Awakening Medal.",500,0,1,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3,Dr. Gero,"A common, easily obtained Awakening Medal.",500,0,1,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
4,Mr. Popo,"A Medal required primarily for TEQ Awakening.
Relatively easy to get.",5000,1,10,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5,Master Shen,"A Medal required primarily for INT Awakening.
Relatively easy to get.",5000,1,10,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
6,Master Roshi,"A Medal required primarily for STR Awakening.
Relatively easy to get.",5000,1,10,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
7,Mutaito,"A Medal required primarily for PHY Awakening.
Relatively easy to get.",5000,1,10,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
8,Grandpa Gohan,"A Medal required primarily for AGL Awakening.
Relatively easy to get.",5000,1,10,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
9,Kami,"A Medal required primarily for INT Awakening.
Somewhat difficult to get.",50000,2,40,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
10,Grand Elder Guru,"A Medal required primarily for PHY Awakening.
Somewhat difficult to get.",50000,2,40,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
11,Babidi,"A Medal required primarily for TEQ Awakening.
Somewhat difficult to get.",50000,2,40,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
12,Bibidi,"A Medal required primarily for STR Awakening.
Somewhat difficult to get.",50000,2,40,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
13,Korin,"A Medal required primarily for AGL Awakening.
Somewhat difficult to get.",50000,2,40,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
14,Kibito,"A Medal required primarily for AGL Awakening.
Difficult to get.",250000,3,100,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
15,West Kai,"A Medal required primarily for INT Awakening.
Difficult to get.",250000,3,100,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
16,South Kai,"A Medal required primarily for STR Awakening.
Difficult to get.",250000,3,100,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
17,East Kai,"A Medal required primarily for PHY Awakening.
Difficult to get.",250000,3,100,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
18,North Kai,"A Medal required primarily for TEQ Awakening.
Difficult to get.",250000,3,100,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
19,Supreme Kai,"The ultimate, rarely obtainable Awakening Medal.",500000,3,2000,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
20,Elder Kai,"The ultimate, rarely obtainable Awakening Medal.",500000,3,2000,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
101,Goku,Character-specific Medal required for Awakening.,0,3,0,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
102,Dr. Gero,Character-specific Medal required for Awakening.,50000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
103,Android #19,Character-specific Medal required for Awakening.,50000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
104,Android #14,Character-specific Medal required for Awakening.,50000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
105,Android #15,Character-specific Medal required for Awakening.,50000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
321,Trunks (Teen),"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with ""Incredible Gem (Green)"".",50000,3,12,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
322,Super Saiyan Trunks (Teen) & Super Saiyan Broly,"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with ""Incredible Gem (Green)"".",50000,3,12,0,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
1001,Turtle,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
1002,Bulma,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
1391,Yamcha,Character-specific Medal required for Awakening.,320,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3030,Bardock,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3031,Fasha,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3032,Borgos,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3033,Shugesh,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3034,Tora,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3035,Frieza,Character-specific Medal required for Awakening.,12000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3041,Whis,"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with Trade Points.",1000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3042,Bulma,"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with Trade Points.",500,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3043,Jaco,"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with Trade Points.",15000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3044,Beerus,"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with Trade Points.",8000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3045,Vegeta,"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with Trade Points.",8000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3046,Android #18,"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with Trade Points.",2000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3047,Marron,"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with Trade Points.",100,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3048,Frieza (1st Form),Character-specific Medal required for Awakening.,3000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3049,Frieza (2nd Form),Character-specific Medal required for Awakening.,3000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3050,Frieza (3rd Form),Character-specific Medal required for Awakening.,3000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3051,Frieza (Final Form),Character-specific Medal required for Awakening.,50000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3052,Golden Frieza,Character-specific Medal required for Awakening.,50000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3061,Zangya,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3062,Gokua,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3063,Bido,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3064,Bujin,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3065,Boujack,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3066,Gohan (Youth),Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3071,Thouser,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3072,Doure,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3073,Naise,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3074,Cooler,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3075,Goku,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3081,Videl,Character-specific Medal required for Awakening.,10000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3082,Gohan (Teen),Character-specific Medal required for Awakening.,10000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3083,Hercule,Character-specific Medal required for Awakening.,10000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3084,Chi-Chi,Character-specific Medal required for Awakening.,10000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
