id,budokai_id,name,league,created_at,updated_at
1,1,League B,0,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
2,1,League A,1,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
3,1,League S,2,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
4,1,League G,3,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
5,2,League B,0,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
6,2,League A,1,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
7,2,League S,2,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
8,2,League G,3,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
9,3,League B,0,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
10,3,League A,1,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
11,3,League S,2,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
12,3,League G,3,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
13,4,League B,0,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
14,4,League A,1,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
15,4,League S,2,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
16,4,League G,3,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
17,5,League B,0,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
18,5,League A,1,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
19,5,League S,2,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
20,5,League G,3,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
21,6,League B,0,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
22,6,League A,1,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
23,6,League S,2,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
24,6,League G,3,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
25,7,League B,0,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
26,7,League A,1,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
27,7,League S,2,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
28,7,League G,3,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
29,8,League B,0,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
30,8,League A,1,2024-04-30 09:32:02.954366,2024-04-30 09:32:02.954366
