id,budokai_motivation_id,type,description,conditions,created_at,updated_at
150,224,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
151,225,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 2 Win Streak,"{""continuous_title_num"":2}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
152,226,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 3 Win Streak,"{""continuous_title_num"":3}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
153,227,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 4 Win Streak,"{""continuous_title_num"":4}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
154,228,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 5 Win Streak,"{""continuous_title_num"":5}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
155,229,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 6 Win Streak,"{""continuous_title_num"":6}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
156,230,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 7 Win Streak,"{""continuous_title_num"":7}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
157,234,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
158,235,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 2 Win Streak,"{""continuous_title_num"":2}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
159,236,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 3 Win Streak,"{""continuous_title_num"":3}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
160,237,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 4 Win Streak,"{""continuous_title_num"":4}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
161,238,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 5 Win Streak,"{""continuous_title_num"":5}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
162,239,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 6 Win Streak,"{""continuous_title_num"":6}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
163,240,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 7 Win Streak,"{""continuous_title_num"":7}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1704,1704,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1705,1705,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 2 Win Streak,"{""continuous_title_num"":2}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1706,1706,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 3 Win Streak,"{""continuous_title_num"":3}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1707,1707,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 4 Win Streak,"{""continuous_title_num"":4}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1708,1708,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 5 Win Streak,"{""continuous_title_num"":5}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1709,1709,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 6 Win Streak,"{""continuous_title_num"":6}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1710,1710,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 7 Win Streak,"{""continuous_title_num"":7}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1804,1804,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1805,1805,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 2 Win Streak,"{""continuous_title_num"":2}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1806,1806,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 3 Win Streak,"{""continuous_title_num"":3}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1807,1807,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 4 Win Streak,"{""continuous_title_num"":4}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1808,1808,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 5 Win Streak,"{""continuous_title_num"":5}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1809,1809,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 6 Win Streak,"{""continuous_title_num"":6}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1810,1810,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 7 Win Streak,"{""continuous_title_num"":7}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1904,1904,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1905,1905,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 2 Win Streak,"{""continuous_title_num"":2}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1906,1906,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 3 Win Streak,"{""continuous_title_num"":3}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1907,1907,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 4 Win Streak,"{""continuous_title_num"":4}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1908,1908,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 5 Win Streak,"{""continuous_title_num"":5}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1909,1909,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 6 Win Streak,"{""continuous_title_num"":6}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
1910,1910,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 7 Win Streak,"{""continuous_title_num"":7}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2004,2004,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2005,2005,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2006,2006,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2007,2007,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2008,2008,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2009,2009,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2010,2010,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2011,2011,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2012,2012,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2104,2104,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2105,2105,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2106,2106,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2107,2107,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2108,2108,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2109,2109,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2110,2110,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2111,2111,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2112,2112,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2204,2204,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2205,2205,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2206,2206,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2207,2207,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2208,2208,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2209,2209,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2210,2210,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2211,2211,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2212,2212,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2304,2304,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2305,2305,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2306,2306,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2307,2307,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2308,2308,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2309,2309,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2310,2310,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2311,2311,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2312,2312,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2404,2404,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2405,2405,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2406,2406,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2407,2407,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2408,2408,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2409,2409,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2410,2410,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2411,2411,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2412,2412,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2504,2504,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2505,2505,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2506,2506,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2507,2507,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
2508,2508,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-05-17 11:40:56.221996,2024-05-17 11:40:56.221996
