id,budokai_id,order,ranking,created_at,updated_at
1,1,1,1 - 100th place,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
2,1,2,"101 - 1,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
3,1,3,1001 - 2500th place,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
4,1,4,"2,501 - 5,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
5,1,5,"5,001 - 10,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
6,1,6,"10,001 - 20,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
7,1,7,"20,001 - 30,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
8,1,8,"30,001 - 40,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
9,1,9,"40,001 - 50,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
10,1,10,"50,001 - 750,00th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
11,1,11,"75,001 - 100,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
12,1,12,A rank of 3 repeated digits,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
13,1,13,A rank of 4 repeated digits,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
14,1,14,A rank of 5 repeated digits,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
15,2,1,1 - 100th place,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
16,2,2,"101 - 1,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
17,2,3,1001 - 2500th place,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
18,2,4,"2,501 - 5,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
19,2,5,"5,001 - 10,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
20,2,6,"10,001 - 20,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
21,2,7,"20,001 - 30,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
22,2,8,"30,001 - 50,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
23,2,9,"50,001 - 100,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
24,2,10,"100,001 - 200,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
25,2,11,A rank of 3 repeated digits,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
26,2,12,A rank of 4 repeated digits,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
27,2,13,A rank of 5 repeated digits,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
28,3,1,1 - 100th place,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
29,3,2,"101 - 1,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
30,3,3,1001 - 2500th place,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
31,3,4,"2,501 - 5,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
32,3,5,"5,001 - 10,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
33,3,6,"10,001 - 20,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
34,3,7,"20,001 - 30,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
35,3,8,"30,001 - 50,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
36,3,9,"50,001 - 75,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
37,3,10,"75,001 - 100,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
38,3,11,"100,001 - 200,000th place",2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
39,3,12,A rank of 3 repeated digits,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
40,3,13,A rank of 4 repeated digits,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
41,3,14,A rank of 5 repeated digits,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
42,4,1,1st,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
43,4,2,2nd,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
44,4,3,3rd,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
45,4,4,4 - 10th place,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
46,4,5,11 - 100th place,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
47,4,6,101 - 1000th place,2024-04-30 09:31:39.432815,2024-04-30 09:31:39.432815
