id,num,awakening_item_id,quantity,card_awakening_set_id,created_at,updated_at
1,1,1,50,1,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
2,2,8,20,1,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
3,3,13,10,1,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
4,4,14,3,1,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
5,5,20,1,1,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
6,1,1,50,2,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
7,2,4,20,2,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
8,3,11,10,2,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
9,4,18,3,2,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
10,5,19,1,2,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
11,1,1,50,3,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
12,2,6,20,3,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
13,3,12,10,3,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
14,4,16,3,3,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
15,5,20,1,3,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
16,1,1,50,4,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
17,2,7,20,4,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
18,3,10,10,4,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
19,4,17,3,4,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
20,5,19,1,4,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
21,1,1,20,5,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
22,2,6,10,5,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
23,3,12,5,5,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
24,4,16,1,5,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
25,1,2,20,6,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
26,2,4,10,6,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
27,3,11,5,6,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
28,4,18,1,6,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
29,1,3,20,7,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
30,2,6,10,7,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
31,3,12,5,7,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
32,4,16,1,7,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
33,1,3,20,8,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
34,2,8,10,8,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
35,3,13,5,8,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
36,4,14,1,8,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
37,1,1,20,9,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
38,2,4,10,9,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
39,3,11,5,9,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
40,4,18,1,9,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
41,1,1,20,10,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
42,2,8,10,10,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
43,3,13,5,10,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
44,4,14,1,10,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
45,1,3,20,11,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
46,2,5,10,11,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
47,3,9,5,11,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
48,4,15,1,11,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
49,1,2,20,12,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
50,2,5,10,12,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
51,3,9,5,12,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
52,4,15,1,12,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
53,1,1,20,13,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
54,2,7,10,13,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
55,3,10,5,13,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
56,4,17,1,13,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
57,1,2,20,14,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
58,2,7,10,14,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
59,3,10,5,14,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
60,4,17,1,14,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
61,1,3,10,15,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
62,2,1,10,15,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
63,3,5,5,15,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
64,1,1,10,16,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
65,2,2,10,16,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
66,3,8,5,16,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
67,1,2,10,17,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
68,2,3,10,17,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
69,3,7,5,17,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
70,1,2,10,18,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
71,2,3,10,18,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
72,3,4,5,18,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
73,1,3,10,19,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
74,2,1,10,19,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
75,3,8,5,19,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
76,1,1,10,20,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
77,2,2,10,20,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
78,3,7,5,20,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
79,1,3,10,21,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
80,2,1,10,21,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
81,3,6,5,21,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
82,1,1,10,22,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
83,2,2,10,22,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
84,3,4,5,22,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
85,1,2,10,23,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
86,2,3,10,23,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
87,3,5,5,23,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
88,1,1,10,24,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
89,2,2,10,24,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
90,3,6,5,24,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
91,1,3,3,25,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
92,2,1,3,25,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
93,1,1,3,26,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
94,2,2,3,26,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
95,1,2,3,27,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
96,2,3,3,27,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
97,1,18,1,28,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
98,1,2,50,29,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
99,2,7,20,29,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
100,3,10,10,29,2024-02-27 09:30:29.258243,2024-02-27 09:30:29.258243
101,4,17,3,29,2024-02-27 09:30:29.265780,2024-02-27 09:30:29.265780
102,5,19,1,29,2024-02-27 09:30:29.265780,2024-02-27 09:30:29.265780
103,1,2,50,30,2024-02-27 09:30:29.265780,2024-02-27 09:30:29.265780
104,2,8,20,30,2024-02-27 09:30:29.265780,2024-02-27 09:30:29.265780
105,3,13,10,30,2024-02-27 09:30:29.265780,2024-02-27 09:30:29.265780
106,4,14,3,30,2024-02-27 09:30:29.265780,2024-02-27 09:30:29.265780
107,5,20,1,30,2024-02-27 09:30:29.265780,2024-02-27 09:30:29.265780
108,1,2,50,31,2024-02-27 09:30:29.265780,2024-02-27 09:30:29.265780
109,2,5,20,31,2024-02-27 09:30:29.265780,2024-02-27 09:30:29.265780
110,3,9,10,31,2024-02-27 09:30:29.265780,2024-02-27 09:30:29.265780
111,4,15,3,31,2024-02-27 09:30:29.265780,2024-02-27 09:30:29.265780
112,5,19,1,31,2024-02-27 09:30:29.265780,2024-02-27 09:30:29.265780
113,1,2,20,32,2024-02-27 09:30:29.265780,2024-02-27 09:30:29.265780
114,2,6,10,32,2024-02-27 09:30:29.265780,2024-02-27 09:30:29.265780
