id,name,kana,priority,open_at,created_at,updated_at
1,Fusion,,69700,2017-11-06 04:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
2,Shadow Dragon Saga,,89400,2017-11-06 04:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
3,World Tournament,,39000,2017-11-06 04:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
4,Peppy Gals,,79000,2017-11-06 04:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
5,Hybrid Saiyans,,79900,2017-12-28 02:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
6,Universe Survival Saga,,89500,2018-02-17 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
7,Resurrected Warriors,,29700,2018-03-15 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
8,Realm of Gods,,60000,2017-12-21 04:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
9,Majin Buu Saga,,89700,2018-01-22 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
10,Potara,,69600,2018-03-02 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
11,Low-Class Warrior,,29950,2018-04-05 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
12,Super Saiyan 3,,69800,2018-05-25 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
13,Giant Form,,69500,2018-05-25 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
14,Planet Namek Saga,,89900,2018-07-07 00:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
15,Ginyu Force,,40000,2018-07-30 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
16,Movie Bosses,,39200,2018-08-13 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
17,Pure Saiyans,,80000,2018-10-26 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
18,Namekians,,79700,2018-08-28 05:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
19,Future Saga,,89600,2018-12-12 00:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
20,Full Power,,59900,2018-11-21 05:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
21,Androids,,79600,2018-10-04 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
22,Representatives of Universe 7,,39700,2018-09-13 05:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
23,Transformation Boost,,69400,2019-01-16 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
24,Wicked Bloodline,,79200,2019-04-03 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
25,Dragon Ball Seekers,,29400,2019-02-26 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
26,Time Travelers,,29500,2019-02-01 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
27,Universe 6,,39800,2018-12-24 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
28,Joined Forces,,49800,2019-02-13 05:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
29,Movie Heroes,,39300,2019-02-01 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
30,Goku's Family,,79400,2019-04-02 08:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
31,Vegeta's Family,,79300,2019-03-18 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
32,Artificial Life Forms,,79500,2019-07-26 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
33,Youth,,79100,2019-05-21 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
34,DB Saga,,90000,2019-05-21 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
35,Siblings' Bond,,49700,2019-05-08 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
36,Super Saiyans,,70000,2019-10-03 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
37,Worthy Rivals,,50000,2019-12-09 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
38,Androids/Cell Saga,,89800,2019-08-27 05:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
39,Kamehameha,,69200,2019-08-29 20:35:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
40,Bond of Master and Disciple,,49500,2019-12-09 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
41,Terrifying Conquerors,,19800,2020-03-02 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
42,Dragon Ball Heroes,,9900,2020-01-17 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
43,Target: Goku,,19900,2020-04-02 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
44,Otherworld Warriors,,29800,2020-05-08 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
45,Super Saiyan 2,,69900,2020-05-08 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
46,Final Trump Card,,59000,2020-07-09 06:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
47,Exploding Rage,,19500,2020-06-08 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
48,Revenge,,20000,2020-03-18 06:18:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
49,Team Bardock,,39900,2020-03-18 00:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
50,Inhuman Deeds,,19700,2020-06-22 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
51,Earthlings,,79800,2020-06-08 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
52,Special Pose,,18800,2020-11-06 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
53,Majin Power,,59700,2020-08-29 06:27:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
54,Rapid Growth,,59300,2020-08-11 00:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
55,All-Out Struggle,,19200,2020-12-04 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
