id,card_id,finish_skill_set_id,created_at,updated_at
1,4026400,1,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
2,4026401,1,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
3,4026400,2,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
4,4026401,2,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
5,4025740,3,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
6,4025741,3,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
7,4025740,4,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
8,4025741,4,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
9,4025780,5,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
10,4025781,5,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
11,4026540,6,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
12,4026541,6,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
13,4026910,7,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
14,4026911,7,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
15,4026910,8,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
16,4026911,9,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
17,4027300,10,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
18,4027301,10,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
19,9526400,1,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
20,9526401,1,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
21,9526400,2,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
22,9526401,2,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
23,4027630,11,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
24,4027631,11,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
25,4027630,12,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
26,4027631,12,2024-05-17 11:40:42.971376,2024-05-17 11:40:42.971376
