id,grow_type,lv,coef,created_at,updated_at
1,1,1,0.0,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
2,1,2,0.004,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
3,1,3,0.011,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
4,1,4,0.021,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
5,1,5,0.036,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
6,1,6,0.055,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
7,1,7,0.08,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
8,1,8,0.109,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
9,1,9,0.145,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
10,1,10,0.186,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
11,1,11,0.234,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
12,1,12,0.289,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
13,1,13,0.351,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
14,1,14,0.42,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
15,1,15,0.496,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
16,1,16,0.581,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
17,1,17,0.673,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
18,1,18,0.773,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
19,1,19,0.882,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
20,1,20,1.0,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
21,2,1,0.0,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
22,2,2,0.001,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
23,2,3,0.002,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
24,2,4,0.005,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
25,2,5,0.01,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
26,2,6,0.018,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
27,2,7,0.029,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
28,2,8,0.046,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
29,2,9,0.067,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
30,2,10,0.096,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
