id,card_id,category,filename,created_at,updated_at
1,1000450,10002,ak1000,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
2,1000450,10002,ak1001,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
3,1000450,10004,bk1000,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
4,1000450,10004,bk1001,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
5,1000500,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
6,1000500,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
7,1000560,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
8,1000560,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
9,1000580,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
10,1000580,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
11,1000590,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
12,1000590,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
13,1000610,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
14,1000610,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
15,1000620,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
16,1000620,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
17,1000630,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
18,1000630,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
19,1000640,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
20,1000640,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
21,1000650,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
22,1000650,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
23,1000670,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
24,1000670,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
25,1000680,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
26,1000680,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
27,1000690,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
28,1000690,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
29,1000740,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
30,1000740,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
31,1000750,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
32,1000750,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
33,1000760,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
34,1000760,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
35,1000770,10002,ak1000,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
36,1000770,10002,ak1001,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
37,1000770,10004,bk1000,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
38,1000770,10004,bk1001,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
39,1000800,10002,ak1000,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
40,1000800,10002,ak1001,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
41,1000800,10004,bk1000,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
42,1000800,10004,bk1001,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
43,1000820,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
44,1000820,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
45,1001040,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
46,1001040,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
47,1001280,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
48,1001280,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
49,1001340,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
50,1001340,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
51,1001370,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
52,1001370,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
53,3000010,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
54,3000010,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
55,3000020,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
56,3000020,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
57,3000030,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
58,3000030,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
59,3000040,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
60,3000040,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
61,3000050,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
62,3000050,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
63,3000060,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
64,3000060,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
65,3000070,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
66,3000070,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
67,3000080,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
68,3000080,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
69,3000090,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
70,3000090,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
71,3000100,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
72,3000100,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
73,3000110,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
74,3000110,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
75,3000120,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
76,3000120,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
77,3000130,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
78,3000130,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
79,3000140,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
80,3000140,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
81,3000150,20002,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
82,3000150,20004,,2024-04-30 09:31:50.428343,2024-04-30 09:31:50.428343
