id,card_id,skill_lv,condition,probability,created_at,updated_at
6,1003970,1,0,100,2024-02-27 09:30:39.203563,2024-02-27 09:30:39.203563
7,1009850,1,0,100,2024-02-27 09:30:39.203563,2024-02-27 09:30:39.203563
8,1012230,1,1,100,2024-02-27 09:30:39.203563,2024-02-27 09:30:39.203563
9,1012240,1,1,100,2024-02-27 09:30:39.203563,2024-02-27 09:30:39.203563
10,1012250,1,1,100,2024-02-27 09:30:39.203563,2024-02-27 09:30:39.203563
11,1012260,1,1,100,2024-02-27 09:30:39.203563,2024-02-27 09:30:39.203563
12,1012270,1,1,100,2024-02-27 09:30:39.203563,2024-02-27 09:30:39.203563
13,1013400,1,0,30,2024-02-27 09:30:39.203563,2024-02-27 09:30:39.203563
14,1015860,1,0,100,2024-02-27 09:30:39.203563,2024-02-27 09:30:39.203563
15,1018550,1,0,100,2024-02-27 09:30:39.203563,2024-02-27 09:30:39.203563
16,1021510,1,0,100,2024-02-27 09:30:39.203563,2024-02-27 09:30:39.203563
