id,name,kana,created_at,updated_at
1,Super Saiyan Goku,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
2,Super Saiyan Vegeta,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
3,Goku,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
4,Vegeta,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
5,Frieza (1st Form),,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
6,Cell (1st Form),,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
7,Gohan (Kid),,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
8,Trunks (Teen),,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
9,Krillin,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
10,Piccolo,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
11,Tien,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
12,Chiaotzu,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
13,Yamcha,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
14,Raditz,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
15,Nappa,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
16,Zarbon,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
17,Captain Ginyu,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
18,Android #19,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
19,Dr. Gero,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
20,Android #17,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
21,Android #18,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
22,Android #16,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
23,Master Roshi,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
24,Mercenary Tao,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
25,Fusion Machine Pilaf,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
26,Shen,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
27,Tambourine,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
28,Cymbal,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
29,Drum,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
30,Chi-Chi,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
31,Dodoria,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
32,Recoome,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
33,Guldo,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
34,Burter,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
35,Jeice,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
36,Yajirobe,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
37,Nail,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
38,Hercule,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
39,Videl,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
40,Cell Jr.,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
41,Spopovich,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
42,Yamu,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
43,Yakon,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
44,Pui Pui,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
45,Appule,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
46,Cui,,2024-05-17 11:40:46.193571,2024-05-17 11:40:46.193571
