id,chain_battle_id,type,name,priority,target_value,conditions,created_at,updated_at
1,1,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle once.",0,1,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
2,1,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle 2 times.",0,2,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
3,1,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle 3 times.",0,3,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
4,1,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle 4 times.",0,4,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
5,1,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle 5 times.",0,5,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
6,1,ChainBattleMission::LikeMission::CountMission,"[Daily] Send a ""NICE"".",0,1,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
7,1,ChainBattleMission::TeamMission::CountMission,Edit your Supporters.,0,1,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
8,1,ChainBattleMission::EntryMission::CountMission,Engage in a Chain Battle 15 times.,0,15,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
9,1,ChainBattleMission::EntryMission::CountMission,Engage in a Chain Battle 20 times.,0,20,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
10,1,ChainBattleMission::EntryMission::CountMission,Engage in a Chain Battle 30 times.,0,30,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
11,1,ChainBattleMission::EntryMission::DamageCountMission,"Deal 1 billion or more damage 
during the event period.",0,1000000000,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
12,1,ChainBattleMission::EntryMission::DamageCountMission,"Deal 1.5 billion or more damage 
during the event period.",0,1500000000,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
13,1,ChainBattleMission::EntryMission::DamageCountMission,"Deal 10 million or more damage 
in a single battle.",0,10000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
14,1,ChainBattleMission::EntryMission::DamageCountMission,"Deal 20 million or more damage 
in a single battle.",0,20000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
15,1,ChainBattleMission::EntryMission::DamageCountMission,"Deal 30 million or more damage 
in a single battle.",0,30000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
16,1,ChainBattleMission::EntryMission::DamageCountMission,"Deal 40 million or more damage 
in a single battle.",0,40000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
17,1,ChainBattleMission::EntryMission::DamageCountMission,"Deal 50 million or more damage 
in a single battle.",0,50000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
18,1,ChainBattleMission::EntryMission::DamageCountMission,"Deal 60 million or more damage 
in a single battle.",0,60000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
19,1,ChainBattleMission::EntryMission::DamageCountMission,"Deal 70 million or more damage 
in a single battle.",0,70000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
20,1,ChainBattleMission::EntryMission::DamageCountMission,"Deal 80 million or more damage 
in a single battle.",0,80000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
21,1,ChainBattleMission::EntryMission::DamageCountMission,"Deal 90 million or more damage 
in a single battle.",0,90000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
22,1,ChainBattleMission::EntryMission::DamageCountMission,"Deal 100 million or more damage 
in a single battle.",0,100000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
23,2,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle once.",0,1,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
24,2,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle 2 times.",0,2,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
25,2,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle 3 times.",0,3,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
26,2,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle 4 times.",0,4,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
27,2,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle 5 times.",0,5,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
28,2,ChainBattleMission::LikeMission::CountMission,"[Daily] Send a ""NICE"".",0,1,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
29,2,ChainBattleMission::TeamMission::CountMission,Edit your Supporters.,0,1,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
30,2,ChainBattleMission::EntryMission::CountMission,Engage in a Chain Battle 15 times.,0,15,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
31,2,ChainBattleMission::EntryMission::CountMission,Engage in a Chain Battle 20 times.,0,20,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
32,2,ChainBattleMission::EntryMission::CountMission,Engage in a Chain Battle 30 times.,0,30,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
33,2,ChainBattleMission::EntryMission::DamageCountMission,"Deal 1 billion or more damage 
during the event period.",0,1000000000,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
34,2,ChainBattleMission::EntryMission::DamageCountMission,"Deal 1.5 billion or more damage 
during the event period.",0,1500000000,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
35,2,ChainBattleMission::EntryMission::DamageCountMission,"Deal 10 million or more damage 
in a single battle.",0,10000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
36,2,ChainBattleMission::EntryMission::DamageCountMission,"Deal 20 million or more damage 
in a single battle.",0,20000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
37,2,ChainBattleMission::EntryMission::DamageCountMission,"Deal 30 million or more damage 
in a single battle.",0,30000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
38,2,ChainBattleMission::EntryMission::DamageCountMission,"Deal 40 million or more damage 
in a single battle.",0,40000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
39,2,ChainBattleMission::EntryMission::DamageCountMission,"Deal 50 million or more damage 
in a single battle.",0,50000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
40,2,ChainBattleMission::EntryMission::DamageCountMission,"Deal 60 million or more damage 
in a single battle.",0,60000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
41,2,ChainBattleMission::EntryMission::DamageCountMission,"Deal 70 million or more damage 
in a single battle.",0,70000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
42,2,ChainBattleMission::EntryMission::DamageCountMission,"Deal 80 million or more damage 
in a single battle.",0,80000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
43,2,ChainBattleMission::EntryMission::DamageCountMission,"Deal 90 million or more damage 
in a single battle.",0,90000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
44,2,ChainBattleMission::EntryMission::DamageCountMission,"Deal 100 million or more damage 
in a single battle.",0,100000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
45,3,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle once.",0,1,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
46,3,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle 2 times.",0,2,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
47,3,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle 3 times.",0,3,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
48,3,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle 4 times.",0,4,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
49,3,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle 5 times.",0,5,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
50,3,ChainBattleMission::LikeMission::CountMission,"[Daily] Send a ""NICE"".",0,1,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
51,3,ChainBattleMission::TeamMission::CountMission,Edit your Supporters.,0,1,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
52,3,ChainBattleMission::EntryMission::CountMission,Engage in a Chain Battle 15 times.,0,15,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
53,3,ChainBattleMission::EntryMission::CountMission,Engage in a Chain Battle 20 times.,0,20,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
54,3,ChainBattleMission::EntryMission::CountMission,Engage in a Chain Battle 30 times.,0,30,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
55,3,ChainBattleMission::EntryMission::DamageCountMission,"Deal 1 billion or more damage 
during the event period.",0,1000000000,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
56,3,ChainBattleMission::EntryMission::DamageCountMission,"Deal 1.5 billion or more damage 
during the event period.",0,1500000000,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
57,3,ChainBattleMission::EntryMission::DamageCountMission,"Deal 10 million or more damage 
in a single battle.",0,10000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
58,3,ChainBattleMission::EntryMission::DamageCountMission,"Deal 20 million or more damage 
in a single battle.",0,20000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
59,3,ChainBattleMission::EntryMission::DamageCountMission,"Deal 30 million or more damage 
in a single battle.",0,30000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
60,3,ChainBattleMission::EntryMission::DamageCountMission,"Deal 40 million or more damage 
in a single battle.",0,40000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
61,3,ChainBattleMission::EntryMission::DamageCountMission,"Deal 50 million or more damage 
in a single battle.",0,50000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
62,3,ChainBattleMission::EntryMission::DamageCountMission,"Deal 60 million or more damage 
in a single battle.",0,60000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
63,3,ChainBattleMission::EntryMission::DamageCountMission,"Deal 70 million or more damage 
in a single battle.",0,70000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
64,3,ChainBattleMission::EntryMission::DamageCountMission,"Deal 80 million or more damage 
in a single battle.",0,80000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
65,3,ChainBattleMission::EntryMission::DamageCountMission,"Deal 90 million or more damage 
in a single battle.",0,90000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
66,3,ChainBattleMission::EntryMission::DamageCountMission,"Deal 100 million or more damage 
in a single battle.",0,100000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
67,4,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle once.",0,1,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
68,4,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle 2 times.",0,2,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
69,4,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle 3 times.",0,3,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
70,4,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle 4 times.",0,4,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
71,4,ChainBattleMission::EntryMission::CountMission,"[Daily] 
Engage in a Chain Battle 5 times.",0,5,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
72,4,ChainBattleMission::LikeMission::CountMission,"[Daily] Send a ""NICE"".",0,1,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
73,4,ChainBattleMission::TeamMission::CountMission,Edit your Supporters.,0,1,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
74,4,ChainBattleMission::EntryMission::CountMission,Engage in a Chain Battle 15 times.,0,15,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
75,4,ChainBattleMission::EntryMission::CountMission,Engage in a Chain Battle 20 times.,0,20,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
76,4,ChainBattleMission::EntryMission::CountMission,Engage in a Chain Battle 30 times.,0,30,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
77,4,ChainBattleMission::EntryMission::DamageCountMission,"Deal 1 billion or more damage 
during the event period.",0,1000000000,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
78,4,ChainBattleMission::EntryMission::DamageCountMission,"Deal 1.5 billion or more damage 
during the event period.",0,1500000000,{},2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
79,4,ChainBattleMission::EntryMission::DamageCountMission,"Deal 10 million or more damage 
in a single battle.",0,10000000,"{""once"":""true""}",2024-02-27 09:30:45.050055,2024-02-27 09:30:45.050055
