id,name,race,sex,size,created_at,updated_at
1,Super Saiyan Goku,0,0,4,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
2,Super Saiyan Vegeta,0,0,3,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
3,Goku,0,0,4,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
4,Vegeta,0,0,3,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
5,Frieza (1st Form),0,0,2,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
6,Cell (1st Form),0,0,7,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
7,Gohan (Kid),0,0,1,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
8,Trunks (Teen),0,0,4,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
9,Krillin,0,0,2,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
10,Piccolo,0,0,6,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
11,Tien,0,0,5,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
12,Chiaotzu,0,0,1,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
13,Yamcha,0,0,5,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
14,Raditz,0,0,4,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
15,Nappa,0,0,7,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
16,Zarbon,0,0,7,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
17,Captain Ginyu,0,0,5,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
18,Android #19,0,0,4,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
19,Dr. Gero,0,0,4,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
20,Android #18,0,0,3,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
21,Android #17,0,0,3,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
22,Android #16,0,0,7,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
23,Master Roshi,0,0,2,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
24,Mercenary Tao,0,0,4,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
25,Fusion Machine Pilaf,0,0,8,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
26,Shen,0,0,2,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
27,Tambourine,0,0,5,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
28,Cymbale,0,0,5,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
29,Drum,0,0,5,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
30,Dodoria,0,0,5,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
31,Recoome,0,0,6,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
32,Guldo,0,0,1,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
33,Burter,0,0,8,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
34,Jeice,0,0,3,2024-04-30 09:32:19.346783,2024-04-30 09:32:19.346783
