id,script_id,created_at,updated_at
1,1001,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
2,1002,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
3,1003,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
4,2001,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
5,2002,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
6,2003,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
7,2005,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
8,2006,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
9,2007,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
10,2008,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
11,2009,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
12,2010,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
13,2011,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
14,2012,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
15,2013,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
16,2014,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
17,2015,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
18,2016,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
19,2017,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
20,2019,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
21,2018,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
22,2020,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
23,1001021,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
24,1001033,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
25,1001040,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
26,1001041,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
27,1001050,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
28,1002013,2024-04-30 09:32:10.172683,2024-04-30 09:32:10.172683
