id,num,title,created_at,updated_at
1,90,Characters,2024-02-27 09:30:53.032951,2024-02-27 09:30:53.032951
2,80,Quests,2024-02-27 09:30:53.032951,2024-02-27 09:30:53.032951
3,70,Battles,2024-02-27 09:30:53.032951,2024-02-27 09:30:53.032951
4,60,Items,2024-02-27 09:30:53.032951,2024-02-27 09:30:53.032951
5,50,Friends,2024-02-27 09:30:53.032951,2024-02-27 09:30:53.032951
6,40,Mission,2024-02-27 09:30:53.032951,2024-02-27 09:30:53.032951
7,30,Baba’s Shop,2024-02-27 09:30:53.032951,2024-02-27 09:30:53.032951
8,20,Hidden Potential Activation,2024-02-27 09:30:53.032951,2024-02-27 09:30:53.032951
9,10,Other,2024-02-27 09:30:53.032951,2024-02-27 09:30:53.032951
10,15,Extreme Z-Battle,2024-02-27 09:30:53.032951,2024-02-27 09:30:53.032951
11,18,Portal of Memories,2024-02-27 09:30:53.032951,2024-02-27 09:30:53.032951
12,19,Skill Orbs,2024-02-27 09:30:53.032951,2024-02-27 09:30:53.032951
13,14,My Profile,2024-02-27 09:30:53.032951,2024-02-27 09:30:53.032951
14,13,Burst Mode,2024-02-27 09:30:53.032951,2024-02-27 09:30:53.032951
15,12,Music Collection,2024-02-27 09:30:53.032951,2024-02-27 09:30:53.032951
