id,jukebox_album_id,bgm_filename,sample_bgm_filename,title,description,point,priority,open_at,close_at,created_at,updated_at
1,1,bgm_006,bgm_006,Battle_01,Battle_01,0,1,2022-12-12 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
2,1,bgm_001,bgm_001,Map_01,Map_01,1000,1,2022-12-12 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
3,1,bgm_007,bgm_007,Battle_02,Battle_02,1000,1,2023-03-01 06:30:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
4,1,bgm_002,bgm_002,Map_02,Map_02,500,1,2023-08-02 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
5,1,bgm_029,bgm_029,Battle_03,Battle_03,500,1,2023-08-02 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
6,1,bgm_003,bgm_003,Map_03,Map_03,1000,1,2023-03-27 08:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
7,1,bgm_031,bgm_031,Battle_04,Battle_04,1000,1,2023-06-20 06:30:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
8,1,bgm_004,bgm_004,Map_04,Map_04,1000,1,2023-05-16 08:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
9,1,bgm_032,bgm_032,Battle_05,Battle_05,1000,1,2023-10-24 06:30:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
10,1,bgm_005,bgm_005,Map_05,Map_05,1000,1,2024-01-17 06:30:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
11,1,bgm_018,bgm_018,Map_06,Map_06,1000,1,2023-09-08 08:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
12,1,bgm_035,bgm_035,Map_07,Map_07,1000,1,2023-10-26 08:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
20,1,bgm_096,bgm_096,Explosive Chain Battle_Main Screen,Explosive Chain Battle_Main Screen,1000,1,2024-02-23 06:30:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
101,2,bgm_156,bgm_156,Goku_2nd Theme,Goku_2nd Theme,3000,1,2022-12-12 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
102,3,bgm_126,bgm_126,Boujack's Theme,Boujack's Theme,3000,1,2023-03-01 06:30:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
103,3,bgm_127,bgm_127,"Theme for ""Promise Made to Dad""","Theme for ""Promise Made to Dad""",3000,1,2023-03-01 06:30:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
104,5,bgm_017,bgm_017,Super Vegito's Theme,Super Vegito's Theme,3000,1,2023-08-02 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
