id,link_skill_id,skill_lv,description,created_at,updated_at
101,1,1,Ki +1,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
102,1,2,Ki +1 and ATK & DEF +1%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
103,1,3,Ki +1 and ATK & DEF +2%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
104,1,4,Ki +1 and ATK & DEF +3%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
105,1,5,Ki +1 and ATK & DEF +5%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
106,1,6,Ki +1 and ATK & DEF +6%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
107,1,7,Ki +1 and ATK & DEF +7%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
108,1,8,Ki +1 and ATK & DEF +8%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
109,1,9,Ki +1 and ATK & DEF +9%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
110,1,10,Ki +2 and ATK & DEF +10%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
201,2,1,Ki +1,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
202,2,2,Ki +1 and ATK +1%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
203,2,3,Ki +1 and ATK +2%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
204,2,4,Ki +1 and ATK +3%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
205,2,5,Ki +1 and ATK +5%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
206,2,6,Ki +1 and ATK +6%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
207,2,7,Ki +1 and ATK +7%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
208,2,8,Ki +1 and ATK +8%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
209,2,9,Ki +1 and ATK +9%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
210,2,10,Ki +2 and ATK +10%,2024-04-30 09:29:10.822384,2024-04-30 09:29:10.822384
