id,selection_table_id,event_id,created_at,updated_at
1,1,21,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
2,1,22,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
3,2,22,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
4,2,24,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
5,3,21,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
6,3,24,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
7,4,30,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
8,4,31,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
9,5,35,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
10,5,36,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
11,6,21,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
12,6,22,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
13,6,24,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
14,7,39,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
15,7,41,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
16,7,15,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
17,8,100,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
18,8,101,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
19,9,103,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
20,9,104,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
21,9,105,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
22,10,101,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
23,10,107,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
24,11,109,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
25,11,110,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
26,12,112,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
27,12,110,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
28,13,30,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
29,13,35,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
30,14,100,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
31,14,107,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
32,15,103,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
33,15,105,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
34,16,103,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
35,16,104,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
36,17,30,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
37,17,36,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
38,18,100,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
39,18,101,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
40,18,107,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
41,19,109,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
42,19,112,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
43,20,123,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
44,20,124,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
45,21,126,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
46,21,127,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
47,22,31,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
48,22,36,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
49,23,39,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
50,23,41,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
51,24,39,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
52,24,15,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
53,25,35,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
54,25,31,2024-02-27 09:32:22.186957,2024-02-27 09:32:22.186957
