id,type,currency_id,additional_value,created_at,updated_at
1,PotentialEvent::Hp,,90,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
2,PotentialEvent::Atk,,100,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
3,PotentialEvent::Defense,,100,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
4,PotentialEvent::Hp,,20,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
5,PotentialEvent::Atk,,10,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
6,PotentialEvent::Defense,,20,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
7,PotentialEvent::Skill,4.0,1,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
8,PotentialEvent::Hp,,30,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
9,PotentialEvent::Atk,,15,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
10,PotentialEvent::Defense,,30,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
11,PotentialEvent::Hp,,50,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
12,PotentialEvent::Atk,,25,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
13,PotentialEvent::Defense,,50,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
14,PotentialEvent::Atk,,35,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
15,PotentialEvent::Skill,3.0,5,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
16,PotentialEvent::Skill,5.0,1,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
17,PotentialEvent::Skill,6.0,1,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
18,PotentialEvent::Skill,7.0,1,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
19,PotentialEvent::Hp,,200,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
20,PotentialEvent::Select,1.0,0,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
21,PotentialEvent::Skill,1.0,3,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
22,PotentialEvent::Skill,2.0,3,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
23,PotentialEvent::Select,2.0,0,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
24,PotentialEvent::Skill,3.0,3,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
25,PotentialEvent::Select,3.0,0,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
26,PotentialEvent::Hp,,70,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
27,PotentialEvent::Defense,,70,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
28,PotentialEvent::Atk,,50,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
29,PotentialEvent::Select,4.0,0,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
30,PotentialEvent::Skill,4.0,5,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
31,PotentialEvent::Skill,6.0,5,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
32,PotentialEvent::Hp,,100,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
33,PotentialEvent::Defense,,200,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
34,PotentialEvent::Select,5.0,0,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
35,PotentialEvent::Skill,5.0,5,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
36,PotentialEvent::Skill,7.0,5,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
37,PotentialEvent::Select,6.0,0,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
38,PotentialEvent::Defense,,600,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
39,PotentialEvent::Skill,1.0,5,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
40,PotentialEvent::Atk,,500,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
41,PotentialEvent::Skill,2.0,5,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
42,PotentialEvent::Hp,,500,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
43,PotentialEvent::Hp,,600,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
44,PotentialEvent::Hp,,54,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
45,PotentialEvent::Atk,,60,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
46,PotentialEvent::Defense,,60,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
47,PotentialEvent::Hp,,12,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
48,PotentialEvent::Atk,,6,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
