id,condition_set_id,condition_id,created_at,updated_at
1,1,1,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
2,1,2,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
3,1,3,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
4,2,4,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
5,3,5,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
6,4,5,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
7,4,6,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
8,5,5,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
9,5,2,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
10,5,3,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
11,6,7,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
12,6,8,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
13,6,9,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
14,7,1,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
15,7,10,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
16,7,11,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
17,8,12,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
18,8,10,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
19,8,9,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
20,9,13,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
21,9,5,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
22,9,6,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
23,10,13,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
24,10,5,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
25,10,2,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
26,11,14,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
27,11,5,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
28,11,2,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
29,11,3,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
30,12,14,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
31,12,5,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
32,12,2,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
33,13,15,2024-04-30 09:30:46.911751,2024-04-30 09:30:46.911751
