id,description,rarity_n,rarity_r,rarity_sr,rarity_ssr,rarity_ur,rarity_lr,created_at,updated_at
7,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
8,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
9,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
10,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
11,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
12,追加ドロップ確率UP,30,50,100,150,200,300,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
13,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
14,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
15,追加ドロップ確率UP,50,100,150,200,300,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
16,追加ドロップ確率UP,40,70,150,200,300,450,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
17,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
18,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
19,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
20,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
21,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
22,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
23,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
24,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
25,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
26,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
27,追加ドロップ確率UP,60,100,200,300,350,400,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
28,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
29,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
30,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
31,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
32,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
33,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
34,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
35,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
36,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
37,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
38,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
39,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
40,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
41,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
42,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
43,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
44,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
45,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
46,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
47,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
48,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
49,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
50,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
51,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
52,追加ドロップ確率UP,40,70,150,200,300,450,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
53,追加ドロップ確率UP,20,30,50,80,130,180,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
100,追加ドロップ確率UP,30,50,100,150,250,350,2024-02-27 09:32:25.932311,2024-02-27 09:32:25.932311
