id,kind,description,conditions,created_at,updated_at
1,1,Amount of Zeni obtained increases by 1%,"{""benefit_permil"":10}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
2,0,Drop rates of Training Items increase by 1%,"{""item_type"":""TrainingItem"",""benefit_permil"":10}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
3,0,Drop rates of Support Items increase by 1%,"{""item_type"":""SupportItem"",""benefit_permil"":10}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
4,0,Drop rates of Potential Orbs increase by 1%,"{""item_type"":""PotentialItem"",""benefit_permil"":10}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
5,0,Drop rates of characters increase by 1%,"{""item_type"":""Card"",""benefit_permil"":10}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
6,0,Drop rates of Treasure Items increase by 1%,"{""item_type"":""TreasureItem"",""benefit_permil"":10}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
7,0,Drop rates of Awakening Medals increase by 1%,"{""item_type"":""AwakeningItem"",""benefit_permil"":10}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
8,1,Amount of Zeni obtained increases by 2%,"{""benefit_permil"":20}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
9,0,Drop rates of Training Items increase by 2%,"{""item_type"":""TrainingItem"",""benefit_permil"":20}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
10,0,Drop rates of Support Items increase by 2%,"{""item_type"":""SupportItem"",""benefit_permil"":20}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
11,0,Drop rates of Potential Orbs increase by 2%,"{""item_type"":""PotentialItem"",""benefit_permil"":20}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
12,0,Drop rates of characters increase by 2%,"{""item_type"":""Card"",""benefit_permil"":20}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
13,0,Drop rates of Treasure Items increase by 2%,"{""item_type"":""TreasureItem"",""benefit_permil"":20}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
14,0,Drop rates of Awakening Medals increase by 2%,"{""item_type"":""AwakeningItem"",""benefit_permil"":20}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
15,1,Amount of Zeni obtained increases by 3%,"{""benefit_permil"":30}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
16,0,Drop rates of Training Items increase by 3%,"{""item_type"":""TrainingItem"",""benefit_permil"":30}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
17,0,Drop rates of Support Items increase by 3%,"{""item_type"":""SupportItem"",""benefit_permil"":30}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
18,0,Drop rates of Potential Orbs increase by 3%,"{""item_type"":""PotentialItem"",""benefit_permil"":30}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
19,0,Drop rates of characters increase by 3%,"{""item_type"":""Card"",""benefit_permil"":30}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
20,0,Drop rates of Treasure Items increase by 3%,"{""item_type"":""TreasureItem"",""benefit_permil"":30}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
21,0,Drop rates of Awakening Medals increase by 3%,"{""item_type"":""AwakeningItem"",""benefit_permil"":30}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
22,1,Amount of Zeni obtained increases by 4%,"{""benefit_permil"":40}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
23,0,Drop rates of Training Items increase by 4%,"{""item_type"":""TrainingItem"",""benefit_permil"":40}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
24,0,Drop rates of Support Items increase by 4%,"{""item_type"":""SupportItem"",""benefit_permil"":40}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
25,0,Drop rates of Potential Orbs increase by 4%,"{""item_type"":""PotentialItem"",""benefit_permil"":40}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
26,0,Drop rates of characters increase by 4%,"{""item_type"":""Card"",""benefit_permil"":40}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
27,0,Drop rates of Treasure Items increase by 4%,"{""item_type"":""TreasureItem"",""benefit_permil"":40}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
28,0,Drop rates of Awakening Medals increase by 4%,"{""item_type"":""AwakeningItem"",""benefit_permil"":40}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
29,1,Amount of Zeni obtained increases by 5%,"{""benefit_permil"":50}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
30,0,Drop rates of Training Items increase by 5%,"{""item_type"":""TrainingItem"",""benefit_permil"":50}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
31,0,Drop rates of Support Items increase by 5%,"{""item_type"":""SupportItem"",""benefit_permil"":50}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
32,0,Drop rates of Potential Orbs increase by 5%,"{""item_type"":""PotentialItem"",""benefit_permil"":50}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
33,0,Drop rates of characters increase by 5%,"{""item_type"":""Card"",""benefit_permil"":50}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
34,0,Drop rates of Treasure Items increase by 5%,"{""item_type"":""TreasureItem"",""benefit_permil"":50}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
35,0,Drop rates of Awakening Medals increase by 5%,"{""item_type"":""AwakeningItem"",""benefit_permil"":50}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
36,1,Amount of Zeni obtained increases by 6%,"{""benefit_permil"":60}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
37,0,Drop rates of Training Items increase by 6%,"{""item_type"":""TrainingItem"",""benefit_permil"":60}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
38,0,Drop rates of Support Items increase by 6%,"{""item_type"":""SupportItem"",""benefit_permil"":60}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
39,0,Drop rates of Potential Orbs increase by 6%,"{""item_type"":""PotentialItem"",""benefit_permil"":60}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
40,0,Drop rates of characters increase by 6%,"{""item_type"":""Card"",""benefit_permil"":60}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
41,0,Drop rates of Treasure Items increase by 6%,"{""item_type"":""TreasureItem"",""benefit_permil"":60}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
42,0,Drop rates of Awakening Medals increase by 6%,"{""item_type"":""AwakeningItem"",""benefit_permil"":60}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
43,1,Amount of Zeni obtained increases by 7%,"{""benefit_permil"":70}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
44,0,Drop rates of Training Items increase by 7%,"{""item_type"":""TrainingItem"",""benefit_permil"":70}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
45,0,Drop rates of Support Items increase by 7%,"{""item_type"":""SupportItem"",""benefit_permil"":70}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
46,0,Drop rates of Potential Orbs increase by 7%,"{""item_type"":""PotentialItem"",""benefit_permil"":70}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
47,0,Drop rates of characters increase by 7%,"{""item_type"":""Card"",""benefit_permil"":70}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
48,0,Drop rates of Treasure Items increase by 7%,"{""item_type"":""TreasureItem"",""benefit_permil"":70}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
49,0,Drop rates of Awakening Medals increase by 7%,"{""item_type"":""AwakeningItem"",""benefit_permil"":70}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
50,1,Amount of Zeni obtained increases by 8%,"{""benefit_permil"":80}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
51,0,Drop rates of Training Items increase by 8%,"{""item_type"":""TrainingItem"",""benefit_permil"":80}",2024-02-27 09:32:27.788098,2024-02-27 09:32:27.788098
