id,sd_map_id,position_x,position_y,symbol_item_type,symbol_item_id,background_image_id,created_at,updated_at
1,1,-7,7,TrainingItem,100,2,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
2,1,7,7,Point::Zeni,13,4,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
3,1,-7,-7,AwakeningItem,1,5,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
4,1,7,-7,PotentialItem,1,3,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
5,2,-7,7,TrainingItem,100,2,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
6,2,7,7,Point::Zeni,13,4,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
7,2,-7,-7,AwakeningItem,1,5,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
8,2,7,-7,PotentialItem,1,3,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
9,3,-7,7,TrainingItem,100,2,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
10,3,7,7,Point::Zeni,13,4,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
11,3,-7,-7,AwakeningItem,1,5,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
12,3,7,-7,PotentialItem,1,3,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
13,4,-7,7,TrainingItem,100,2,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
14,4,7,7,Point::Zeni,13,4,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
15,4,-7,-7,AwakeningItem,1,5,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
16,4,7,-7,PotentialItem,1,3,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
17,5,-7,7,TrainingItem,100,2,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
18,5,7,7,Point::Zeni,13,4,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
19,5,-7,-7,AwakeningItem,1,5,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
20,5,7,-7,PotentialItem,1,3,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
21,6,-7,7,TrainingItem,100,2,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
22,6,7,7,Point::Zeni,13,4,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
23,6,-7,-7,AwakeningItem,1,5,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
24,6,7,-7,PotentialItem,1,3,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
25,7,-7,7,TrainingItem,100,2,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
26,7,7,7,Point::Zeni,13,4,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
27,7,-7,-7,AwakeningItem,1,5,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
28,7,7,-7,PotentialItem,1,3,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
29,8,-7,7,TrainingItem,100,2,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
30,8,7,7,Point::Zeni,13,4,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
31,8,-7,-7,AwakeningItem,1,5,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
32,8,7,-7,PotentialItem,1,3,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
33,8,0,0,SD::Pack,100,1,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
34,9,-7,7,TrainingItem,100,2,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
35,9,7,7,Point::Zeni,13,4,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
36,9,-7,-7,AwakeningItem,1,5,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
37,9,7,-7,PotentialItem,1,3,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
38,9,0,0,SD::Pack,100,1,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
39,10,-7,7,TrainingItem,100,2,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
40,10,7,7,Point::Zeni,13,4,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
41,10,-7,-7,AwakeningItem,1,5,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
42,10,7,-7,PotentialItem,1,3,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
43,10,0,0,SD::Pack,201,1,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
44,11,-7,7,TrainingItem,100,2,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
45,11,7,7,Point::Zeni,13,4,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
46,11,-7,-7,AwakeningItem,1,5,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
47,11,7,-7,PotentialItem,1,3,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
48,11,0,0,SD::Pack,201,1,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
49,12,-7,7,TrainingItem,100,2,2024-02-27 09:32:27.865351,2024-02-27 09:32:27.865351
