id,sd_arena_id,sd_enemy_table_id,respawn_minutes,position_x,position_y,created_at,updated_at
1,1,1,60,0,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
2,1,4,60,-5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
3,1,2,60,5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
4,1,4,60,-7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
5,1,3,60,7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
6,2,7,60,0,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
7,2,5,60,-5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
8,2,8,60,5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
9,2,8,60,-7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
10,2,6,60,7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
11,3,12,60,0,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
12,3,12,60,-5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
13,3,10,60,5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
14,3,11,60,-7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
15,3,9,60,7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
16,4,15,60,0,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
17,4,16,60,-5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
18,4,16,60,5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
19,4,13,60,-7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
20,4,14,60,7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
21,5,17,60,0,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
22,5,20,60,-5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
23,5,18,60,5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
24,5,20,60,-7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
25,5,19,60,7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
26,6,23,60,0,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
27,6,21,60,-5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
28,6,24,60,5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
29,6,24,60,-7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
30,6,22,60,7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
31,7,28,60,0,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
32,7,28,60,-5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
33,7,26,60,5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
34,7,27,60,-7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
35,7,25,60,7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
36,8,31,60,0,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
37,8,32,60,-5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
38,8,32,60,5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
39,8,29,60,-7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
40,8,30,60,7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
41,9,33,0,0,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
42,9,36,0,-5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
43,9,36,0,5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
44,9,34,0,-7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
45,9,35,0,7,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
46,10,37,0,0,2,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
47,10,40,0,-5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
48,10,40,0,5,10,2024-04-30 09:30:49.027983,2024-04-30 09:30:49.027983
