id,causality_type,cau_val1,cau_val2,cau_val3,created_at,updated_at
4,5,2,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
5,5,3,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
6,2,59,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
9,16,2,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
10,55,0,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
11,55,1,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
12,0,0,0,9,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
13,25,0,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
14,7,0,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
15,2,30,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
16,14,0,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
17,2,20,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
18,15,3,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
19,3,100,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
20,3,160,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
21,1,50,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
22,15,2,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
23,2,10,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
24,24,0,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
25,19,0,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
26,19,1,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
27,2,50,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
28,3,80,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
29,30,0,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
31,3,200,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
32,31,0,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
33,19,2,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
34,3,70,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
35,3,120,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
36,20,100,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
37,2,25,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
38,1,100,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
39,14,1,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
40,4,99,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
41,8,0,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
42,2,80,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
43,2,99,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
44,3,130,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
45,3,140,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
46,3,400,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
47,3,300,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
48,3,240,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
49,3,192,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
50,1,80,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
51,3,290,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
52,3,175,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
53,0,4,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
54,0,5,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
55,0,3,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
56,0,1,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
57,1,30,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
58,3,150,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
59,3,266,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
60,3,233,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
61,2,40,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
62,0,2,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
63,3,250,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
64,3,297,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
65,3,180,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
66,16,4,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
67,16,3,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
68,1,40,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
69,3,333,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
70,1,20,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
71,3,275,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
72,3,350,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
73,2,60,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
74,2,70,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
75,3,600,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
76,34,0,4,1,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
77,34,0,4,2,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
78,34,0,4,3,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
79,34,0,4,4,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
80,34,0,4,5,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
81,34,0,4,6,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
82,34,0,4,7,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
83,34,0,6,1,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
84,34,0,6,2,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
85,34,0,6,3,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
86,34,0,6,4,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
87,34,0,6,5,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
88,34,0,6,6,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
89,34,0,6,7,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
90,3,225,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
91,38,256,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
92,38,1024,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
93,34,0,21,1,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
94,34,0,21,2,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
95,34,0,21,3,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
96,34,0,21,4,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
97,2,77,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
98,34,0,13,1,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
99,34,0,13,2,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
100,34,0,13,3,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
101,15,4,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
102,15,5,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
103,15,6,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
104,15,7,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
105,38,16,0,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
106,33,80,100,0,2024-05-17 11:40:27.505059,2024-05-17 11:40:27.505059
107,33,50,80,0,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
108,33,0,50,0,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
109,33,60,80,0,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
110,33,40,60,0,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
111,33,20,40,0,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
112,33,0,20,0,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
113,34,0,8,1,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
114,34,0,8,2,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
115,34,0,8,3,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
116,34,0,8,4,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
117,34,0,8,5,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
118,34,0,8,6,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
119,34,0,8,7,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
120,34,0,24,1,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
121,34,0,24,2,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
122,34,0,24,3,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
123,34,0,24,4,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
124,34,0,24,5,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
125,34,0,24,6,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
126,2,100,0,0,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
127,34,1,4,1,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
128,34,0,26,1,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
129,34,0,26,2,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
130,34,0,26,3,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
131,34,0,26,4,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
132,34,1,19,1,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
133,34,0,26,5,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
134,34,0,26,6,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
135,34,0,26,7,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
136,34,1,16,1,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
137,34,1,17,1,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
138,34,1,3,1,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
139,34,1,21,1,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
140,34,0,5,1,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
141,40,0,0,0,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
142,34,1,31,1,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
143,34,1,30,1,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
144,1,60,0,0,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
145,34,1,2,1,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
146,34,0,25,1,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
147,34,0,25,2,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
148,34,0,25,3,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
149,34,0,25,4,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
150,34,0,25,5,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
151,34,0,25,6,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
152,34,0,25,7,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
153,34,1,5,1,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
154,34,1,21,1,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
155,34,0,31,2,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
156,4,370,0,0,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
157,34,0,27,1,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
158,34,0,27,2,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
159,34,0,27,3,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
160,34,0,27,4,2024-05-17 11:40:27.511336,2024-05-17 11:40:27.511336
