id,sound_effect_set_id,sound_effect_id,start_offset_millisecond,created_at,updated_at
1,1,1018,1000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
2,1,1035,2000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
3,1,1035,3000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
4,1,1018,4000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
5,1,1035,5000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
6,1,1036,6000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
7,1,1036,6000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
8,1,1026,7000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
9,2,0,0,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
10,3,1018,1000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
11,3,1035,2000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
12,3,1035,3000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
13,3,1036,4000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
14,3,1035,5000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
15,3,1036,5500,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
16,3,1018,6000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
17,3,40,7000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
18,4,0,0,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
19,5,1035,500,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
20,5,9,2000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
21,5,3,3500,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
22,5,1018,4100,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
23,5,8,5000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
24,5,13,6800,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
25,6,1018,500,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
26,6,1041,2000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
27,6,19,3000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
28,6,20,3800,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
29,6,1060,5000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
30,7,9,200,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
31,8,1018,250,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
32,8,1030,1250,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
33,8,1035,2000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
34,8,15,3200,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
35,8,3,4800,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
36,9,1018,250,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
37,9,1015,1100,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
38,9,1064,1400,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
39,9,31,1900,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
40,9,1070,3300,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
41,9,9,4200,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
42,9,8,5300,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
43,9,1068,6900,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
44,10,17,660,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
45,10,1035,1330,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
46,10,9,1930,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
47,10,1018,2700,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
48,10,3,3560,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
49,11,1047,250,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
50,11,1018,1100,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
51,11,1035,1650,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
52,12,1050,250,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
53,12,1018,1100,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
54,12,1035,1650,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
55,13,1049,250,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
56,13,1018,750,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
57,13,1060,1650,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
58,13,1035,2200,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
59,14,1018,250,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
60,14,1035,1100,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
61,14,17,2150,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
62,14,1040,3350,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
63,14,1026,4350,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
64,14,40,5500,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
65,15,1047,250,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
66,15,1018,1100,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
67,15,1035,1650,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
68,16,1050,250,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
69,16,1018,1100,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
70,16,1035,1650,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
71,17,1064,250,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
72,17,1018,750,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
73,17,1060,1650,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
74,17,1035,2200,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
75,18,1018,250,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
76,18,1035,1250,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
77,18,1049,2150,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
78,18,1040,3700,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
79,18,1042,4400,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
80,18,1068,5650,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
81,19,1018,300,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
82,19,44,1300,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
83,19,49,2060,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
84,19,49,2640,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
85,19,49,3220,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
86,19,8,3800,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
87,19,1072,4700,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
88,19,31,5400,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
89,19,17,6000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
90,19,1035,7000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
91,20,1018,300,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
92,20,44,1300,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
93,20,49,2060,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
94,20,49,2640,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
95,20,49,3220,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
96,20,8,3800,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
97,20,1072,4700,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
98,20,31,5400,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
99,20,17,6000,2024-02-27 09:32:36.716271,2024-02-27 09:32:36.716271
