id,sub_target_type_set_id,target_value_type,target_value,created_at,updated_at
1,1,1,1,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
2,2,1,2,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
5,4,2,1,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
6,5,2,2,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
10,8,1,5,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
11,9,1,3,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
12,10,1,4,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
13,11,1,6,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
14,12,1,7,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
15,13,2,7,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
16,14,1,8,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
17,15,2,8,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
19,17,1,9,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
20,18,1,10,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
21,19,1,11,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
22,20,1,12,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
23,21,2,12,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
24,22,1,13,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
25,23,3,1,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
26,24,3,2,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
27,25,3,4,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
28,26,1,14,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
29,27,2,14,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
30,28,2,10,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
31,29,1,15,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
32,30,2,6,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
33,31,1,16,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
34,32,2,16,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
35,33,1,17,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
36,34,2,4,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
37,35,1,18,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
38,36,2,13,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
39,37,1,19,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
40,38,1,20,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
41,39,2,20,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
42,40,1,21,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
43,41,2,21,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
44,42,2,18,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
45,43,1,22,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
46,44,2,22,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
47,45,1,23,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
48,46,2,23,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
49,47,1,24,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
50,48,2,24,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
51,49,1,25,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
52,50,2,25,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
53,51,1,26,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
54,52,2,26,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
57,54,1,6,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
58,54,2,27,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
59,55,1,27,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
60,56,2,27,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
61,57,1,28,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
62,58,2,28,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
63,59,1,29,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
64,60,2,29,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
65,61,1,1,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
66,61,2,29,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
67,62,1,20,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
68,62,2,16,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
69,63,1,28,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
70,63,2,17,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
71,64,2,17,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
72,65,1,30,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
73,66,2,30,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
74,67,1,31,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
75,68,2,31,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
76,69,2,5,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
77,70,1,32,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
78,71,2,32,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
79,72,1,33,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
80,73,2,33,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
81,74,1,34,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
82,75,2,34,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
83,76,1,33,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
84,76,2,34,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
85,77,1,35,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
86,78,2,35,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
87,79,1,30,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
88,79,2,35,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
89,80,1,4,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
90,80,2,27,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
91,81,1,4,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
92,81,2,17,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
93,82,2,19,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
94,83,1,36,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
95,83,2,14,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
96,84,1,38,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
97,85,2,38,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
98,86,1,39,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
99,87,2,39,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
100,88,1,37,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
101,88,2,18,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
102,89,1,23,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
103,89,2,4,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
104,90,1,40,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
105,90,2,5,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
106,91,1,40,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
107,92,2,40,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
108,93,1,41,2024-02-27 09:32:39.239714,2024-02-27 09:32:39.239714
109,93,2,23,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
110,94,1,41,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
111,95,2,41,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
112,96,1,37,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
113,97,2,37,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
114,98,1,5,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
115,98,2,17,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
116,99,1,22,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
117,99,2,6,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
118,100,1,42,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
119,101,2,42,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
120,102,1,43,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
121,103,2,43,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
122,103,1,21,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
123,104,1,36,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
124,105,1,44,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
125,106,2,44,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
126,106,1,12,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
127,107,1,45,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
128,108,2,45,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
129,108,1,7,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
130,109,1,45,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
131,110,1,46,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
132,111,2,46,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
133,111,1,1,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
134,112,2,46,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
135,112,1,10,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
136,113,1,49,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
137,114,1,48,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
138,115,2,48,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
139,115,1,11,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
140,116,1,47,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
141,117,2,47,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
142,117,1,8,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
143,118,1,51,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
144,119,1,50,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
145,120,2,50,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
146,121,1,52,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
147,122,2,52,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
148,122,1,33,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
149,123,1,53,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
150,124,2,53,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
151,124,1,32,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
152,125,2,11,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
153,126,1,54,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
154,127,2,54,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
155,128,1,54,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
156,128,2,27,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
157,129,2,52,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
158,130,1,55,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
159,131,1,28,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
160,131,2,55,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
161,132,1,56,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
162,133,2,56,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
163,134,2,56,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
164,134,1,6,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
165,135,1,56,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
166,136,2,56,2024-02-27 09:32:39.246897,2024-02-27 09:32:39.246897
