id,weight_blue,weight_green,weight_purple,weight_red,weight_yellow,weight_rainbow,created_at,updated_at
1,100,100,100,100,100,100,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
2,100,0,0,0,0,100,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
3,0,100,100,0,0,100,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
4,0,0,100,100,100,100,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
5,100,100,0,100,100,100,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
6,100,0,100,0,100,0,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
7,100,100,100,500,100,100,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
8,0,0,0,0,0,100,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
9,100,100,100,100,100,0,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
10,100,100,100,0,100,100,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
11,100,0,100,100,100,100,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
12,0,100,100,100,100,100,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
13,100,100,100,100,0,100,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
14,100,100,0,100,100,100,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
15,100,100,100,100,50,100,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
16,100,50,100,100,100,100,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
17,50,100,100,100,100,100,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
18,100,100,50,100,100,100,2024-02-27 09:32:39.317157,2024-02-27 09:32:39.317157
