id,battle_param_value,name,created_at,updated_at
1,1,Transformation,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
2,2,Special Fusion,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
3,3,Fusion,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
4,4,Assimilation,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
5,5,Absorption,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
6,6,Possession,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
7,7,Awakening,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
8,8,Boost,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
9,9,Evolution,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
10,10,Mutation,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
11,11,Exchange,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
12,12,Rejuvenation,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
13,13,Deactivation,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
14,14,Giant Ape Transformation,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
15,15,Phantom Majin's Seal Is Broken,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
16,16,Giant Form Transformation,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
17,17,Core's Appearance,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
18,18,Rage,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
19,19,Revival,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
20,20,Outfit Change,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
21,21,Body Change,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
22,22,Morale Boost,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
23,23,Standby Skill Activation,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
24,24,Finish Effect Activation,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
25,25,Omnipresence,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
27,27,Cloning,2024-04-30 09:30:50.046298,2024-04-30 09:30:50.046298
