id,phase_id,is_resume_point,number,created_at,updated_at
1,1,1,1,2024-04-30 09:31:26.155295,2024-04-30 09:31:26.155295
2,1,1,2,2024-04-30 09:31:26.155295,2024-04-30 09:31:26.155295
1000,1000,1,1,2024-04-30 09:31:26.155295,2024-04-30 09:31:26.155295
1010,1010,1,1,2024-04-30 09:31:26.155295,2024-04-30 09:31:26.155295
1020,1020,1,1,2024-04-30 09:31:26.155295,2024-04-30 09:31:26.155295
2000,2000,1,1,2024-04-30 09:31:26.155295,2024-04-30 09:31:26.155295
2010,2010,1,1,2024-04-30 09:31:26.155295,2024-04-30 09:31:26.155295
3000,3000,1,1,2024-04-30 09:31:26.155295,2024-04-30 09:31:26.155295
4000,4000,1,1,2024-04-30 09:31:26.155295,2024-04-30 09:31:26.155295
5000,5000,1,1,2024-04-30 09:31:26.155295,2024-04-30 09:31:26.155295
6000,6000,1,1,2024-04-30 09:31:26.155295,2024-04-30 09:31:26.155295
6010,6010,1,1,2024-04-30 09:31:26.155295,2024-04-30 09:31:26.155295
7000,7000,1,1,2024-04-30 09:31:26.155295,2024-04-30 09:31:26.155295
7010,7010,0,1,2024-04-30 09:31:26.155295,2024-04-30 09:31:26.155295
7020,7020,0,1,2024-04-30 09:31:26.155295,2024-04-30 09:31:26.155295
8000,8000,1,1,2024-04-30 09:31:26.155295,2024-04-30 09:31:26.155295
9000,9000,1,1,2024-04-30 09:31:26.155295,2024-04-30 09:31:26.155295
