id,escalation_type,level,card_id,created_at,updated_at
1,5,1,1004220,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
2,5,15,1003210,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
3,12,1,2000641,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
4,12,15,9000041,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
5,19,1,9401361,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
6,19,6,9400511,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
7,19,11,1000361,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
8,19,16,9401531,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
9,19,21,9410221,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
10,26,1,1003321,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
11,26,15,1004251,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
18,40,1,1004361,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
19,40,6,1008941,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
20,40,11,1004351,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
21,40,16,1008931,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
22,40,21,1004341,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
23,40,26,1008921,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
24,47,1,1003301,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
25,47,15,1004651,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
26,54,1,1006681,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
27,54,15,1006701,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
28,61,1,9014531,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
29,61,21,9014511,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
30,68,1,1014671,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
31,68,15,1014681,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
37,82,1,1012711,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
38,82,11,1013481,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
39,82,21,1013941,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
40,82,31,9014701,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
41,82,41,9013961,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
42,89,1,1003771,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
43,89,15,1003311,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
44,96,1,1005631,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
45,96,15,1005301,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
46,103,1,1003071,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
47,103,15,1005731,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
48,110,1,1002801,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
49,110,15,1005051,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
50,117,1,9016061,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
51,117,15,9016131,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
52,124,1,1005271,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
53,124,15,1005281,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
54,131,1,1010351,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
55,131,15,1010361,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
56,138,1,1011331,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
57,138,15,1011341,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
58,145,1,1006411,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
59,145,11,1008711,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
60,145,21,1011311,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
61,145,31,1011321,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
62,145,41,9016471,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
63,152,1,1009761,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
64,152,6,1009541,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
65,152,11,9009701,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
66,152,16,9009711,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
67,152,21,9016701,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
68,159,1,1009711,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
69,159,21,9009711,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
70,166,1,1007931,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
71,166,15,1006211,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
72,173,1,1008731,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
73,173,15,1007391,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
74,180,1,1008841,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
75,180,15,1008851,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
76,187,1,1017151,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
77,187,15,9017161,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
78,194,1,1008101,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
79,194,15,1008091,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
80,201,1,1007451,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
81,201,15,1007461,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
82,208,1,1010801,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
83,208,3,1010791,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
84,208,6,1009931,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
85,208,11,9009901,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
86,208,16,9009911,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
87,208,21,1009921,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
88,208,26,1009891,2024-04-30 09:31:26.308902,2024-04-30 09:31:26.308902
