id,escalation_type,level,escalation_value,created_at,updated_at
1,1,1,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
2,1,7,200,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
3,1,15,333,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
4,1,18,400,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
5,1,28,467,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
6,1,30,500,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
7,1,31,503,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
8,2,1,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
9,2,28,158,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
10,2,30,166,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
11,2,31,168,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
12,3,1,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
13,3,28,4000,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
14,3,30,4000,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
15,3,31,4133,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
16,4,1,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
17,4,17,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
18,4,18,110,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
19,4,25,110,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
20,4,26,130,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
21,4,30,130,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
23,2,2,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
24,3,3,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
25,8,1,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
26,8,7,200,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
27,8,15,333,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
28,8,18,400,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
29,8,28,467,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
30,8,30,493,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
31,8,31,497,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
32,9,1,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
33,9,2,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
34,9,28,156,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
35,9,30,163,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
36,9,31,165,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
37,10,1,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
38,10,3,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
39,10,28,1600,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
40,10,30,1600,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
41,10,31,1640,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
42,11,1,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
43,11,17,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
44,11,18,110,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
45,11,25,110,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
46,11,26,125,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
47,11,30,125,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
48,15,1,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
49,15,5,129,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
50,15,6,171,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
51,15,10,200,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
52,15,11,214,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
53,15,15,243,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
54,15,16,286,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
55,15,20,314,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
56,15,21,357,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
57,15,30,429,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
58,15,33,571,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
59,15,40,786,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
60,15,77,1029,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
61,15,78,1036,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
62,16,1,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
63,16,5,104,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
64,16,6,108,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
65,16,10,116,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
66,16,11,120,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
67,16,15,128,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
68,16,16,136,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
69,16,20,144,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
70,16,21,148,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
71,16,30,160,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
72,16,77,248,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
73,16,78,251,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
74,17,1,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
75,17,5,160,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
76,17,6,200,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
77,17,10,280,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
78,17,11,320,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
79,17,15,360,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
80,17,16,480,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
81,17,20,560,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
82,17,21,600,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
83,17,30,800,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
84,17,77,2200,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
85,17,78,2320,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
86,18,1,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
87,18,16,110,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
88,18,45,120,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
89,18,15,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
90,18,44,110,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
91,18,77,120,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
92,22,1,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
93,22,7,196,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
94,22,15,327,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
95,22,18,392,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
96,22,28,464,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
97,22,30,493,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
98,22,31,497,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
99,23,1,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
100,23,2,100,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
101,23,28,132,2024-02-27 09:33:19.744061,2024-02-27 09:33:19.744061
102,23,30,137,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
103,23,31,139,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
104,24,1,100,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
105,24,3,100,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
106,24,28,566,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
107,24,30,566,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
108,24,31,604,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
109,25,1,100,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
110,25,17,100,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
111,25,18,115,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
112,25,25,115,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
113,25,26,125,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
114,25,30,125,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
146,36,1,100,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
147,36,5,200,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
148,36,6,233,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
149,36,10,300,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
150,36,11,333,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
151,36,15,353,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
152,36,16,367,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
153,36,20,387,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
154,36,21,400,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
155,36,25,420,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
156,36,26,433,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
157,36,30,490,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
158,36,31,493,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
159,37,1,100,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
160,37,2,100,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
161,37,30,151,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
162,37,31,153,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
163,38,1,100,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
164,38,3,100,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
165,38,30,700,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
166,38,31,740,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
167,39,1,100,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
168,39,5,100,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
169,39,6,105,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
170,39,10,105,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
171,39,11,115,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
172,39,15,115,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
173,39,16,120,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
174,39,20,120,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
175,39,21,130,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
176,39,30,130,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
177,43,1,100,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
178,43,7,188,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
179,43,15,306,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
180,43,18,365,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
181,43,28,426,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
182,43,30,453,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
183,43,31,456,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
184,44,1,100,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
185,44,2,100,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
186,44,28,154,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
187,44,30,160,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
188,44,31,162,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
189,45,1,100,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
190,45,3,100,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
191,45,28,1250,2024-02-27 09:33:19.752101,2024-02-27 09:33:19.752101
