id,z_battle_stage_id,level,z_battle_first_reward_set_id,main_reward_id,created_at,updated_at
1,1,1,1,2,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
2,1,2,2,6,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
3,1,3,3,9,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
4,1,4,4,12,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
5,1,5,5,16,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
6,1,6,6,18,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
7,1,7,7,22,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
8,1,8,8,25,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
9,1,9,9,28,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
10,1,10,10,34,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
11,1,11,11,36,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
12,1,12,12,40,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
13,1,13,13,43,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
14,1,14,14,46,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
15,1,15,15,50,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
16,1,16,16,53,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
17,1,17,17,56,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
18,1,18,18,59,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
19,1,19,19,62,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
20,1,20,20,68,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
21,1,21,21,70,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
22,1,22,22,74,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
23,1,23,23,77,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
24,1,24,24,80,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
25,1,25,25,84,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
26,1,26,26,86,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
27,1,27,27,90,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
28,1,28,28,93,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
29,1,29,29,96,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
30,1,30,30,102,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
31,1,31,31,103,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
32,2,1,32,105,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
33,2,2,33,109,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
34,2,3,34,112,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
35,2,4,35,115,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
36,2,5,36,119,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
37,2,6,37,121,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
38,2,7,38,125,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
39,2,8,39,128,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
40,2,9,40,131,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
41,2,10,41,137,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
42,2,11,42,139,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
43,2,12,43,143,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
44,2,13,44,146,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
45,2,14,45,149,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
46,2,15,46,153,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
47,2,16,47,156,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
48,2,17,48,159,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
49,2,18,49,162,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
50,2,19,50,165,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
51,2,20,51,171,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
52,2,21,52,173,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
53,2,22,53,177,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
54,2,23,54,180,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
55,2,24,55,183,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
56,2,25,56,187,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
57,2,26,57,189,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
58,2,27,58,193,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
59,2,28,59,196,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
60,2,29,60,199,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
61,2,30,61,205,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
62,2,31,62,206,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
63,3,1,63,207,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
64,3,2,64,210,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
65,3,3,65,212,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
66,3,4,66,214,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
67,3,5,67,217,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
68,3,6,68,219,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
69,3,7,69,221,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
70,3,8,70,223,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
71,3,9,71,225,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
72,3,10,72,228,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
73,3,11,73,229,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
74,3,12,74,232,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
75,3,13,75,234,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
76,3,14,76,236,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
77,3,15,77,239,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
78,3,16,78,241,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
79,3,17,79,243,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
80,3,18,80,245,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
81,3,19,81,247,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
82,3,20,82,250,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
83,3,21,83,251,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
84,3,22,84,254,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
85,3,23,85,256,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
86,3,24,86,258,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
87,3,25,87,261,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
88,3,26,88,262,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
89,3,27,89,265,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
90,3,28,90,267,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
91,3,29,91,269,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
92,3,30,92,272,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
93,3,31,93,273,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
94,3,32,94,274,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
95,3,33,95,275,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
96,3,34,96,276,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
97,3,35,97,277,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
98,3,36,98,278,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
99,3,37,99,279,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
100,3,38,100,280,2024-02-27 09:33:20.017537,2024-02-27 09:33:20.017537
101,3,39,101,281,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
102,3,40,102,283,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
103,3,41,103,284,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
104,3,42,104,285,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
105,3,43,105,286,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
106,3,44,106,287,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
107,3,45,107,288,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
108,3,46,108,289,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
109,3,47,109,290,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
110,3,48,110,291,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
111,3,49,111,292,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
112,3,50,112,294,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
113,3,51,113,295,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
114,3,52,114,296,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
115,3,53,115,297,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
116,3,54,116,298,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
117,3,55,117,299,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
118,3,56,118,300,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
119,3,57,119,301,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
120,3,58,120,302,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
121,3,59,121,303,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
122,3,60,122,305,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
123,3,61,123,306,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
124,3,62,124,307,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
125,3,63,125,308,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
126,3,64,126,309,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
127,3,65,127,310,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
128,3,66,128,311,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
129,3,67,129,312,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
130,3,68,130,313,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
131,3,69,131,314,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
132,3,70,132,316,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
133,3,71,133,317,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
134,3,72,134,318,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
135,3,73,135,319,2024-02-27 09:33:20.025000,2024-02-27 09:33:20.025000
