id,z_battle_first_reward_set_id,item_id,item_type,quantity,card_exp_init,created_at,updated_at
1,1,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
2,1,100001,AwakeningItem,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
3,1,1,PotentialItem,370,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
4,2,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
5,2,100001,AwakeningItem,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
6,2,6,PotentialItem,270,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
7,3,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
8,3,100001,AwakeningItem,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
9,3,11,PotentialItem,20,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
10,4,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
11,4,100001,AwakeningItem,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
12,4,1,PotentialItem,370,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
13,5,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
14,5,100001,AwakeningItem,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
15,5,6,PotentialItem,270,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
16,5,1012230,Card,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
17,6,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
18,6,100001,AwakeningItem,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
19,6,11,PotentialItem,20,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
20,7,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
21,7,100001,AwakeningItem,2,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
22,7,1,PotentialItem,370,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
23,8,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
24,8,100001,AwakeningItem,2,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
25,8,6,PotentialItem,270,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
26,9,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
27,9,100001,AwakeningItem,2,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
28,9,11,PotentialItem,20,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
29,10,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
30,10,100001,AwakeningItem,3,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
31,10,1,PotentialItem,370,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
32,10,6,PotentialItem,270,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
33,10,11,PotentialItem,20,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
34,10,1012230,Card,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
35,11,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
36,11,100002,AwakeningItem,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
37,11,1,PotentialItem,430,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
38,12,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
39,12,100002,AwakeningItem,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
40,12,6,PotentialItem,330,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
41,13,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
42,13,100002,AwakeningItem,2,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
43,13,11,PotentialItem,30,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
44,14,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
45,14,100002,AwakeningItem,2,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
46,14,1,PotentialItem,430,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
47,15,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
48,15,100002,AwakeningItem,4,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
49,15,6,PotentialItem,330,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
50,15,1012230,Card,2,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
51,16,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
52,16,100002,AwakeningItem,4,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
53,16,11,PotentialItem,30,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
54,17,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
55,17,100002,AwakeningItem,5,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
56,17,1,PotentialItem,430,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
57,18,11,Point::Stone,1,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
58,18,100002,AwakeningItem,6,0,2024-02-27 09:33:20.351973,2024-02-27 09:33:20.351973
