id,budokai_id,round,image_path,description
1,1,1,images/budokai/budokai_announce_01.png,予選第1回戦始まります！
2,1,2,images/budokai/budokai_announce_01.png,予選第2回戦始まります！
3,1,6,images/budokai/budokai_announce_02.png,予選第3回戦始まります！
4,1,3,images/budokai/budokai_announce_03.png,準々決勝 開始します！
5,1,4,images/budokai/budokai_announce_03.png,準決勝 開始します！
6,1,5,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
7,2,1,images/budokai/budokai_announce_01.png,予選第1回戦始まります！
8,2,2,images/budokai/budokai_announce_01.png,予選第2回戦始まります！
9,2,6,images/budokai/budokai_announce_02.png,予選第3回戦始まります！
10,2,3,images/budokai/budokai_announce_03.png,準々決勝 開始します！
11,2,4,images/budokai/budokai_announce_03.png,準決勝 開始します！
12,2,5,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
13,3,1,images/budokai/budokai_announce_01.png,予選第1回戦始まります！
16,3,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
17,3,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
18,3,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
19,4,1,images/budokai/budokai_announce_01.png,予選第1回戦始まります！
20,4,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
21,4,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
22,4,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
23,5,1,images/budokai/budokai_announce_01.png,予選第1回戦始まります！
24,5,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
25,5,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
26,5,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
27,6,1,images/budokai/budokai_announce_01.png,予選第1回戦始まります！
28,6,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
29,6,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
30,6,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
31,7,1,images/budokai/budokai_announce_01.png,予選第1回戦始まります！
32,7,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
33,7,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
34,7,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
35,8,1,images/budokai/budokai_announce_01.png,予選第1回戦始まります！
36,8,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
37,8,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
38,8,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
39,9,1,images/budokai/budokai_announce_01.png,予選第1回戦始まります！
40,9,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
41,9,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
42,9,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
43,10,1,images/budokai/budokai_announce_01.png,予選第1回戦始まります！
44,10,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
45,10,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
46,10,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
47,11,1,images/budokai/budokai_announce_01.png,予選 始まります！
48,11,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
49,11,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
50,11,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
51,12,1,images/budokai/budokai_announce_01.png,予選 始まります！
52,12,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
53,12,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
54,12,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
55,13,1,images/budokai/budokai_announce_01.png,予選 始まります！
56,13,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
57,13,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
58,13,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
59,14,1,images/budokai/budokai_announce_01.png,予選 始まります！
60,14,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
61,14,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
62,14,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
63,15,1,images/budokai/budokai_announce_01.png,予選 始まります！
64,15,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
65,15,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
66,15,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
67,16,1,images/budokai/budokai_announce_01.png,予選 始まります！
68,16,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
69,16,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
70,16,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
171,17,1,images/budokai/budokai_announce_01.png,予選 始まります！
172,17,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
173,17,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
174,17,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
181,18,1,images/budokai/budokai_announce_01.png,予選 始まります！
182,18,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
183,18,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
184,18,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
191,19,1,images/budokai/budokai_announce_01.png,予選 始まります！
192,19,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
193,19,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
194,19,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
201,20,1,images/budokai/budokai_announce_01.png,予選 始まります！
202,20,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
203,20,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
204,20,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
211,21,1,images/budokai/budokai_announce_01.png,予選 始まります！
212,21,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
213,21,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
214,21,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
221,22,1,images/budokai/budokai_announce_01.png,予選 始まります！
222,22,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
223,22,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
224,22,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
231,23,1,images/budokai/budokai_announce_01.png,予選 始まります！
232,23,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
233,23,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
234,23,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
241,24,1,images/budokai/budokai_announce_01.png,予選 始まります！
242,24,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
243,24,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
244,24,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
251,25,1,images/budokai/budokai_announce_01.png,予選 始まります！
252,25,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
253,25,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
254,25,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
261,26,1,images/budokai/budokai_announce_01.png,予選 始まります！
262,26,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
263,26,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
264,26,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
271,27,1,images/budokai/budokai_announce_01.png,予選 始まります！
272,27,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
273,27,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
274,27,4,images/budokai/budokai_announce_03.png,いよいよ決勝戦です！！
281,28,1,images/budokai/budokai_announce_01.png,予選 始まります！
282,28,2,images/budokai/budokai_announce_03.png,準々決勝 開始します！
283,28,3,images/budokai/budokai_announce_03.png,準決勝 開始します！
