id,collection_category_id,name,priority,card_id,background_id,created_at,updated_at
1,1,アプール,99900,1000710,3,2024-05-02 02:03:28,2024-05-02 02:03:28
2,1,ウイス,99300,1002670,2,2024-05-02 02:03:28,2024-05-02 02:03:28
3,1,"ウーブ
(少年期)",99100,1002030,3,2024-05-02 02:03:28,2024-05-02 02:03:28
4,2,海賊ロボ,98500,1000770,1,2024-05-02 02:03:28,2024-05-02 02:03:28
5,2,合体13号,98200,1002530,1,2024-05-02 02:03:28,2024-05-02 02:03:28
6,2,合体ピラフマシン,98100,1000450,2,2024-05-02 02:03:28,2024-05-02 02:03:28
7,2,亀仙人,97900,1001020,5,2024-05-02 02:03:28,2024-05-02 02:03:28
8,2,"亀仙人
(MAXパワー)",97700,1003530,5,2024-05-02 02:03:28,2024-05-02 02:03:28
9,2,キーラ,97300,1000760,3,2024-05-02 02:03:28,2024-05-02 02:03:28
10,2,ギニュー,97200,1000950,2,2024-05-02 02:03:28,2024-05-02 02:03:28
12,2,キュイ,96500,1001110,3,2024-05-02 02:03:28,2024-05-02 02:03:28
13,2,クリリン,96100,1000890,1,2024-05-02 02:03:28,2024-05-02 02:03:28
14,2,"クリリン
(警官)",96000,1002180,4,2024-05-02 02:03:28,2024-05-02 02:03:28
15,2,グルド,95800,1001070,1,2024-05-02 02:03:28,2024-05-02 02:03:28
16,2,"ゴールデン
フリーザ",95000,2000850,5,2024-05-02 02:03:28,2024-05-02 02:03:28
17,2,ゴクア,94800,2000720,1,2024-05-02 02:03:28,2024-05-02 02:03:28
18,2,コルド大王,93900,2000190,4,2024-05-02 02:03:28,2024-05-02 02:03:28
19,3,ザーボン,93700,1000940,4,2024-05-02 02:03:28,2024-05-02 02:03:28
20,3,栽培マン,93600,1000780,4,2024-05-02 02:03:28,2024-05-02 02:03:28
21,3,サイボーグ桃白白,93500,2000070,3,2024-05-02 02:03:28,2024-05-02 02:03:28
22,3,ザンギャ,93200,2000710,5,2024-05-02 02:03:28,2024-05-02 02:03:28
23,3,ジース,93000,1001090,3,2024-05-02 02:03:28,2024-05-02 02:03:28
24,3,シェン,92900,1000460,2,2024-05-02 02:03:28,2024-05-02 02:03:28
25,3,シサミ,92800,1002590,3,2024-05-02 02:03:28,2024-05-02 02:03:28
26,3,ジャコ,92700,1002210,2,2024-05-02 02:03:28,2024-05-02 02:03:28
