id,type,conditions,comment,created_at,updated_at
1,PotentialSquareCondition::PotentialItem,"{""item_id"": 3, ""quantity"": 20}",素材ID=3:20個,2016-11-29 03:06:44,2017-07-28 02:18:17
2,PotentialSquareCondition::PotentialItem,"{""item_id"": 8, ""quantity"": 10}",素材ID=8:10個,2016-11-29 03:06:44,2017-07-28 02:18:17
3,PotentialSquareCondition::PotentialItem,"{""item_id"": 13, ""quantity"": 1}",素材ID=13:1個,2016-11-29 03:06:44,2017-07-28 02:18:17
4,PotentialSquareCondition::PotentialItem,"{""item_id"": 3, ""quantity"": 5}",素材ID=3:5個,2016-11-29 03:06:44,2017-07-28 02:18:17
5,PotentialSquareCondition::PotentialItem,"{""item_id"": 3, ""quantity"": 10}",素材ID=3:10個,2016-11-29 03:06:44,2017-07-28 02:18:17
6,PotentialSquareCondition::PotentialItem,"{""item_id"": 8, ""quantity"": 5}",素材ID=8:5個,2016-11-29 03:06:44,2017-07-28 02:18:17
7,PotentialSquareCondition::PotentialItem,"{""item_id"": 3, ""quantity"": 50}",素材ID=3:50個,2016-11-29 03:06:44,2017-07-28 02:18:17
8,PotentialSquareCondition::PotentialItem,"{""item_id"": 8, ""quantity"": 25}",素材ID=8:25個,2016-11-29 03:06:44,2017-07-28 02:18:17
9,PotentialSquareCondition::PotentialItem,"{""item_id"": 13, ""quantity"": 3}",素材ID=13:3個,2016-11-29 03:06:44,2017-07-28 02:18:17
10,PotentialSquareCondition::PotentialItem,"{""item_id"": 8, ""quantity"": 15}",素材ID=8:15個,2016-11-29 03:06:44,2017-07-28 02:18:17
11,PotentialSquareCondition::PotentialItem,"{""item_id"": 13, ""quantity"": 2}",素材ID=13:2個,2016-11-29 03:06:44,2017-07-28 02:18:17
12,PotentialSquareCondition::PotentialItem,"{""item_id"": 3, ""quantity"": 30}",素材ID=3:30個,2016-11-29 03:06:44,2017-07-28 02:18:17
13,PotentialSquareCondition::SkillLv,"{""skill_lv"": 2}",必殺技Lv2以上,2016-11-29 03:06:44,2017-07-28 02:18:17
14,PotentialSquareCondition::SkillLv,"{""skill_lv"": 6}",必殺技Lv6以上,2016-11-29 03:06:44,2017-07-28 02:18:17
15,PotentialSquareCondition::SkillLv,"{""skill_lv"": 4}",必殺技Lv4以上,2016-11-29 03:06:44,2017-07-28 02:18:17
16,PotentialSquareCondition::PotentialItem,"{""item_id"": 3, ""quantity"": 15}",素材ID=3:15個,2016-11-29 03:06:44,2017-07-28 02:18:17
17,PotentialSquareCondition::SkillLv,"{""skill_lv"": 8}",必殺技Lv8以上,2016-11-29 03:06:44,2017-07-28 02:18:17
18,PotentialSquareCondition::SkillLv,"{""skill_lv"": 10}",必殺技Lv10以上,2016-11-29 03:06:44,2017-07-28 02:18:17
19,PotentialSquareCondition::PotentialItem,"{""item_id"": 8, ""quantity"": 20}",素材ID=8:20個,2016-11-29 03:06:44,2017-07-28 02:18:17
