id,z_battle_stage_id,level,z_battle_first_reward_set_id,main_reward_id,created_at,updated_at
1,1,1,1,2,2017-11-08 10:30:55,2017-11-08 10:30:55
2,1,2,2,6,2017-11-08 10:30:55,2017-11-08 10:30:55
3,1,3,3,9,2017-11-08 10:30:55,2017-11-08 10:30:55
4,1,4,4,12,2017-11-08 10:30:55,2017-11-08 10:30:55
5,1,5,5,16,2017-11-08 10:30:55,2017-11-09 05:58:27
6,1,6,6,18,2017-11-08 10:30:55,2017-11-08 10:30:55
7,1,7,7,22,2017-11-08 10:30:55,2017-11-08 10:30:55
8,1,8,8,25,2017-11-08 10:30:55,2017-11-08 10:30:55
9,1,9,9,28,2017-11-08 10:30:55,2017-11-08 10:30:55
10,1,10,10,34,2017-11-08 10:30:55,2017-11-09 05:58:27
11,1,11,11,36,2017-11-08 10:30:56,2017-11-09 05:58:27
12,1,12,12,40,2017-11-08 10:30:56,2017-11-08 10:30:56
13,1,13,13,43,2017-11-08 10:30:56,2017-11-08 10:30:56
14,1,14,14,46,2017-11-08 10:30:56,2017-11-09 05:58:27
15,1,15,15,50,2017-11-08 10:30:56,2017-11-09 05:58:27
16,1,16,16,53,2017-11-08 10:30:56,2017-11-09 05:58:27
17,1,17,17,56,2017-11-08 10:30:56,2017-11-08 10:30:56
18,1,18,18,59,2017-11-08 10:30:56,2017-11-08 10:30:56
19,1,19,19,62,2017-11-08 10:30:56,2017-11-08 10:30:56
20,1,20,20,68,2017-11-08 10:30:56,2017-11-09 05:58:27
21,1,21,21,70,2017-11-08 10:30:56,2017-11-09 05:58:27
22,1,22,22,74,2017-11-08 10:30:56,2017-11-08 10:30:56
23,1,23,23,77,2017-11-08 10:30:56,2017-11-08 10:30:56
24,1,24,24,80,2017-11-08 10:30:56,2017-11-08 10:30:56
25,1,25,25,84,2017-11-08 10:30:56,2017-11-09 05:58:27
26,1,26,26,86,2017-11-08 10:30:56,2017-11-08 10:30:56
27,1,27,27,90,2017-11-08 10:30:56,2017-11-08 10:30:56
28,1,28,28,93,2017-11-08 10:30:56,2017-11-08 10:30:56
29,1,29,29,96,2017-11-08 10:30:56,2017-11-08 10:30:56
30,1,30,30,102,2017-11-08 10:30:56,2017-11-09 05:58:27
31,1,31,31,103,2017-11-08 10:30:56,2017-11-08 10:30:56
32,2,1,32,105,2017-11-28 04:30:57,2017-11-28 04:30:57
33,2,2,33,109,2017-11-28 04:30:57,2017-11-28 04:30:57
34,2,3,34,112,2017-11-28 04:30:57,2017-11-28 04:30:57
35,2,4,35,115,2017-11-28 04:30:57,2017-11-28 04:30:57
36,2,5,36,119,2017-11-28 04:30:57,2017-11-28 04:30:57
37,2,6,37,121,2017-11-28 04:30:57,2017-11-28 04:30:57
38,2,7,38,125,2017-11-28 04:30:57,2017-11-28 04:30:57
39,2,8,39,128,2017-11-28 04:30:57,2017-11-28 04:30:57
40,2,9,40,131,2017-11-28 04:30:57,2017-11-28 04:30:57
41,2,10,41,137,2017-11-28 04:30:57,2017-11-28 04:30:57
42,2,11,42,139,2017-11-28 04:30:57,2017-11-28 04:30:57
43,2,12,43,143,2017-11-28 04:30:57,2017-11-28 04:30:57
44,2,13,44,146,2017-11-28 04:30:57,2017-11-28 04:30:57
45,2,14,45,149,2017-11-28 04:30:57,2017-11-28 04:30:57
46,2,15,46,153,2017-11-28 04:30:57,2017-11-28 04:30:57
47,2,16,47,156,2017-11-28 04:30:57,2017-11-28 04:30:57
48,2,17,48,159,2017-11-28 04:30:57,2017-11-28 04:30:57
49,2,18,49,162,2017-11-28 04:30:57,2017-11-28 04:30:57
50,2,19,50,165,2017-11-28 04:30:58,2017-11-28 04:30:58
51,2,20,51,171,2017-11-28 04:30:58,2017-11-28 04:30:58
52,2,21,52,173,2017-11-28 04:30:58,2017-11-28 04:30:58
53,2,22,53,177,2017-11-28 04:30:58,2017-11-28 04:30:58
54,2,23,54,180,2017-11-28 04:30:58,2017-11-28 04:30:58
55,2,24,55,183,2017-11-28 04:30:58,2017-11-28 04:30:58
56,2,25,56,187,2017-11-28 04:30:58,2017-11-28 04:30:58
57,2,26,57,189,2017-11-28 04:30:58,2017-11-28 04:30:58
58,2,27,58,193,2017-11-28 04:30:58,2017-11-28 04:30:58
59,2,28,59,196,2017-11-28 04:30:58,2017-11-28 04:30:58
60,2,29,60,199,2017-11-28 04:30:58,2017-11-28 04:30:58
61,2,30,61,205,2017-11-28 04:30:58,2017-11-28 04:30:58
62,2,31,62,206,2017-11-28 04:30:58,2017-11-28 04:30:58
63,3,1,63,207,2018-01-12 01:44:30,2018-01-12 01:44:30
64,3,2,64,210,2018-01-12 01:44:30,2018-01-12 01:44:30
65,3,3,65,212,2018-01-12 01:44:30,2018-01-12 01:44:30
66,3,4,66,214,2018-01-12 01:44:30,2018-01-12 01:44:30
67,3,5,67,217,2018-01-12 01:44:30,2018-01-12 01:44:30
68,3,6,68,219,2018-01-12 01:44:30,2018-01-12 01:44:30
69,3,7,69,221,2018-01-12 01:44:30,2018-01-12 01:44:30
70,3,8,70,223,2018-01-12 01:44:30,2018-01-12 01:44:30
71,3,9,71,225,2018-01-12 01:44:30,2018-01-12 01:44:30
72,3,10,72,228,2018-01-12 01:44:30,2018-01-12 01:44:30
73,3,11,73,229,2018-01-12 01:44:30,2018-01-12 01:44:30
74,3,12,74,232,2018-01-12 01:44:30,2018-01-12 01:44:30
75,3,13,75,234,2018-01-12 01:44:30,2018-01-12 01:44:30
76,3,14,76,236,2018-01-12 01:44:30,2018-01-12 01:44:30
77,3,15,77,239,2018-01-12 01:44:30,2018-01-12 01:44:30
78,3,16,78,241,2018-01-12 01:44:30,2018-01-12 01:44:30
79,3,17,79,243,2018-01-12 01:44:30,2018-01-12 01:44:30
80,3,18,80,245,2018-01-12 01:44:30,2018-01-12 01:44:30
81,3,19,81,247,2018-01-12 01:44:30,2018-01-12 01:44:30
82,3,20,82,250,2018-01-12 01:44:30,2018-01-12 01:44:30
83,3,21,83,251,2018-01-12 01:44:30,2018-01-12 01:44:30
84,3,22,84,254,2018-01-12 01:44:30,2018-01-12 01:44:30
85,3,23,85,256,2018-01-12 01:44:30,2018-01-12 01:44:30
86,3,24,86,258,2018-01-12 01:44:30,2018-01-12 01:44:30
87,3,25,87,261,2018-01-12 01:44:30,2018-01-12 01:44:30
88,3,26,88,262,2018-01-12 01:44:30,2018-01-12 01:44:30
89,3,27,89,265,2018-01-12 01:44:30,2018-01-12 01:44:30
90,3,28,90,267,2018-01-12 01:44:30,2018-01-12 01:44:30
91,3,29,91,269,2018-01-12 01:44:30,2018-01-12 01:44:30
92,3,30,92,272,2018-01-12 01:44:30,2018-01-12 01:44:30
93,3,31,93,273,2018-01-12 01:44:30,2018-01-12 01:44:30
94,3,32,94,274,2018-01-12 01:44:30,2018-01-12 01:44:30
95,3,33,95,275,2018-01-12 01:44:30,2018-01-12 01:44:30
96,3,34,96,276,2018-01-12 01:44:30,2018-01-12 01:44:30
97,3,35,97,277,2018-01-12 01:44:30,2018-01-12 01:44:30
98,3,36,98,278,2018-01-12 01:44:30,2018-01-12 01:44:30
99,3,37,99,279,2018-01-12 01:44:30,2018-01-12 01:44:30
100,3,38,100,280,2018-01-12 01:44:30,2018-01-12 01:44:30
101,3,39,101,281,2018-01-12 01:44:30,2018-01-12 01:44:30
102,3,40,102,283,2018-01-12 01:44:30,2018-01-12 01:44:30
103,3,41,103,284,2018-01-12 01:44:30,2018-01-12 01:44:30
104,3,42,104,285,2018-01-12 01:44:30,2018-01-12 01:44:30
