id,type,category,chapter_id,db_story_id,name,prev_area_id,all_clear_bonus_stones,bgm_id,event_image_path,banner_image_path,listbutton_image_path,is_listbutton_visible,event_priority,announcement_id,is_quest_num_visible,first_released_at
1,Area::MainArea,0,1.0,,A Gloomy Parallel World,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
2,Area::MainArea,0,1.0,,The Ultimate Life Form!,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
3,Area::MainArea,0,1.0,,A Call to Arms,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
4,Area::MainArea,0,1.0,,The Emperor's Wrath,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
5,Area::MainArea,0,1.0,,The Dreaded Ginyu Force,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
6,Area::MainArea,0,1.0,,The Androids Attack!,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
7,Area::MainArea,0,1.0,,Assault of the Saiyans!,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
8,Area::MainArea,0,1.0,,Merciless Frieza,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
9,Area::MainArea,0,1.0,,"Arise, Saiyan Prince",,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
10,Area::MainArea,0,2.0,,Red Ribbon Machinations,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
11,Area::MainArea,0,2.0,,Unknown Saiyans,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
12,Area::MainArea,0,2.0,,Terror Returns,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
13,Area::MainArea,0,2.0,,When Warriors Collide,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
14,Area::MainArea,0,2.0,,The Ultimate Android,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
15,Area::MainArea,0,2.0,,Distorted Destiny,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
16,Area::MainArea,0,3.0,,Reunited,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
17,Area::MainArea,0,3.0,,Frieza's Menace!,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
18,Area::MainArea,0,3.0,,The Epic Attack and Defense,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
19,Area::MainArea,0,3.0,,Stop the Majin's Revival!,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
20,Area::MainArea,0,3.0,,Plot of Darkness,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
21,Area::MainArea,0,3.0,,Omen of Brutal Brawl,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
22,Area::MainArea,0,4.0,,A New Threat,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
23,Area::MainArea,0,4.0,,Stop Cell's Perfect Form!,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
24,Area::MainArea,0,4.0,,Ambitious Androids,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
25,Area::MainArea,0,4.0,,Signs of Invasion,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
26,Area::MainArea,0,4.0,,Demonic Technology,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
27,Area::MainArea,0,4.0,,Taxing Endeavor,,1.0,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,
28,Area::MainArea,0,5.0,,The Hunter and the Hunted,,,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,103189.0,1,
29,Area::MainArea,0,5.0,,United Front!,,,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,103281.0,1,
30,Area::MainArea,0,5.0,,Clash with the Saiyans,,,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,103394.0,1,
