id,budokai_id,prev_budokai_id,prev_budokai_box_ranking_id,player_max_count,box_max_count,start_at,end_at,collecting_end_at,created_at,updated_at
1,15,13.0,,300,1600,2017-01-20 06:30:00,2017-01-25 05:59:59,2017-01-26 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
2,16,15.0,,0,1600,2017-03-17 06:30:00,2017-03-20 05:59:59,2017-03-21 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
170,17,,,0,2800,2017-05-03 06:30:00,2017-05-08 05:59:59,2017-05-09 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
181,18,,,0,3200,2017-07-20 06:30:00,2017-07-25 05:59:59,2017-07-27 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
191,19,,,0,3200,2017-08-25 06:30:00,2017-08-29 05:59:59,2017-08-31 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
201,20,,,0,3000,2017-10-06 06:30:00,2017-10-11 05:59:59,2017-10-13 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
211,21,,,0,3200,2017-11-10 06:30:00,2017-11-14 05:59:59,2017-11-16 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
221,22,,,0,3000,2018-01-26 06:30:00,2018-01-30 07:59:59,2018-02-01 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
231,23,,,0,3000,2018-11-09 06:30:00,2018-11-12 05:59:59,2018-11-14 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
241,24,,,0,3000,2018-12-21 06:30:00,2018-12-24 05:59:59,2018-12-26 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
251,25,,,0,2000,2019-01-25 06:30:00,2019-01-28 05:59:59,2019-01-30 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
261,26,,,0,2200,2019-03-15 06:00:00,2019-03-18 05:59:59,2019-03-20 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
271,27,,,0,2200,2019-05-03 06:30:00,2019-05-06 05:59:59,2019-05-08 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
281,28,,,0,2200,2019-07-02 06:30:00,2019-07-05 05:59:59,2019-07-07 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
291,29,,,0,3300,2019-08-23 06:30:00,2019-08-26 05:59:59,2019-08-28 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
301,30,,,0,2560,2019-09-27 06:30:00,2019-09-30 05:59:59,2019-10-02 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
311,31,,,0,2600,2019-12-06 06:30:00,2019-12-09 05:59:59,2019-12-11 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
321,32,,,0,2400,2020-03-13 06:30:00,2020-03-16 05:59:59,2020-03-18 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
331,33,,,0,2200,2020-07-03 06:30:00,2020-07-06 05:59:59,2020-07-08 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
341,34,,,0,2600,2020-10-30 06:30:00,2020-11-02 05:59:59,2020-11-04 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
351,35,,,0,1780,2021-01-01 06:30:00,2021-01-04 05:59:59,2021-01-06 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
361,36,,,0,1310,2021-04-23 06:30:00,2021-04-26 05:59:59,2021-04-28 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
371,37,,,0,1485,2021-07-02 06:30:00,2021-07-05 05:59:59,2021-07-07 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
401,40,,,0,2115,2021-10-29 06:30:00,2021-11-01 05:59:59,2021-11-03 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
411,41,,,0,1680,2022-01-21 00:00:00,2022-01-28 05:59:59,2022-01-28 06:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
421,42,,,0,1570,2022-03-11 06:30:00,2022-03-14 05:59:59,2022-03-16 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
431,43,,,0,1510,2022-07-01 06:30:00,2022-07-04 05:59:59,2022-07-06 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
441,44,,,0,1665,2022-11-18 06:30:00,2022-11-21 05:59:59,2022-11-23 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
451,45,,,0,1305,2023-01-27 06:30:00,2023-01-30 05:59:59,2023-02-01 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
461,46,,,0,2000,2023-04-21 06:30:00,2023-04-24 05:59:59,2023-04-26 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
471,47,,,0,1520,2023-06-30 06:30:00,2023-07-03 05:59:59,2023-07-05 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
481,48,,,0,1135,2023-12-29 06:30:00,2024-01-01 05:59:59,2024-01-03 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
491,49,,,0,1315,2024-02-16 06:30:00,2024-02-19 05:59:59,2024-02-21 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
501,50,,,0,1200,2024-03-22 06:30:00,2024-03-25 05:59:59,2024-03-27 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
511,51,,,0,1110,2024-04-19 06:30:00,2024-04-22 05:59:59,2024-04-24 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
521,52,,,0,1495,2025-05-24 06:30:00,2025-05-27 05:59:59,2025-05-29 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
9211,921,,,0,3000,2018-06-22 06:30:00,2018-06-26 05:59:59,2018-06-28 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
9221,922,,,0,3000,2018-08-24 06:30:00,2018-08-27 05:59:59,2018-08-29 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
9231,923,,,0,3000,2018-05-04 06:30:00,2018-05-08 05:59:59,2018-05-10 05:59:59,2024-06-05 09:25:46.921503,2024-06-05 09:25:46.921503
