id,budokai_mission_id,item_id,item_type,quantity,card_exp_init,description,gift_description
1,1,11,Point::Stone,3,0,Dragon Stone x3,1st World Tournament Mission Rewards
2,2,11,Point::Stone,1,0,Dragon Stone x1,1st World Tournament Mission Rewards
3,3,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,1st World Tournament Mission Rewards
4,4,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,1st World Tournament Mission Rewards
5,5,11,Point::Stone,3,0,Dragon Stone x3,1st World Tournament Mission Rewards
6,6,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,1st World Tournament Mission Rewards
7,7,6,TrainingField,10,0,Gravity Chamber (50G) x10,1st World Tournament Mission Rewards
8,8,6,SupportItem,15,0,Senzu Bean x15,1st World Tournament Mission Rewards
9,9,7,TrainingField,10,0,Gravity Chamber (150G) x10,1st World Tournament Mission Rewards
10,10,19,AwakeningItem,1,0,Supreme Kai x1,1st World Tournament Mission Rewards
11,11,11,Point::Stone,5,0,Dragon Stone x5,1st World Tournament Mission Rewards
12,12,11,Point::Stone,7,0,Dragon Stone x7,1st World Tournament Mission Rewards
13,13,4,SpecialItem,1,0,(Gold) SSR Guaranteed Ticket x1,1st World Tournament Mission Rewards
14,14,11,Point::Stone,1,0,Dragon Stone x1,1st World Tournament Mission Rewards
15,15,1002640,Card,1,93879,"(500,000 Zeni) Hercule Statue (Silver) x1",1st World Tournament Mission Rewards
16,16,5,TrainingField,3,0,King Kai's Planet (10G) x3,1st World Tournament Mission Rewards
17,17,1,AwakeningItem,30,0,Gregory x30,1st World Tournament Mission Rewards
18,18,6,SupportItem,10,0,Senzu Bean x10,1st World Tournament Mission Rewards
19,19,11,Point::Stone,1,0,Dragon Stone x1,1st World Tournament Mission Rewards
20,20,4,TrainingField,10,0,Snake Way x10,1st World Tournament Mission Rewards
21,21,8,TrainingField,5,0,Supreme Kai's Planet x5,1st World Tournament Mission Rewards
22,22,11,Point::Stone,5,0,Dragon Stone x5,1st World Tournament Mission Rewards
23,23,20,AwakeningItem,1,0,Elder Kai x1,1st World Tournament Mission Rewards
24,24,11,Point::Stone,5,0,Dragon Stone x5,1st World Tournament Mission Rewards
25,25,11,Point::Stone,3,0,Dragon Stone x3,2nd World Tournament Mission Rewards
26,26,11,Point::Stone,1,0,Dragon Stone x1,2nd World Tournament Mission Rewards
27,27,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,2nd World Tournament Mission Rewards
28,28,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,2nd World Tournament Mission Rewards
29,29,11,Point::Stone,3,0,Dragon Stone x3,2nd World Tournament Mission Rewards
30,30,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,2nd World Tournament Mission Rewards
31,31,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,2nd World Tournament Mission Rewards
32,32,6,TrainingField,10,0,Gravity Chamber (50G) x10,2nd World Tournament Mission Rewards
33,33,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,2nd World Tournament Mission Rewards
34,34,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,2nd World Tournament Mission Rewards
35,35,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,2nd World Tournament Mission Rewards
36,36,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,2nd World Tournament Mission Rewards
37,37,6,SupportItem,15,0,Senzu Bean x15,2nd World Tournament Mission Rewards
38,38,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,2nd World Tournament Mission Rewards
39,39,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,2nd World Tournament Mission Rewards
40,40,2,SpecialItem,1,0,(Gold) World Tournament Ticket x1,2nd World Tournament Mission Rewards
41,41,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,2nd World Tournament Mission Rewards
42,42,7,TrainingField,10,0,Gravity Chamber (150G) x10,2nd World Tournament Mission Rewards
43,43,19,AwakeningItem,1,0,Supreme Kai x1,2nd World Tournament Mission Rewards
44,44,11,Point::Stone,5,0,Dragon Stone x5,2nd World Tournament Mission Rewards
45,45,11,Point::Stone,7,0,Dragon Stone x7,2nd World Tournament Mission Rewards
46,46,4,SpecialItem,1,0,(Gold) SSR Guaranteed Ticket x1,2nd World Tournament Mission Rewards
47,47,11,Point::Stone,1,0,Dragon Stone x1,2nd World Tournament Mission Rewards
48,48,1002640,Card,1,93879,"(500,000 Zeni) Hercule Statue (Silver) x1",2nd World Tournament Mission Rewards
49,49,5,TrainingField,3,0,King Kai's Planet (10G) x3,2nd World Tournament Mission Rewards
50,50,1,AwakeningItem,30,0,Gregory x30,2nd World Tournament Mission Rewards
51,51,6,SupportItem,10,0,Senzu Bean x10,2nd World Tournament Mission Rewards
52,52,11,Point::Stone,1,0,Dragon Stone x1,2nd World Tournament Mission Rewards
53,53,4,TrainingField,10,0,Snake Way x10,2nd World Tournament Mission Rewards
54,54,8,TrainingField,5,0,Supreme Kai's Planet x5,2nd World Tournament Mission Rewards
55,55,11,Point::Stone,5,0,Dragon Stone x5,2nd World Tournament Mission Rewards
56,56,20,AwakeningItem,1,0,Elder Kai x1,2nd World Tournament Mission Rewards
57,57,11,Point::Stone,5,0,Dragon Stone x5,2nd World Tournament Mission Rewards
58,58,11,Point::Stone,3,0,Dragon Stone x3,3rd World Tournament Mission Rewards
59,59,11,Point::Stone,1,0,Dragon Stone x1,3rd World Tournament Mission Rewards
60,60,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,3rd World Tournament Mission Rewards
61,61,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,3rd World Tournament Mission Rewards
62,62,11,Point::Stone,3,0,Dragon Stone x3,3rd World Tournament Mission Rewards
63,63,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,3rd World Tournament Mission Rewards
64,64,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,3rd World Tournament Mission Rewards
65,65,6,TrainingField,10,0,Gravity Chamber (50G) x10,3rd World Tournament Mission Rewards
66,66,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,3rd World Tournament Mission Rewards
67,67,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,3rd World Tournament Mission Rewards
68,68,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,3rd World Tournament Mission Rewards
69,69,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,3rd World Tournament Mission Rewards
70,70,6,SupportItem,15,0,Senzu Bean x15,3rd World Tournament Mission Rewards
71,71,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,3rd World Tournament Mission Rewards
72,72,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,3rd World Tournament Mission Rewards
73,73,2,SpecialItem,1,0,(Gold) World Tournament Ticket x1,3rd World Tournament Mission Rewards
74,74,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,3rd World Tournament Mission Rewards
75,75,7,TrainingField,10,0,Gravity Chamber (150G) x10,3rd World Tournament Mission Rewards
76,76,19,AwakeningItem,1,0,Supreme Kai x1,3rd World Tournament Mission Rewards
77,77,11,Point::Stone,5,0,Dragon Stone x5,3rd World Tournament Mission Rewards
78,78,2,SpecialItem,2,0,(Gold) World Tournament Ticket x2,3rd World Tournament Mission Rewards
79,79,11,Point::Stone,7,0,Dragon Stone x7,3rd World Tournament Mission Rewards
80,80,2,SpecialItem,3,0,(Gold) World Tournament Ticket x3,3rd World Tournament Mission Rewards
81,81,4,SpecialItem,1,0,SSR Guaranteed Ticket x1,3rd World Tournament Mission Rewards
82,82,11,Point::Stone,1,0,Dragon Stone x1,3rd World Tournament Mission Rewards
83,83,1002640,Card,1,93879,"(500,000 Zeni) Hercule Statue (Silver) x1",3rd World Tournament Mission Rewards
84,84,5,TrainingField,3,0,King Kai's Planet (10G) x3,3rd World Tournament Mission Rewards
85,85,1,AwakeningItem,30,0,Gregory x30,3rd World Tournament Mission Rewards
86,86,6,SupportItem,10,0,Senzu Bean x10,3rd World Tournament Mission Rewards
87,87,11,Point::Stone,1,0,Dragon Stone x1,3rd World Tournament Mission Rewards
88,88,4,TrainingField,10,0,Snake Way x10,3rd World Tournament Mission Rewards
89,89,8,TrainingField,5,0,Supreme Kai's Planet x5,3rd World Tournament Mission Rewards
90,90,11,Point::Stone,5,0,Dragon Stone x5,3rd World Tournament Mission Rewards
91,91,20,AwakeningItem,1,0,Elder Kai x1,3rd World Tournament Mission Rewards
92,92,11,Point::Stone,5,0,Dragon Stone x5,3rd World Tournament Mission Rewards
93,93,11,Point::Stone,3,0,Dragon Stone x3,4th World Tournament Mission Rewards
94,94,11,Point::Stone,1,0,Dragon Stone x1,4th World Tournament Mission Rewards
95,95,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,4th World Tournament Mission Rewards
96,96,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,4th World Tournament Mission Rewards
97,97,11,Point::Stone,3,0,Dragon Stone x3,4th World Tournament Mission Rewards
98,98,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,4th World Tournament Mission Rewards
99,99,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,4th World Tournament Mission Rewards
100,100,6,TrainingField,10,0,Gravity Chamber (50G) x10,4th World Tournament Mission Rewards
101,101,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,4th World Tournament Mission Rewards
102,102,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,4th World Tournament Mission Rewards
103,103,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,4th World Tournament Mission Rewards
104,104,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,4th World Tournament Mission Rewards
105,105,6,SupportItem,15,0,Senzu Bean x15,4th World Tournament Mission Rewards
106,106,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,4th World Tournament Mission Rewards
107,107,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,4th World Tournament Mission Rewards
108,108,2,SpecialItem,1,0,(Gold) World Tournament Ticket x1,4th World Tournament Mission Rewards
109,109,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,4th World Tournament Mission Rewards
110,110,7,TrainingField,10,0,Gravity Chamber (150G) x10,4th World Tournament Mission Rewards
111,111,11,Point::Stone,2,0,Dragon Stone x2,4th World Tournament Mission Rewards
112,112,19,AwakeningItem,1,0,Supreme Kai x1,4th World Tournament Mission Rewards
113,113,2,SpecialItem,2,0,(Gold) World Tournament Ticket x2,4th World Tournament Mission Rewards
114,114,11,Point::Stone,5,0,Dragon Stone x5,4th World Tournament Mission Rewards
115,115,2,SpecialItem,3,0,(Gold) World Tournament Ticket x3,4th World Tournament Mission Rewards
116,116,11,Point::Stone,7,0,Dragon Stone x7,4th World Tournament Mission Rewards
117,117,4,SpecialItem,1,0,SSR Guaranteed Ticket x1,4th World Tournament Mission Rewards
118,118,11,Point::Stone,1,0,Dragon Stone x1,4th World Tournament Mission Rewards
119,119,1002640,Card,1,93879,"(500,000 Zeni) Hercule Statue (Silver) x1",4th World Tournament Mission Rewards
120,120,5,TrainingField,3,0,King Kai's Planet (10G) x3,4th World Tournament Mission Rewards
121,121,1,AwakeningItem,30,0,Gregory x30,4th World Tournament Mission Rewards
122,122,6,SupportItem,10,0,Senzu Bean x10,4th World Tournament Mission Rewards
123,123,11,Point::Stone,1,0,Dragon Stone x1,4th World Tournament Mission Rewards
124,124,4,TrainingField,10,0,Snake Way x10,4th World Tournament Mission Rewards
125,125,8,TrainingField,5,0,Supreme Kai's Planet x5,4th World Tournament Mission Rewards
126,126,11,Point::Stone,5,0,Dragon Stone x5,4th World Tournament Mission Rewards
127,127,20,AwakeningItem,1,0,Elder Kai x1,4th World Tournament Mission Rewards
128,128,11,Point::Stone,5,0,Dragon Stone x5,4th World Tournament Mission Rewards
129,129,11,Point::Stone,3,0,Dragon Stone x3,5th World Tournament Mission Rewards
130,130,11,Point::Stone,1,0,Dragon Stone x1,5th World Tournament Mission Rewards
