id,budokai_id,mission_type,name,priority,target_value,prev_budokai_mission_id,created_at,updated_at
1,3,1,Get 1 win in the 1st World Tournament,0,1,,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
2,3,1,Get 2 wins in the 1st World Tournament,0,2,1.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
3,3,1,Get 3 wins in the 1st World Tournament,0,3,2.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
4,3,1,Get 4 wins in the 1st World Tournament,0,4,3.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
5,3,1,Get 5 wins in the 1st World Tournament,0,5,4.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
6,3,1,Get 7 wins in the 1st World Tournament,0,7,5.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
7,3,1,Get 10 wins in the 1st World Tournament,0,10,6.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
8,3,1,Get 15 wins in the 1st World Tournament,0,15,7.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
9,3,1,Get 20 wins in the 1st World Tournament,0,20,8.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
10,3,1,Get 30 wins in the 1st World Tournament,0,30,9.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
11,3,1,Get 50 wins in the 1st World Tournament,0,50,10.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
12,3,1,Get 70 wins in the 1st World Tournament,0,70,11.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
13,3,1,Get 100 wins in the 1st World Tournament,0,100,12.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
14,3,2,Reach King Chappa Tier,0,2,,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
15,3,2,Reach Hercule Tier,0,3,14.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
16,3,2,Reach Videl Tier,0,4,15.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
17,3,2,Reach Master Roshi Tier,0,5,16.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
18,3,2,Reach Korin Tier,0,6,17.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
19,3,2,Reach Kami Tier,0,7,18.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
20,3,2,Reach King Yemma Tier,0,8,19.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
21,3,2,Reach King Kai Tier,0,9,20.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
22,3,2,Reach Supreme Kai Tier,0,10,21.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
23,3,2,Reach Elder Kai Tier,0,11,22.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
24,3,2,Reach Beerus Tier,0,12,23.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
25,4,1,Get 1 win in the 2nd World Tournament,0,1,,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
26,4,1,Get 2 wins in the 2nd World Tournament,0,2,25.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
27,4,1,Get 3 wins in the 2nd World Tournament,0,3,26.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
28,4,1,Get 4 wins in the 2nd World Tournament,0,4,27.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
29,4,1,Get 5 wins in the 2nd World Tournament,0,5,28.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
30,4,1,Get 6 wins in the 2nd World Tournament,0,6,29.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
31,4,1,Get 7 wins in the 2nd World Tournament,0,7,30.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
32,4,1,Get 10 wins in the 2nd World Tournament,0,10,31.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
33,4,1,Get 11 wins in the 2nd World Tournament,0,11,32.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
34,4,1,Get 12 wins in the 2nd World Tournament,0,12,33.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
35,4,1,Get 13 wins in the 2nd World Tournament,0,13,34.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
36,4,1,Get 14 wins in the 2nd World Tournament,0,14,35.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
37,4,1,Get 15 wins in the 2nd World Tournament,0,15,36.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
38,4,1,Get 16 wins in the 2nd World Tournament,0,16,37.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
39,4,1,Get 17 wins in the 2nd World Tournament,0,17,38.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
40,4,1,Get 18 wins in the 2nd World Tournament,0,18,39.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
41,4,1,Get 19 wins in the 2nd World Tournament,0,19,40.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
42,4,1,Get 20 wins in the 2nd World Tournament,0,20,41.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
43,4,1,Get 30 wins in the 2nd World Tournament,0,30,42.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
44,4,1,Get 50 wins in the 2nd World Tournament,0,50,43.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
45,4,1,Get 70 wins in the 2nd World Tournament,0,70,44.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
46,4,1,Get 100 wins in the 2nd World Tournament,0,100,45.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
47,4,2,Reach King Chappa Tier,0,2,,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
48,4,2,Reach Hercule Tier,0,3,47.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
49,4,2,Reach Videl Tier,0,4,48.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
50,4,2,Reach Master Roshi Tier,0,5,49.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
51,4,2,Reach Korin Tier,0,6,50.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
52,4,2,Reach Kami Tier,0,7,51.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
53,4,2,Reach King Yemma Tier,0,8,52.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
54,4,2,Reach King Kai Tier,0,9,53.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
55,4,2,Reach Supreme Kai Tier,0,10,54.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
56,4,2,Reach Elder Kai Tier,0,11,55.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
57,4,2,Reach Beerus Tier,0,12,56.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
58,5,1,Get 1 win in the 3rd World Tournament,0,1,,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
59,5,1,Get 2 wins in the 3rd World Tournament,0,2,58.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
60,5,1,Get 3 wins in the 3rd World Tournament,0,3,59.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
61,5,1,Get 4 wins in the 3rd World Tournament,0,4,60.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
62,5,1,Get 5 wins in the 3rd World Tournament,0,5,61.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
63,5,1,Get 6 wins in the 3rd World Tournament,0,6,62.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
64,5,1,Get 7 wins in the 3rd World Tournament,0,7,63.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
65,5,1,Get 10 wins in the 3rd World Tournament,0,10,64.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
66,5,1,Get 11 wins in the 3rd World Tournament,0,11,65.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
67,5,1,Get 12 wins in the 3rd World Tournament,0,12,66.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
68,5,1,Get 13 wins in the 3rd World Tournament,0,13,67.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
69,5,1,Get 14 wins in the 3rd World Tournament,0,14,68.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
70,5,1,Get 15 wins in the 3rd World Tournament,0,15,69.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
71,5,1,Get 16 wins in the 3rd World Tournament,0,16,70.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
72,5,1,Get 17 wins in the 3rd World Tournament,0,17,71.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
73,5,1,Get 18 wins in the 3rd World Tournament,0,18,72.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
74,5,1,Get 19 wins in the 3rd World Tournament,0,19,73.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
75,5,1,Get 20 wins in the 3rd World Tournament,0,20,74.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
76,5,1,Get 30 wins in the 3rd World Tournament,0,30,75.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
77,5,1,Get 50 wins in the 3rd World Tournament,0,50,76.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
78,5,1,Get 60 wins in the 3rd World Tournament,0,60,77.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
79,5,1,Get 70 wins in the 3rd World Tournament,0,70,78.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
80,5,1,Get 80 wins in the 3rd World Tournament,0,80,79.0,2024-06-18 10:29:17.396690,2024-06-18 10:29:17.396690
