id,budokai_motivation_id,type,description,conditions,created_at,updated_at
150,224,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-08 11:03:17.775433,2024-07-08 11:03:17.775433
151,225,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 2 Win Streak,"{""continuous_title_num"":2}",2024-07-08 11:03:17.775433,2024-07-08 11:03:17.775433
152,226,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 3 Win Streak,"{""continuous_title_num"":3}",2024-07-08 11:03:17.775433,2024-07-08 11:03:17.775433
153,227,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 4 Win Streak,"{""continuous_title_num"":4}",2024-07-08 11:03:17.775433,2024-07-08 11:03:17.775433
154,228,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 5 Win Streak,"{""continuous_title_num"":5}",2024-07-08 11:03:17.775433,2024-07-08 11:03:17.775433
155,229,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 6 Win Streak,"{""continuous_title_num"":6}",2024-07-08 11:03:17.775433,2024-07-08 11:03:17.775433
156,230,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 7 Win Streak,"{""continuous_title_num"":7}",2024-07-08 11:03:17.775433,2024-07-08 11:03:17.775433
157,234,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-08 11:03:17.775433,2024-07-08 11:03:17.775433
158,235,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 2 Win Streak,"{""continuous_title_num"":2}",2024-07-08 11:03:17.775433,2024-07-08 11:03:17.775433
159,236,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 3 Win Streak,"{""continuous_title_num"":3}",2024-07-08 11:03:17.775433,2024-07-08 11:03:17.775433
160,237,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 4 Win Streak,"{""continuous_title_num"":4}",2024-07-08 11:03:17.775433,2024-07-08 11:03:17.775433
161,238,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 5 Win Streak,"{""continuous_title_num"":5}",2024-07-08 11:03:17.775433,2024-07-08 11:03:17.775433
162,239,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 6 Win Streak,"{""continuous_title_num"":6}",2024-07-08 11:03:17.775433,2024-07-08 11:03:17.775433
