id,budokai_id,round
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,2,1
8,2,2
9,2,3
10,2,4
11,2,5
12,3,1
13,3,2
14,3,3
15,3,4
16,4,1
17,4,2
18,4,3
19,4,4
20,5,1
21,5,2
22,5,3
23,5,4
24,6,1
25,6,2
26,6,3
27,6,4
28,7,1
29,7,2
30,7,3
31,7,4
32,8,1
33,8,2
34,8,3
35,8,4
36,9,1
37,9,2
38,9,3
39,9,4
40,10,1
41,10,2
42,10,3
43,10,4
44,11,1
45,11,2
46,11,3
47,11,4
48,12,1
49,12,2
50,12,3
51,12,4
52,13,1
53,13,2
54,13,3
55,13,4
56,14,1
57,14,2
58,14,3
59,14,4
60,15,1
61,15,2
62,15,3
63,15,4
64,16,1
65,16,2
66,16,3
67,16,4
171,17,1
172,17,2
173,17,3
174,17,4
181,18,1
182,18,2
183,18,3
184,18,4
191,19,1
192,19,2
193,19,3
194,19,4
201,20,1
202,20,2
203,20,3
204,20,4
211,21,1
212,21,2
213,21,3
214,21,4
221,22,1
222,22,2
223,22,3
224,22,4
231,23,1
232,23,2
233,23,3
234,23,4
241,24,1
242,24,2
243,24,3
244,24,4
251,25,1
252,25,2
253,25,3
254,25,4
261,26,1
262,26,2
263,26,3
264,26,4
271,27,1
272,27,2
273,27,3
274,27,4
281,28,1
282,28,2
283,28,3
284,28,4
291,29,1
292,29,2
293,29,3
294,29,4
301,30,1
302,30,2
303,30,3
304,30,4
311,31,1
312,31,2
313,31,3
314,31,4
321,32,1
322,32,2
323,32,3
324,32,4
331,33,1
332,33,2
333,33,3
334,33,4
341,34,1
342,34,2
343,34,3
344,34,4
351,35,1
352,35,2
353,35,3
354,35,4
361,36,1
362,36,2
363,36,3
364,36,4
371,37,1
372,37,2
373,37,3
374,37,4
401,40,1
402,40,2
403,40,3
404,40,4
411,41,1
412,41,2
413,41,3
414,41,4
421,42,1
422,42,2
423,42,3
424,42,4
431,43,1
432,43,2
433,43,3
434,43,4
441,44,1
442,44,2
443,44,3
444,44,4
451,45,1
452,45,2
453,45,3
454,45,4
461,46,1
462,46,2
463,46,3
464,46,4
471,47,1
472,47,2
473,47,3
474,47,4
481,48,1
482,48,2
483,48,3
484,48,4
491,49,1
492,49,2
493,49,3
494,49,4
501,50,1
502,50,2
503,50,3
504,50,4
511,51,1
512,51,2
513,51,3
514,51,4
521,52,1
522,52,2
523,52,3
524,52,4
531,53,1
532,53,2
533,53,3
534,53,4
9211,921,1
9212,921,2
9213,921,3
9214,921,4
9221,922,1
9222,922,2
9223,922,3
9224,922,4
9231,923,1
9232,923,2
9233,923,3
9234,923,4
