id,budokai_id,round,image_path,description
1,1,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
2,1,2,images/en/budokai/budokai_announce_01.png,It's the 2nd preliminary! Here we go!
3,1,6,images/en/dummy_image/dummy_image.png,It's the 3rd preliminary! Here we go!
4,1,3,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
5,1,4,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
6,1,5,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
7,2,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
8,2,2,images/en/budokai/budokai_announce_01.png,It's the 2nd preliminary! Here we go!
9,2,6,images/en/dummy_image/dummy_image.png,It's the 3rd preliminary! Here we go!
10,2,3,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
11,2,4,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
12,2,5,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
13,3,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
16,3,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
17,3,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
18,3,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
19,4,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
20,4,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
21,4,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
22,4,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
23,5,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
24,5,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
25,5,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
26,5,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
27,6,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
28,6,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
29,6,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
30,6,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
31,7,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
32,7,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
33,7,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
34,7,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
35,8,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
36,8,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
37,8,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
38,8,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
39,9,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
40,9,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
41,9,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
42,9,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
43,10,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
44,10,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
45,10,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
46,10,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
47,11,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
48,11,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
49,11,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
50,11,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
51,12,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
52,12,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
53,12,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
54,12,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
55,13,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
56,13,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
57,13,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
58,13,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
59,14,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
60,14,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
61,14,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
62,14,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
63,15,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
64,15,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
65,15,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
66,15,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
67,16,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
68,16,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
69,16,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
70,16,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
171,17,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
172,17,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
173,17,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
174,17,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
181,18,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
182,18,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
183,18,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
184,18,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
191,19,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
192,19,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
193,19,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
194,19,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
201,20,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
202,20,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
203,20,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
204,20,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
211,21,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
212,21,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
213,21,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
214,21,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
221,22,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
222,22,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
223,22,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
224,22,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
231,23,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
232,23,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
233,23,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
234,23,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
241,24,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
242,24,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
243,24,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
244,24,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
251,25,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
252,25,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
253,25,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
254,25,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
261,26,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
262,26,2,images/en/budokai/budokai_announce_03.png,It's time for the quarterfinals!
263,26,3,images/en/budokai/budokai_announce_03.png,It's time for the semifinals!
264,26,4,images/en/budokai/budokai_announce_03.png,And now it's time for the final battle!
271,27,1,images/en/budokai/budokai_announce_01.png,It's the preliminary! Here we go!
