id,budokai_id,budokai_league_id,rank,name,point,bonus
1,1,1,1,Pilaf Tier,0,1.0
2,1,1,2,King Chappa Tier,5000,1.0
3,1,1,3,Hercule Tier,25000,1.0
4,1,2,4,Videl Tier,50000,1.0
5,1,2,5,Master Roshi Tier,100000,1.0
6,1,2,6,Korin Tier,150000,1.0
7,1,3,7,Kami Tier,250000,1.0
8,1,3,8,King Yemma Tier,500000,1.0
9,1,3,9,King Kai Tier,1000000,1.0
10,1,4,10,Supreme Kai Tier,1500000,1.0
11,1,4,11,Elder Kai Tier,2500000,1.0
12,1,4,12,Beerus Tier,5000000,1.0
13,2,1,1,Pilaf Tier,0,1.0
14,2,1,2,King Chappa Tier,5000,1.0
15,2,1,3,Hercule Tier,25000,1.0
16,2,2,4,Videl Tier,50000,1.0
17,2,2,5,Master Roshi Tier,100000,1.0
18,2,2,6,Korin Tier,150000,1.0
19,2,3,7,Kami Tier,250000,1.0
20,2,3,8,King Yemma Tier,500000,1.0
21,2,3,9,King Kai Tier,1000000,1.0
22,2,4,10,Supreme Kai Tier,1500000,1.0
23,2,4,11,Elder Kai Tier,2500000,1.0
24,2,4,12,Beerus Tier,5000000,1.0
25,3,1,1,Pilaf Tier,0,1.0
26,3,1,2,King Chappa Tier,5000,1.0
27,3,1,3,Hercule Tier,25000,1.0
28,3,2,4,Videl Tier,50000,1.0
29,3,2,5,Master Roshi Tier,100000,1.0
30,3,2,6,Korin Tier,150000,1.0
31,3,3,7,Kami Tier,250000,1.0
32,3,3,8,King Yemma Tier,500000,1.0
33,3,3,9,King Kai Tier,1000000,1.0
34,3,4,10,Supreme Kai Tier,1500000,1.0
35,3,4,11,Elder Kai Tier,2500000,1.0
36,3,4,12,Beerus Tier,5000000,1.0
37,4,1,1,Pilaf Tier,0,1.0
38,4,1,2,King Chappa Tier,5000,1.0
39,4,1,3,Hercule Tier,25000,1.0
40,4,2,4,Videl Tier,50000,1.0
41,4,2,5,Master Roshi Tier,100000,1.0
42,4,2,6,Korin Tier,150000,1.0
43,4,3,7,Kami Tier,250000,1.0
44,4,3,8,King Yemma Tier,500000,1.0
45,4,3,9,King Kai Tier,1000000,1.0
46,4,4,10,Supreme Kai Tier,1500000,1.0
47,4,4,11,Elder Kai Tier,2500000,1.0
48,4,4,12,Beerus Tier,5000000,1.0
49,5,1,1,Pilaf Tier,0,1.0
50,5,1,2,King Chappa Tier,5000,1.0
51,5,1,3,Hercule Tier,25000,1.0
52,5,2,4,Videl Tier,50000,1.0
53,5,2,5,Master Roshi Tier,100000,1.0
54,5,2,6,Korin Tier,150000,1.0
55,5,3,7,Kami Tier,250000,1.0
56,5,3,8,King Yemma Tier,500000,1.0
57,5,3,9,King Kai Tier,1000000,1.0
58,5,4,10,Supreme Kai Tier,1500000,1.0
59,5,4,11,Elder Kai Tier,2500000,1.0
60,5,4,12,Beerus Tier,5000000,1.0
61,6,1,1,Pilaf Tier,0,1.0
62,6,1,2,King Chappa Tier,5000,1.0
63,6,1,3,Hercule Tier,25000,1.0
64,6,2,4,Videl Tier,50000,1.0
65,6,2,5,Master Roshi Tier,100000,1.0
66,6,2,6,Korin Tier,150000,1.0
67,6,3,7,Kami Tier,250000,1.0
68,6,3,8,King Yemma Tier,500000,1.0
69,6,3,9,King Kai Tier,1000000,1.0
70,6,4,10,Supreme Kai Tier,1500000,1.0
71,6,4,11,Elder Kai Tier,2500000,1.0
72,6,4,12,Beerus Tier,5000000,1.0
73,7,1,1,Pilaf Tier,0,1.0
74,7,1,2,King Chappa Tier,5000,1.0
75,7,1,3,Hercule Tier,25000,1.0
76,7,2,4,Videl Tier,50000,1.0
77,7,2,5,Master Roshi Tier,100000,1.0
78,7,2,6,Korin Tier,150000,1.0
79,7,3,7,Kami Tier,250000,1.0
80,7,3,8,King Yemma Tier,500000,1.0
81,7,3,9,King Kai Tier,1000000,1.0
82,7,4,10,Supreme Kai Tier,1500000,1.0
83,7,4,11,Elder Kai Tier,2500000,1.0
84,7,4,12,Beerus Tier,5000000,1.0
85,8,1,1,Pilaf Tier,0,1.0
86,8,1,2,King Chappa Tier,5000,1.0
87,8,1,3,Hercule Tier,25000,1.0
88,8,2,4,Videl Tier,50000,1.0
89,8,2,5,Master Roshi Tier,100000,1.0
90,8,2,6,Korin Tier,150000,1.0
91,8,3,7,Kami Tier,250000,1.0
92,8,3,8,King Yemma Tier,500000,1.0
93,8,3,9,King Kai Tier,1000000,1.0
94,8,4,10,Supreme Kai Tier,1500000,1.0
95,8,4,11,Elder Kai Tier,2500000,1.0
96,8,4,12,Beerus Tier,5000000,1.0
97,9,1,1,Pilaf Tier,0,1.0
98,9,1,2,King Chappa Tier,5000,1.0
99,9,1,3,Hercule Tier,25000,1.0
100,9,2,4,Videl Tier,50000,1.0
101,9,2,5,Master Roshi Tier,100000,1.0
102,9,2,6,Korin Tier,150000,1.0
103,9,3,7,Kami Tier,250000,1.0
104,9,3,8,King Yemma Tier,500000,1.0
105,9,3,9,King Kai Tier,1000000,1.0
106,9,4,10,Supreme Kai Tier,1500000,1.0
107,9,4,11,Elder Kai Tier,2500000,1.0
108,9,4,12,Beerus Tier,5000000,1.0
109,10,1,1,Pilaf Tier,0,1.0
110,10,1,2,King Chappa Tier,5000,1.0
111,10,1,3,Hercule Tier,25000,1.0
112,10,2,4,Videl Tier,50000,1.0
113,10,2,5,Master Roshi Tier,100000,1.0
114,10,2,6,Korin Tier,150000,1.0
115,10,3,7,Kami Tier,250000,1.0
116,10,3,8,King Yemma Tier,500000,1.0
117,10,3,9,King Kai Tier,1000000,1.0
118,10,4,10,Supreme Kai Tier,1500000,1.0
119,10,4,11,Elder Kai Tier,2500000,1.0
120,10,4,12,Beerus Tier,5000000,1.0
121,11,1,1,Pilaf Tier,0,1.0
122,11,1,2,King Chappa Tier,5000,1.0
123,11,1,3,Hercule Tier,25000,1.0
124,11,2,4,Videl Tier,50000,1.0
125,11,2,5,Master Roshi Tier,100000,1.0
126,11,2,6,Korin Tier,150000,1.0
127,11,3,7,Kami Tier,250000,1.0
128,11,3,8,King Yemma Tier,500000,1.0
129,11,3,9,King Kai Tier,1000000,1.0
130,11,4,10,Supreme Kai Tier,1500000,1.0
131,11,4,11,Elder Kai Tier,2500000,1.0
132,11,4,12,Beerus Tier,5000000,1.0
133,12,1,1,Pilaf Tier,0,1.0
134,12,1,2,King Chappa Tier,5000,1.0
135,12,1,3,Hercule Tier,25000,1.0
136,12,2,4,Videl Tier,50000,1.0
137,12,2,5,Master Roshi Tier,100000,1.0
138,12,2,6,Korin Tier,150000,1.0
139,12,3,7,Kami Tier,250000,1.0
140,12,3,8,King Yemma Tier,500000,1.0
141,12,3,9,King Kai Tier,1000000,1.0
142,12,4,10,Supreme Kai Tier,1500000,1.0
143,12,4,11,Elder Kai Tier,2500000,1.0
144,12,4,12,Beerus Tier,5000000,1.0
145,13,1,1,Pilaf Tier,0,1.0
146,13,1,2,King Chappa Tier,5000,1.0
147,13,1,3,Hercule Tier,25000,1.0
148,13,2,4,Videl Tier,50000,1.0
149,13,2,5,Master Roshi Tier,100000,1.0
150,13,2,6,Korin Tier,150000,1.0
151,13,3,7,Kami Tier,250000,1.0
152,13,3,8,King Yemma Tier,500000,1.0
153,13,3,9,King Kai Tier,1000000,1.0
154,13,4,10,Supreme Kai Tier,1500000,1.0
155,13,4,11,Elder Kai Tier,2500000,1.0
156,13,4,12,Beerus Tier,5000000,1.0
157,14,1,1,Pilaf Tier,0,1.0
158,14,1,2,King Chappa Tier,5000,1.0
159,14,1,3,Hercule Tier,25000,1.0
160,14,2,4,Videl Tier,50000,1.0
161,14,2,5,Master Roshi Tier,100000,1.0
162,14,2,6,Korin Tier,150000,1.0
163,14,3,7,Kami Tier,250000,1.0
164,14,3,8,King Yemma Tier,500000,1.0
165,14,3,9,King Kai Tier,1000000,1.0
166,14,4,10,Supreme Kai Tier,1500000,1.0
167,14,4,11,Elder Kai Tier,2500000,1.0
168,14,4,12,Beerus Tier,5000000,1.0
169,15,1,1,Pilaf Tier,0,1.0
170,15,1,2,King Chappa Tier,5000,1.0
171,15,1,3,Hercule Tier,25000,1.0
172,15,2,4,Videl Tier,50000,1.0
173,15,2,5,Master Roshi Tier,100000,1.0
174,15,2,6,Korin Tier,150000,1.0
175,15,3,7,Kami Tier,250000,1.0
176,15,3,8,King Yemma Tier,500000,1.0
177,15,3,9,King Kai Tier,1000000,1.0
178,15,4,10,Supreme Kai Tier,1500000,1.0
179,15,4,11,Elder Kai Tier,2500000,1.0
180,15,4,12,Beerus Tier,5000000,1.0
181,16,1,1,Pilaf Tier,0,1.0
182,16,1,2,King Chappa Tier,5000,1.0
183,16,1,3,Hercule Tier,25000,1.0
184,16,2,4,Videl Tier,50000,1.0
185,16,2,5,Master Roshi Tier,100000,1.0
186,16,2,6,Korin Tier,150000,1.0
187,16,3,7,Kami Tier,250000,1.0
188,16,3,8,King Yemma Tier,500000,1.0
189,16,3,9,King Kai Tier,1000000,1.0
190,16,4,10,Supreme Kai Tier,1500000,1.0
191,16,4,11,Elder Kai Tier,2500000,1.0
192,16,4,12,Beerus Tier,5000000,1.0
1701,17,1,1,Pilaf Tier,0,1.0
1702,17,1,2,King Chappa Tier,5000,1.0
1703,17,1,3,Hercule Tier,25000,1.0
1704,17,2,4,Videl Tier,50000,1.0
1705,17,2,5,Master Roshi Tier,100000,1.0
1706,17,2,6,Korin Tier,150000,1.0
1707,17,3,7,Kami Tier,250000,1.0
1708,17,3,8,King Yemma Tier,500000,1.0
1709,17,3,9,King Kai Tier,1000000,1.0
1710,17,4,10,Supreme Kai Tier,1500000,1.0
1711,17,4,11,Elder Kai Tier,2500000,1.0
1712,17,4,12,Beerus Tier,5000000,1.0
1801,18,1,1,Pilaf Tier,0,1.0
1802,18,1,2,King Chappa Tier,5000,1.0
1803,18,1,3,Hercule Tier,25000,1.0
1804,18,2,4,Videl Tier,50000,1.0
1805,18,2,5,Master Roshi Tier,100000,1.0
1806,18,2,6,Korin Tier,150000,1.0
1807,18,3,7,Kami Tier,250000,1.0
1808,18,3,8,King Yemma Tier,500000,1.0
1809,18,3,9,King Kai Tier,1000000,1.0
1810,18,4,10,Supreme Kai Tier,1500000,1.0
1811,18,4,11,Elder Kai Tier,2500000,1.0
1812,18,4,12,Beerus Tier,5000000,1.0
1901,19,1,1,Pilaf Tier,0,1.0
1902,19,1,2,King Chappa Tier,5000,1.0
1903,19,1,3,Hercule Tier,25000,1.0
1904,19,2,4,Videl Tier,50000,1.0
1905,19,2,5,Master Roshi Tier,100000,1.0
1906,19,2,6,Korin Tier,150000,1.0
1907,19,3,7,Kami Tier,250000,1.0
1908,19,3,8,King Yemma Tier,500000,1.0
1909,19,3,9,King Kai Tier,1000000,1.0
1910,19,4,10,Supreme Kai Tier,1500000,1.0
1911,19,4,11,Elder Kai Tier,2500000,1.0
1912,19,4,12,Beerus Tier,5000000,1.0
2001,20,1,1,Pilaf Tier,0,1.0
2002,20,1,2,King Chappa Tier,5000,1.0
2003,20,1,3,Hercule Tier,25000,1.0
2004,20,2,4,Videl Tier,50000,1.0
2005,20,2,5,Master Roshi Tier,100000,1.0
2006,20,2,6,Korin Tier,150000,1.0
2007,20,3,7,Kami Tier,250000,1.0
2008,20,3,8,King Yemma Tier,500000,1.0
2009,20,3,9,King Kai Tier,1000000,1.0
2010,20,4,10,Supreme Kai Tier,1500000,1.0
2011,20,4,11,Elder Kai Tier,2500000,1.0
2012,20,4,12,Beerus Tier,5000000,1.0
2101,21,1,1,Pilaf Tier,0,1.0
2102,21,1,2,King Chappa Tier,5000,1.0
2103,21,1,3,Hercule Tier,25000,1.0
2104,21,2,4,Videl Tier,50000,1.0
2105,21,2,5,Master Roshi Tier,100000,1.0
2106,21,2,6,Korin Tier,150000,1.0
2107,21,3,7,Kami Tier,250000,1.0
2108,21,3,8,King Yemma Tier,500000,1.0
2109,21,3,9,King Kai Tier,1000000,1.0
2110,21,4,10,Supreme Kai Tier,1500000,1.0
2111,21,4,11,Elder Kai Tier,2500000,1.0
2112,21,4,12,Beerus Tier,5000000,1.0
2201,22,1,1,Pilaf Tier,0,1.0
