id,type,card_id,awaked_card_id,num,card_awakening_set_id,optimal_awakening_step,optimal_awakening_type,description,priority,open_at,created_at,updated_at
1,CardAwakeningRoute::Zet,1000010,1000011,1,1,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
2,CardAwakeningRoute::Zet,2000830,2000831,1,1,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
3,CardAwakeningRoute::Zet,1000020,1000021,1,2,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
4,CardAwakeningRoute::Zet,2000810,2000811,1,2,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
5,CardAwakeningRoute::Zet,1000830,1000831,1,3,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
6,CardAwakeningRoute::Zet,1000840,1000841,1,4,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
7,CardAwakeningRoute::Zet,1001940,1001941,1,4,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
8,CardAwakeningRoute::Zet,1000030,1000031,1,5,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
9,CardAwakeningRoute::Zet,1000090,1000091,1,5,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
10,CardAwakeningRoute::Zet,1000250,1000251,1,5,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
11,CardAwakeningRoute::Zet,1000910,1000911,1,5,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
12,CardAwakeningRoute::Zet,1001040,1001041,1,5,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
13,CardAwakeningRoute::Zet,1001120,1001121,1,5,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
14,CardAwakeningRoute::Zet,2000160,2000161,1,5,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
15,CardAwakeningRoute::Zet,1000040,1000041,1,6,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
16,CardAwakeningRoute::Zet,1000110,1000111,1,6,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
17,CardAwakeningRoute::Zet,1000130,1000131,1,6,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
18,CardAwakeningRoute::Zet,1000880,1000881,1,6,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
19,CardAwakeningRoute::Zet,1000890,1000891,1,6,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
20,CardAwakeningRoute::Zet,1000920,1000921,1,6,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
21,CardAwakeningRoute::Zet,2000210,2000211,1,6,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
22,CardAwakeningRoute::Zet,1002130,1002131,1,6,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
23,CardAwakeningRoute::Zet,1000050,1000051,1,7,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
24,CardAwakeningRoute::Zet,1000060,1000061,1,7,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
25,CardAwakeningRoute::Zet,1000170,1000171,1,7,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
26,CardAwakeningRoute::Zet,1000230,1000231,1,7,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
27,CardAwakeningRoute::Zet,1001010,1001011,1,7,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
28,CardAwakeningRoute::Zet,1001090,1001091,1,7,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
29,CardAwakeningRoute::Zet,1001110,1001111,1,7,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
30,CardAwakeningRoute::Zet,1001440,1001441,1,7,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
31,CardAwakeningRoute::Zet,1001520,1001521,1,7,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
32,CardAwakeningRoute::Zet,1000070,1000071,1,8,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
33,CardAwakeningRoute::Zet,1000260,1000261,1,8,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
34,CardAwakeningRoute::Zet,1000990,1000991,1,8,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
35,CardAwakeningRoute::Zet,1001000,1001001,1,8,,0,,0,2010-04-01 00:00:00,2024-07-30 10:30:34.990951,2024-07-30 10:30:34.990951
