id,card_id,finish_skill_set_id,created_at,updated_at
1,4026400,1,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
2,4026401,1,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
3,4026400,2,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
4,4026401,2,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
5,4025740,3,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
6,4025741,3,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
7,4025740,4,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
8,4025741,4,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
9,4025780,5,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
10,4025781,5,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
11,4026540,6,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
12,4026541,6,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
13,4026910,7,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
14,4026911,7,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
15,4026910,8,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
16,4026911,9,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
17,4027300,10,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
18,4027301,10,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
19,9526400,1,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
20,9526401,1,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
21,9526400,2,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
22,9526401,2,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
23,4027630,11,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
24,4027631,11,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
25,4027630,12,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
26,4027631,12,2024-07-16 08:42:22.910854,2024-07-16 08:42:22.910854
