id,card_id,skill_lv,condition,probability,created_at,updated_at
6,1003970,1,0,100,2024-07-08 11:03:07.605070,2024-07-08 11:03:07.605070
7,1009850,1,0,100,2024-07-08 11:03:07.605070,2024-07-08 11:03:07.605070
8,1012230,1,1,100,2024-07-08 11:03:07.605070,2024-07-08 11:03:07.605070
9,1012240,1,1,100,2024-07-08 11:03:07.605070,2024-07-08 11:03:07.605070
10,1012250,1,1,100,2024-07-08 11:03:07.605070,2024-07-08 11:03:07.605070
11,1012260,1,1,100,2024-07-08 11:03:07.605070,2024-07-08 11:03:07.605070
12,1012270,1,1,100,2024-07-08 11:03:07.605070,2024-07-08 11:03:07.605070
13,1013400,1,0,30,2024-07-08 11:03:07.605070,2024-07-08 11:03:07.605070
14,1015860,1,0,100,2024-07-08 11:03:07.605070,2024-07-08 11:03:07.605070
15,1018550,1,0,100,2024-07-08 11:03:07.605070,2024-07-08 11:03:07.605070
16,1021510,1,0,100,2024-07-08 11:03:07.605070,2024-07-08 11:03:07.605070
