id,name,kana
1,Super Saiyan Goku,
2,Super Saiyan Vegeta,
3,Goku,
4,Vegeta,
5,Frieza (1st Form),
6,Cell (1st Form),
7,Gohan (Kid),
8,Trunks (Teen),
9,Krillin,
10,Piccolo,
11,Tien,
12,Chiaotzu,
13,Yamcha,
14,Raditz,
15,Nappa,
16,Zarbon,
17,Captain Ginyu,
18,Android #19,
19,Dr. Gero,
20,Android #17,
21,Android #18,
22,Android #16,
23,Master Roshi,
24,Mercenary Tao,
25,Fusion Machine Pilaf,
26,Shen,
27,Tambourine,
28,Cymbal,
29,Drum,
30,Chi-Chi,
31,Dodoria,
32,Recoome,
33,Guldo,
34,Burter,
35,Jeice,
36,Yajirobe,
37,Nail,
38,Hercule,
39,Videl,
40,Cell Jr.,
41,Spopovich,
42,Yamu,
43,Yakon,
44,Pui Pui,
45,Appule,
46,Cui,
47,Babidi's Minion,
48,Pintar,
49,Jewel,
50,Killa,
51,Pirate Robot,
52,Saibaiman,
53,Frieza Soldier,
54,Red Ribbon Soldier,
55,Master Shen,
56,Trunks (Xeno),
57,Super Saiyan Gohan (Youth),
58,Cyborg Tao,
59,Gohan (Kid) (Costume),
60,Frieza (1st Form/Pod),
61,Frieza (2nd Form),
62,Frieza (3rd Form),
63,Frieza (Final Form),
64,Gohan (Battle Suit),
65,Krillin (Battle Suit),
66,Super Saiyan 2 Goku,
67,Super Saiyan Bardock,
68,Fasha,
69,Tora,
70,Borgos,
71,Shugesh,
72,Jackie Chun,
73,Mecha Frieza,
74,Bardock,
75,Vegeta (Kid),
76,Goku (Movie Version),
77,Grandpa Gohan,
78,Perfect Cell,
79,Super Saiyan 2 Gohan (Youth),
80,Cell (2nd Form),
81,Cell (Perfect Form),
82,Android #17 (Future),
83,Android #18 (Future),
84,Goku (Youth),
85,Gohan (Grandpa),
86,Super Saiyan God SS Goku,
87,Super Saiyan God SS Vegeta,
88,Golden Frieza,
89,Beerus,
90,Whis,
91,Vegeta,
92,Frieza (Final Form),
93,Sorbet,
94,Tagoma,
95,Krillin (Police Officer),
96,Gohan (Teen),
97,Super Saiyan Gohan (Teen),
98,Jaco,
99,Master Roshi (Max Power),
100,Shisami,
101,Tien,
102,Piccolo,
103,King Cold,
104,Majin Buu (Good),
105,Dabura,
106,Babidi,
107,Trunks (Kid),
108,Goku (Kaioken),
109,Goten (Kid),
110,Murasaki,
111,General Blue,
112,Cell (Perfect Form),
113,Super Saiyan Trunks (Teen),
114,King Vegeta,
115,Majin Vegeta,
116,Majin Buu (Pure Evil),
117,Super Saiyan Trunks (Kid),
118,Super Saiyan Goten (Kid),
119,Piccolo Jr.,
120,Mighty Mask,
121,Chilled,
122,Boujack,
123,Full Power Boujack,
124,Zangya,
125,Gokua,
126,Bido,
127,Bujin,
128,Gohan (Youth),
129,Super Trunks,
130,Yamcha (Short Hair),
131,Super Saiyan 2 Vegeta,
132,Chi-Chi (Youth),
133,Pan (GT),
134,Android #13,
135,Fusion Android #13,
136,Paikuhan,
137,Android #14,
138,Android #15,
139,Super Saiyan 3 Goku,
140,Buu (Super),
141,Cooler,
142,Cooler (Final Form),
143,Thouser,
144,Doure,
145,Naise,
146,Uub (Youth),
147,Great Saiyaman,
148,Great Saiyaman 2,
149,Ultimate Gohan,
150,Buu (Kid),
151,Bulma,
152,Krillin (Youth),
153,Goku (GT),
154,Super Saiyan God Goku,
155,Mr. Buu,
156,Turles,
157,Cacao,
158,Daiz,
159,Amond,
160,Rasin,
161,Lakasei,
162,Mr. Popo,
163,0,
164,Goku (Angel),
165,Demon King Piccolo (Elder),
166,Demon King Piccolo,
167,Devilman,
168,Bulma (Youth),
169,Tien,
170,Yamcha,
171,Oolong,
172,King Chappa,
173,Dracula Man,
174,Bandages,
175,Super Saiyan Goku (GT),
176,Super Saiyan Trunks (GT),
177,Majuub,
178,Vegeta (GT),
179,Super Saiyan Gohan (GT),
180,Hercule (GT),
181,Elder Kai,
182,Vegito,
183,Pan (Kid),
184,Majin Buu (Piccolo),
185,Supreme Kai,
186,Legendary Super Saiyan Broly,
187,Paragus,
188,Broly,
189,Super Saiyan Broly,
190,Metal Cooler [AGL],
191,Metal Cooler [TEQ],
192,Metal Cooler [INT],
193,Metal Cooler [STR],
194,Metal Cooler [PHY],
195,Metal Cooler,
196,Cyclopian Guards,
197,Super Vegeta,
198,Gotenks,
199,Bulma (Bunny),
200,Launch,
201,Staff Officer Black,
202,Giran,
203,Hatchiyack,
204,Gotenks (Failure) A,
205,Gotenks (Failure) B,
206,Uub (Teen),
207,Kibito,
208,Super Janemba,
209,Super Saiyan 2 Gohan (Teen),
210,Super Saiyan 3 Vegeta,
211,Super Saiyan Goku (Angel),
212,Kibito Kai,
213,Super Gogeta,
214,Veku,
215,Janemba,
